year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2001,1,-0.025497067,0.103513915,0.1290109821,0.0127729383,0.0695493937,0.0567764555,-0.021235337,0.0566711556,0.0779064926
2001,2,0.0665700595,-0.034798084,-0.101368143,0.0235701463,-0.045576579,-0.069146725,0.0471416467,-0.044872287,-0.092013934
2001,3,0.0395800377,-0.02213152,-0.061711558,0.0325416228,-0.004665931,-0.037207554,0.0198305899,-0.023163954,-0.042994544
2001,4,-0.031102534,0.0908164435,0.1219189777,-0.004918456,0.0799144358,0.084832892,-0.019990085,0.087526821,0.1075169058
2001,5,0.0003289525,0.0590734995,0.058744547,-0.017562341,0.0270067848,0.0445691258,0.0132948473,0.054743438,0.0414485907
2001,6,-0.005337272,0.0111169328,0.0164542045,-0.01660338,-0.007699483,0.0089038967,-0.033556318,-0.019913674,0.0136426435
2001,7,0.0675986965,-0.005396594,-0.07299529,0.0142782118,-0.029084848,-0.043363059,0.0412274968,-0.013146327,-0.054373824
2001,8,0.0668650247,-0.00229144,-0.069156465,0.0581916224,-0.018583911,-0.076775533,0.0521516986,-0.007139228,-0.059290926
2001,9,0.1039383908,-0.10254924,-0.206487631,0.0323793491,-0.086742631,-0.119121981,0.1069955426,-0.082990074,-0.189985616
2001,10,-0.078049067,0.0639186286,0.1419676959,0.0059210408,0.0640610892,0.0581400484,-0.05876987,0.0599245769,0.1186944467
2001,11,-0.044405111,0.063311647,0.1077167578,-0.051171995,0.0295231461,0.0806951411,-0.047901901,0.0377717316,0.0856736331
2001,12,-0.022868443,0.0526809676,0.0755494106,-0.006147039,0.0322507575,0.038397797,-0.034112199,0.039216227,0.0733284263
2002,1,0.0512608323,0.0181136794,-0.033147153,0.0108453355,-0.005205375,-0.01605071,0.0438273511,0.0142377403,-0.029589611
2002,2,0.0802650023,0.0079542417,-0.072310761,0.0613871325,0.0082684917,-0.053118641,0.0789412847,0.0189246664,-0.060016618
2002,3,-0.03122698,0.0785317461,0.1097587257,0.0137925153,0.068045082,0.0542525666,-0.028032465,0.0645891028,0.0926215677
2002,4,0.0406835941,0.0099741129,-0.030709481,0.0128642889,-0.021477255,-0.034341544,0.0279098013,0.0136512102,-0.014258591
2002,5,0.0460986113,-0.006393829,-0.05249244,0.0261182076,-0.004417018,-0.030535226,0.0349112226,-0.009173693,-0.044084915
2002,6,0.0346599949,-0.039129185,-0.07378918,0.0111454945,-0.031958331,-0.043103826,0.029948413,-0.024859127,-0.05480754
2002,7,0.0180502864,-0.137313088,-0.155363374,0.0314197398,-0.124805353,-0.156225093,0.0227578122,-0.11907237,-0.141830182
2002,8,-0.016150116,-0.002703205,0.013446911,-0.015031377,0.0031364083,0.0181677853,-0.008738267,0.0006205765,0.0093588431
2002,9,-0.020403818,-0.083010559,-0.062606742,-0.010758986,-0.088106439,-0.077347452,-0.016823598,-0.07372236,-0.056898762
2002,10,0.0097165099,0.0344128506,0.0246963407,0.0216311648,0.0513098509,0.0296786861,0.0191597004,0.0318419298,0.0126822294
2002,11,-0.025593422,0.0710230579,0.0966164801,-0.043563186,0.0536363805,0.0971995667,-0.023965871,0.0471398162,0.0711056874
2002,12,0.0046641315,-0.024852846,-0.029516977,0.0207750525,-0.038130017,-0.05890507,0.0137964294,-0.012283258,-0.026079687
2003,1,0.007696709,-0.020438788,-0.028135497,0.0034955689,-0.035744505,-0.039240074,0.0149769152,-0.02415672,-0.039133635
2003,2,-0.010666932,-0.025185109,-0.014518177,-0.027335123,-0.032430365,-0.005095241,-0.021661288,-0.02714424,-0.005482953
2003,3,-0.002978492,-0.003225939,-0.000247447,-0.008887322,-0.007117121,0.0017702006,-0.009817036,-0.007421277,0.0023957587
2003,4,0.0161167387,0.0984385754,0.0823218367,0.0272218121,0.0978798119,0.0706579998,0.0168071945,0.0845485609,0.0677413664
2003,5,-0.019405265,0.0958495454,0.1152548102,-0.029445338,0.0804256186,0.1098709569,-0.009784244,0.0851805773,0.0949648215
2003,6,-0.015224115,0.0294064327,0.0446305481,-0.013775079,0.0253624381,0.0391375167,-0.021443159,0.0224797762,0.0439229354
2003,7,0.0377355977,0.0935303669,0.0557947691,0.0262481728,0.0685615282,0.0423133553,0.0343507194,0.0780860954,0.0437353759
2003,8,0.0085492473,0.0661827033,0.057633456,0.0105699899,0.0571705503,0.0466005605,0.0112872577,0.0669355338,0.0556482761
2003,9,0.0202907944,0.0078655386,-0.012425256,0.0347552332,0.0173468353,-0.017408398,0.0237976455,0.0104242871,-0.013373358
2003,10,0.0107325184,0.0987116111,0.0879790927,0.0203086181,0.0914070673,0.0710984493,0.0032609381,0.0894304972,0.0861695591
2003,11,0.0121957315,0.0495340007,0.0373382692,0.0354695881,0.0507142392,0.0152446511,0.0078369928,0.0464676527,0.0386306599
2003,12,-0.009591477,0.0269067407,0.0364982172,-0.019585827,0.0133473355,0.0329331625,-0.005505021,0.0232887202,0.0287937416
2004,1,0.0507101639,0.0718687763,0.0211586124,0.0560384956,0.0788787323,0.0228402368,0.0405519086,0.0630005887,0.0224486801
2004,2,-0.018326371,0.0147358446,0.0330622154,-0.01692043,0.0082368332,0.0251572629,-0.031804054,0.0123293069,0.0441333614
2004,3,-0.026543082,0.0023441085,0.0288871903,-0.029902127,-0.01604698,0.0138551467,-0.029193752,-0.0000387,0.0291550517
