ticker,conm,ret,year,month,EW,VW,PW,n
BGA,BBVA COLUMBIA SA,-0.023622047,2000,1,1,49892.854875,15.875,542
BGA,BBVA COLUMBIA SA,-0.165322581,2000,2,1,48714.2835,15.5,542
BGA,BBVA COLUMBIA SA,-0.09178744,2000,3,1,40660.712438,12.9375,542
BGA,BBVA COLUMBIA SA,-0.063829787,2000,4,1,36928.56975,11.75,542
BGA,BBVA COLUMBIA SA,-0.3125,2000,5,1,34571.427,11,542
BGA,BBVA COLUMBIA SA,-0.223140496,2000,6,1,23767.856063,7.5625,542
BGA,BBVA COLUMBIA SA,-0.361702128,2000,7,1,18464.284875,5.875,542
BGA,BBVA COLUMBIA SA,-0.033333333,2000,8,1,11785.71375,3.75,542
BGA,BBVA COLUMBIA SA,0,2000,9,1,11392.856625,3.625,542
BGA,BBVA COLUMBIA SA,0.0172413793,2000,10,1,11392.856625,3.625,542
BGA,BBVA COLUMBIA SA,-0.033898305,2000,11,1,11589.285188,3.6875,542
BGA,BBVA COLUMBIA SA,-0.122807018,2000,12,1,11196.428063,3.5625,542
BGA,BBVA COLUMBIA SA,0.216,2001,1,1,9821.428125,3.125,542
BGA,BBVA COLUMBIA SA,-0.013157895,2001,2,1,11942.8566,3.8,542
BGA,BBVA COLUMBIA SA,-0.061333333,2001,3,1,11785.71375,3.75,542
BGA,BBVA COLUMBIA SA,0.0085227273,2001,4,1,11062.85664,3.52,542
BGA,BBVA COLUMBIA SA,0,2001,5,1,,3.55,542
BGA,BBVA COLUMBIA SA,,2002,12,1,,,542
