ticker,conm,ret,year,month,EW,VW,PW,n
FLB.1,FLETCHER BUILDING LTD,-0.173333333,2000,1,1,4748.45625,14.0625,313
FLB.1,FLETCHER BUILDING LTD,-0.043010753,2000,2,1,3954.01125,11.625,313
FLB.1,FLETCHER BUILDING LTD,0.025574382,2000,3,1,3783.94625,11.125,313
FLB.1,FLETCHER BUILDING LTD,-0.10982659,2000,4,1,3677.655625,10.8125,313
FLB.1,FLETCHER BUILDING LTD,0.012987013,2000,5,1,3273.75125,9.625,313
FLB.1,FLETCHER BUILDING LTD,0.0769230769,2000,6,1,3316.2675,9.75,313
FLB.1,FLETCHER BUILDING LTD,0.0119047619,2000,7,1,3571.365,10.5,313
FLB.1,FLETCHER BUILDING LTD,-0.105882353,2000,8,1,3613.88125,10.625,313
FLB.1,FLETCHER BUILDING LTD,0.0789473684,2000,9,1,3231.235,9.5,313
FLB.1,FLETCHER BUILDING LTD,-0.286585366,2000,10,1,3486.3325,10.25,313
FLB.1,FLETCHER BUILDING LTD,0.0989963077,2000,11,1,2487.200625,7.3125,313
FLB.1,FLETCHER BUILDING LTD,0.0909090909,2000,12,1,2572.233125,7.5625,313
FLB.1,FLETCHER BUILDING LTD,0.0909090909,2001,1,1,2806.0725,8.25,313
FLB.1,FLETCHER BUILDING LTD,-0.04,2001,2,1,3061.17,9,313
FLB.1,FLETCHER BUILDING LTD,0.0532407407,2001,3,1,2938.7232,8.64,313
FLB.1,FLETCHER BUILDING LTD,0.0798817912,2001,4,1,3095.183,9.1,313
FLB.1,FLETCHER BUILDING LTD,0.0063492063,2001,5,1,3255.91245,9.45,313
FLB.1,FLETCHER BUILDING LTD,-0.016824395,2001,6,1,3276.58491,9.51,313
FLB.1,FLETCHER BUILDING LTD,0.1518716578,2001,7,1,3221.45835,9.35,313
FLB.1,FLETCHER BUILDING LTD,0.0919220056,2001,8,1,3710.70657,10.77,313
FLB.1,FLETCHER BUILDING LTD,-0.119047619,2001,9,1,4051.80216,11.76,313
FLB.1,FLETCHER BUILDING LTD,0.0492277992,2001,10,1,3569.44476,10.36,313
FLB.1,FLETCHER BUILDING LTD,0.1282041306,2001,11,1,3745.16067,10.87,313
FLB.1,FLETCHER BUILDING LTD,0.0100925147,2001,12,1,4096.59249,11.89,313
FLB.1,FLETCHER BUILDING LTD,0.024979184,2002,1,1,4137.93741,12.01,313
FLB.1,FLETCHER BUILDING LTD,0.0479285134,2002,2,1,4241.29971,12.31,313
FLB.1,FLETCHER BUILDING LTD,-0.008147287,2002,3,1,4444.5789,12.9,313
FLB.1,FLETCHER BUILDING LTD,0.0193548387,2002,4,1,4272.3084,12.4,313
FLB.1,FLETCHER BUILDING LTD,0.0838607595,2002,5,1,4354.99824,12.64,313
FLB.1,FLETCHER BUILDING LTD,-0.025547445,2002,6,1,4720.2117,13.7,313
FLB.1,FLETCHER BUILDING LTD,0,2002,7,1,4599.62235,13.35,313
FLB.1,FLETCHER BUILDING LTD,,2002,8,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2002,9,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2002,10,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2002,11,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2002,12,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2003,1,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2003,2,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2003,3,1,,,313
FLB.1,FLETCHER BUILDING LTD,,2003,4,1,,,313
