ticker,conm,ret,year,month,EW,VW,PW,n
HLG,HAILIANG EDUCATION GRP -ADR,,2015,7,1,,,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.006282723,2015,8,1,3485.75,9.55,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0284615385,2015,9,1,3463.85,9.49,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.006157724,2015,10,1,3562.4365,9.7601,114
HLG,HAILIANG EDUCATION GRP -ADR,0,2015,11,1,3984.0616,9.7,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0103092784,2015,12,1,3984.0616,9.7,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0510204082,2016,1,1,4025.1344,9.8,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.029135922,2016,2,1,4230.4984,10.3,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.10499105,2016,3,1,4107.2389272,9.9999,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.106145251,2016,4,1,3676.0156,8.95,114
HLG,HAILIANG EDUCATION GRP -ADR,0,2016,5,1,3285.824,8,114
HLG,HAILIANG EDUCATION GRP -ADR,0.075,2016,6,1,3285.824,8,114
HLG,HAILIANG EDUCATION GRP -ADR,0.023255814,2016,7,1,3532.2608,8.6,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.034090909,2016,8,1,3614.4064,8.8,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0058823529,2016,9,1,3491.188,8.5,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.081871345,2016,10,1,3511.7244,8.55,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0044713376,2016,11,1,3227.9828,7.85,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.06786217,2016,12,1,3242.4162008,7.8851,114
HLG,HAILIANG EDUCATION GRP -ADR,0.1906122449,2017,1,1,3022.3788,7.35,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.036681522,2017,2,1,3598.481208,8.751,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0201660735,2017,3,1,3466.48344,8.43,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0465116279,2017,4,1,3536.3888,8.6,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.153333333,2017,5,1,3700.872,9,114
HLG,HAILIANG EDUCATION GRP -ADR,0.1653543307,2017,6,1,3133.40496,7.62,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0135135135,2017,7,1,3651.52704,8.88,114
HLG,HAILIANG EDUCATION GRP -ADR,0.8666666667,2017,8,1,3700.872,9,114
HLG,HAILIANG EDUCATION GRP -ADR,0.1601190476,2017,9,1,6908.2944,16.8,114
HLG,HAILIANG EDUCATION GRP -ADR,0.3175987686,2017,10,1,8014.44392,19.49,114
HLG,HAILIANG EDUCATION GRP -ADR,0.6257788162,2017,11,1,10559.82144,25.68,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0826347305,2017,12,1,17167.934,41.75,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0307522124,2018,1,1,18586.6016,45.2,114
HLG,HAILIANG EDUCATION GRP -ADR,0.2880446448,2018,2,1,19158.18072,46.59,114
HLG,HAILIANG EDUCATION GRP -ADR,0.2539576737,2018,3,1,24676.59208,60.01,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0897009967,2018,4,1,30943.402,75.25,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.042317073,2018,5,1,33719.056,82,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0454603336,2018,6,1,32292.16424,78.53,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.033008526,2018,7,1,33760.1768,82.1,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.046353445,2018,8,1,32645.80312,79.39,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.071060626,2018,9,1,31132.55768,75.71,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.115455709,2018,10,1,28920.25864,70.33,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.011412956,2018,11,1,25658.5145,62.21,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.18699187,2018,12,1,25365.675,61.5,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.31,2019,1,1,20622.5,50,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0298550725,2019,2,1,14229.525,34.5,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0866873065,2019,3,1,14654.3485,35.53,114
HLG,HAILIANG EDUCATION GRP -ADR,0.4944314944,2019,4,1,15924.6945,38.61,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.06932409,2019,5,1,23798.365,57.7,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0856610801,2019,6,1,22148.565,53.7,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0857632933,2019,7,1,24045.835,58.3,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.000789889,2019,8,1,26108.085,63.3,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0292490119,2019,9,1,26087.4625,63.25,114
HLG,HAILIANG EDUCATION GRP -ADR,0.02246851,2019,10,1,26850.495,65.1,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.007101575,2019,11,1,27453.785615,66.5627,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.012912695,2019,12,1,27258.8205,66.09,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0898789943,2020,1,1,26906.83567,65.2366,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.180168776,2020,2,1,29325.195,71.1,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0121804769,2020,3,1,24041.7105,58.29,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.193220339,2020,4,1,24334.55,59,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.075852941,2020,5,1,19632.62,47.6,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.067943641,2020,6,1,18143.42803,43.9894,114
HLG,HAILIANG EDUCATION GRP -ADR,0.1933971698,2020,7,1,16910.69747,41.0006,114
HLG,HAILIANG EDUCATION GRP -ADR,-0.059881463,2020,8,1,20181.1785,48.93,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0717391304,2020,9,1,18972.7,46,114
HLG,HAILIANG EDUCATION GRP -ADR,0.324137931,2020,10,1,20333.785,49.3,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0055958946,2020,11,1,26924.736,65.28,114
HLG,HAILIANG EDUCATION GRP -ADR,0.0029659397,2020,12,1,27075.403985,65.6453,114
