ticker,conm,ret,year,month,EW,VW,PW,n
ORTX,ORCHARD THRPUTCS PLC -ADR,,2018,10,1,,,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0757142857,2018,11,1,1176.658,14,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0444887118,2018,12,1,1265.74782,15.06,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.193897012,2019,1,1,1350.65645,15.73,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.3525236593,2019,2,1,1088.7682,12.68,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0425655977,2019,3,1,1472.58475,17.15,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0106263982,2019,4,1,1535.28408,17.88,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0464858882,2019,5,1,1551.59862,18.07,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.260179799,2019,6,1,1623.72606,18.91,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0078627591,2019,7,1,1327.18933,13.99,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0496453901,2019,8,1,1337.6247,14.1,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.197297297,2019,9,1,1404.0316,14.8,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.0151515152,2019,10,1,1127.01996,11.88,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.055555556,2019,11,1,1144.09602,12.06,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.2071992976,2019,12,1,1080.53513,11.39,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.096727273,2020,1,1,1304.42125,13.75,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.03784219,2020,2,1,1178.24814,12.42,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.415826222,2020,3,1,1222.83563,12.89,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.4953519256,2020,4,1,714.34851,7.53,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.156305506,2020,5,1,1093.9653,11.26,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.368421053,2020,6,1,922.9725,9.5,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.143333333,2020,7,1,582.93,6,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.1536964981,2020,8,1,499.3767,5.14,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.306913997,2020,9,1,578.63161,5.93,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.01703163,2020,10,1,401.04147,4.11,236
ORTX,ORCHARD THRPUTCS PLC -ADR,0.254950495,2020,11,1,394.21108,4.04,236
ORTX,ORCHARD THRPUTCS PLC -ADR,-0.147928994,2020,12,1,494.71539,5.07,236
