ticker,conm,ret,year,month,EW,VW,PW,n
SIMO,SILICON MOTION TECH -ADR,,2005,6,1,,,447
SIMO,SILICON MOTION TECH -ADR,-0.005714286,2005,7,1,,10.5,447
SIMO,SILICON MOTION TECH -ADR,0.0718390805,2005,8,1,1280.06928,10.44,447
SIMO,SILICON MOTION TECH -ADR,0.3672922252,2005,9,1,1372.02828,11.19,447
SIMO,SILICON MOTION TECH -ADR,-0.060130719,2005,10,1,1875.9636,15.3,447
SIMO,SILICON MOTION TECH -ADR,-0.133518776,2005,11,1,1763.16056,14.38,447
SIMO,SILICON MOTION TECH -ADR,-0.036918138,2005,12,1,1527.74552,12.46,447
SIMO,SILICON MOTION TECH -ADR,0.3475,2006,1,1,1471.344,12,447
SIMO,SILICON MOTION TECH -ADR,-0.108843537,2006,2,1,1982.63604,16.17,447
SIMO,SILICON MOTION TECH -ADR,-0.158223456,2006,3,1,1766.83892,14.41,447
SIMO,SILICON MOTION TECH -ADR,0.2267106348,2006,4,1,1487.28356,12.13,447
SIMO,SILICON MOTION TECH -ADR,-0.053763441,2006,5,1,1824.46656,14.88,447
SIMO,SILICON MOTION TECH -ADR,0.0184659091,2006,6,1,1733.44512,14.08,447
SIMO,SILICON MOTION TECH -ADR,-0.066945607,2006,7,1,1765.45476,14.34,447
SIMO,SILICON MOTION TECH -ADR,0.1061285501,2006,8,1,1649.754,13.38,447
SIMO,SILICON MOTION TECH -ADR,0.1236486486,2006,9,1,1824.84,14.8,447
SIMO,SILICON MOTION TECH -ADR,-0.075766687,2006,10,1,2050.479,16.63,447
SIMO,SILICON MOTION TECH -ADR,0.0663630449,2006,11,1,1902.08361,15.37,447
SIMO,SILICON MOTION TECH -ADR,-0.031726663,2006,12,1,2028.31167,16.39,447
SIMO,SILICON MOTION TECH -ADR,0.161310649,2007,1,1,1963.96011,15.87,447
SIMO,SILICON MOTION TECH -ADR,0.1318502442,2007,2,1,2280.76779,18.43,447
SIMO,SILICON MOTION TECH -ADR,0.07957814,2007,3,1,2582.0508,20.86,447
SIMO,SILICON MOTION TECH -ADR,0.0772646536,2007,4,1,2787.5256,22.52,447
SIMO,SILICON MOTION TECH -ADR,-0.04657873,2007,5,1,3002.9028,24.26,447
SIMO,SILICON MOTION TECH -ADR,0.0734976221,2007,6,1,2863.0314,23.13,447
SIMO,SILICON MOTION TECH -ADR,-0.262988321,2007,7,1,3073.4574,24.83,447
SIMO,SILICON MOTION TECH -ADR,0.1803278689,2007,8,1,2400.5391,18.3,447
SIMO,SILICON MOTION TECH -ADR,0.0421296296,2007,9,1,2833.4232,21.6,447
SIMO,SILICON MOTION TECH -ADR,0.1106175033,2007,10,1,2952.79427,22.51,447
SIMO,SILICON MOTION TECH -ADR,-0.2444,2007,11,1,3279.425,25,447
SIMO,SILICON MOTION TECH -ADR,-0.058761249,2007,12,1,2477.93353,18.89,447
SIMO,SILICON MOTION TECH -ADR,-0.133858268,2008,1,1,2332.32706,17.78,447
SIMO,SILICON MOTION TECH -ADR,-0.034415584,2008,2,1,2020.1258,15.4,447
SIMO,SILICON MOTION TECH -ADR,-0.050437122,2008,3,1,1950.60199,14.87,447
SIMO,SILICON MOTION TECH -ADR,0.2344192635,2008,4,1,1852.21924,14.12,447
SIMO,SILICON MOTION TECH -ADR,0.1084337349,2008,5,1,2286.41511,17.43,447
SIMO,SILICON MOTION TECH -ADR,-0.252070393,2008,6,1,2567.0484,19.32,447
SIMO,SILICON MOTION TECH -ADR,-0.487889273,2008,7,1,1919.9715,14.45,447
SIMO,SILICON MOTION TECH -ADR,0.0054054054,2008,8,1,983.238,7.4,447
SIMO,SILICON MOTION TECH -ADR,-0.370967742,2008,9,1,988.5528,7.44,447
SIMO,SILICON MOTION TECH -ADR,-0.256410256,2008,10,1,621.8316,4.68,447
SIMO,SILICON MOTION TECH -ADR,-0.16091954,2008,11,1,462.3876,3.48,447
SIMO,SILICON MOTION TECH -ADR,-0.215753425,2008,12,1,387.9804,2.92,447
SIMO,SILICON MOTION TECH -ADR,0.2270742358,2009,1,1,304.2723,2.29,447
SIMO,SILICON MOTION TECH -ADR,-0.266903915,2009,2,1,373.3647,2.81,447
SIMO,SILICON MOTION TECH -ADR,0.3495145631,2009,3,1,273.7122,2.06,447
SIMO,SILICON MOTION TECH -ADR,0.154676259,2009,4,1,369.3786,2.78,447
SIMO,SILICON MOTION TECH -ADR,-0.012461059,2009,5,1,426.5127,3.21,447
SIMO,SILICON MOTION TECH -ADR,0.1514195584,2009,6,1,421.1979,3.17,447
SIMO,SILICON MOTION TECH -ADR,0.0301369863,2009,7,1,484.9755,3.65,447
SIMO,SILICON MOTION TECH -ADR,-0.069148936,2009,8,1,417.6796,3.76,447
SIMO,SILICON MOTION TECH -ADR,0.1371428571,2009,9,1,388.7975,3.5,447
