ticker,conm,ret,year,month,EW,VW,PW,n
UL,UNILEVER PLC,-0.148760331,2000,1,1,98633.513,30.25,21
UL,UNILEVER PLC,-0.048543689,2000,2,1,83960.759,25.75,21
UL,UNILEVER PLC,0.0663265306,2000,3,1,79884.994,24.5,21
UL,UNILEVER PLC,-0.026369378,2000,4,1,85183.4885,26.125,21
UL,UNILEVER PLC,0.0929648241,2000,5,1,81107.7235,24.875,21
UL,UNILEVER PLC,-0.075862069,2000,6,1,88647.88875,27.1875,21
UL,UNILEVER PLC,-0.037313433,2000,7,1,81922.8765,25.125,21
UL,UNILEVER PLC,0.0542635659,2000,8,1,78866.05275,24.1875,21
UL,UNILEVER PLC,0.0294117647,2000,9,1,83145.606,25.5,21
UL,UNILEVER PLC,0.0619047619,2000,10,1,85591.065,26.25,21
UL,UNILEVER PLC,0.2232609865,2000,11,1,90889.5595,27.875,21
UL,UNILEVER PLC,0.022181146,2000,12,1,110249.44325,33.8125,21
UL,UNILEVER PLC,-0.10596745,2001,1,1,112694.90225,34.5625,21
UL,UNILEVER PLC,-0.00776699,2001,2,1,100752.9108,30.9,21
UL,UNILEVER PLC,-0.053816047,2001,3,1,99970.36392,30.66,21
UL,UNILEVER PLC,0.0659427784,2001,4,1,94590.35412,29.01,21
UL,UNILEVER PLC,0.0240368785,2001,5,1,99024.78644,30.37,21
UL,UNILEVER PLC,0.1093247588,2001,6,1,101405.0332,31.1,21
UL,UNILEVER PLC,-0.002898551,2001,7,1,112491.114,34.5,21
UL,UNILEVER PLC,0,2001,8,1,112165.0528,34.4,21
UL,UNILEVER PLC,-0.127906977,2001,9,1,112165.0528,34.4,21
UL,UNILEVER PLC,-0.031666667,2001,10,1,97818.36,30,21
UL,UNILEVER PLC,0.1249638554,2001,11,1,94720.7786,29.05,21
UL,UNILEVER PLC,0.0274861025,2001,12,1,105578.61656,32.38,21
UL,UNILEVER PLC,-0.01653141,2002,1,1,108480.56124,33.27,21
UL,UNILEVER PLC,0.0259779951,2002,2,1,95262.93848,32.72,21
UL,UNILEVER PLC,-0.055704498,2002,3,1,97737.67863,33.57,21
UL,UNILEVER PLC,0.1529968454,2002,4,1,92293.2503,31.7,21
UL,UNILEVER PLC,0.0325937073,2002,5,1,106413.82645,36.55,21
UL,UNILEVER PLC,-0.015633423,2002,6,1,108015.1289,37.1,21
UL,UNILEVER PLC,-0.04271632,2002,7,1,106326.48268,36.52,21
UL,UNILEVER PLC,0.0429061785,2002,8,1,101784.60664,34.96,21
UL,UNILEVER PLC,-0.000274273,2002,9,1,106151.79514,36.46,21
UL,UNILEVER PLC,0.0718792867,2002,10,1,106122.68055,36.45,21
UL,UNILEVER PLC,-0.081884822,2002,11,1,113750.70313,39.07,21
UL,UNILEVER PLC,0.077161363,2002,12,1,103385.90909,35.51,21
UL,UNILEVER PLC,-0.078431373,2003,1,1,111363.30675,38.25,21
UL,UNILEVER PLC,-0.002836879,2003,2,1,102628.92975,35.25,21
UL,UNILEVER PLC,0.0540540541,2003,3,1,102337.78385,35.15,21
UL,UNILEVER PLC,0.0599190283,2003,4,1,107869.55595,37.05,21
UL,UNILEVER PLC,-0.061983703,2003,5,1,114332.99493,39.27,21
UL,UNILEVER PLC,-0.111787493,2003,6,1,105220.20054,36.14,21
UL,UNILEVER PLC,0.0277258567,2003,7,1,93457.8981,32.1,21
UL,UNILEVER PLC,-0.01121552,2003,8,1,96049.09839,32.99,21
UL,UNILEVER PLC,0.0619251993,2003,9,1,94971.85782,32.62,21
UL,UNILEVER PLC,-0.012702079,2003,10,1,100853.00904,34.64,21
UL,UNILEVER PLC,0.0425935673,2003,11,1,99571.9662,34.2,21
UL,UNILEVER PLC,0.066969353,2003,12,1,102599.88564,35.24,21
UL,UNILEVER PLC,0.0380319149,2004,1,1,109470.9336,37.6,21
UL,UNILEVER PLC,0.0889059698,2004,2,1,113634.32283,39.03,21
UL,UNILEVER PLC,-0.051764706,2004,3,1,123737.0925,42.5,21
UL,UNILEVER PLC,-0.045409429,2004,4,1,117331.8783,40.3,21
UL,UNILEVER PLC,0.0211827398,2004,5,1,112003.94314,38.47,21
UL,UNILEVER PLC,0.0345993757,2004,6,1,111916.48396,38.44,21
UL,UNILEVER PLC,-0.098566759,2004,7,1,115788.72443,39.77,21
UL,UNILEVER PLC,-0.028172943,2004,8,1,104375.80515,35.85,21
UL,UNILEVER PLC,-0.052238806,2004,9,1,101435.23156,34.84,21
UL,UNILEVER PLC,0.0324046033,2004,10,1,96136.37618,33.02,21
UL,UNILEVER PLC,0.0993077149,2004,11,1,99251.63731,34.09,21
UL,UNILEVER PLC,0.0678195082,2004,12,1,107753.09759,37.01,21
UL,UNILEVER PLC,-0.030870445,2005,1,1,115060.85968,39.52,21
UL,UNILEVER PLC,0.0133159269,2005,2,1,111508.8797,38.3,21
UL,UNILEVER PLC,0.0306622005,2005,3,1,112993.72379,38.81,21
UL,UNILEVER PLC,-0.041,2005,4,1,116458.36,40,21
UL,UNILEVER PLC,0.0541136601,2005,5,1,111683.56724,38.36,21
