ticker,conm,ret,year,month,EW,VW,PW,n
VISN,VISIONCHINA MEDIA INC,,2007,12,1,,,484
VISN,VISIONCHINA MEDIA INC,-0.194117647,2008,1,1,580.975,8.5,484
VISN,VISIONCHINA MEDIA INC,0.5284671533,2008,2,1,468.1975,6.85,484
VISN,VISIONCHINA MEDIA INC,0.0582617001,2008,3,1,715.6245,10.47,484
VISN,VISIONCHINA MEDIA INC,0.3312274368,2008,4,1,757.318,11.08,484
VISN,VISIONCHINA MEDIA INC,0.28,2008,5,1,1008.782,14.75,484
VISN,VISIONCHINA MEDIA INC,-0.159427966,2008,6,1,1291.24096,18.88,484
VISN,VISIONCHINA MEDIA INC,0.5778197858,2008,7,1,1085.38104,15.87,484
VISN,VISIONCHINA MEDIA INC,-0.245207668,2008,8,1,1712.53568,25.04,484
VISN,VISIONCHINA MEDIA INC,-0.221693122,2008,9,1,1355.2812,18.9,484
VISN,VISIONCHINA MEDIA INC,-0.456152277,2008,10,1,1054.82468,14.71,484
VISN,VISIONCHINA MEDIA INC,-0.15375,2008,11,1,573.664,8,484
VISN,VISIONCHINA MEDIA INC,-0.193500739,2008,12,1,485.46316,6.77,484
VISN,VISIONCHINA MEDIA INC,0.1318681319,2009,1,1,391.52568,5.46,484
VISN,VISIONCHINA MEDIA INC,-0.019417476,2009,2,1,443.15544,6.18,484
VISN,VISIONCHINA MEDIA INC,0.0643564356,2009,3,1,434.55048,6.06,484
VISN,VISIONCHINA MEDIA INC,-0.16744186,2009,4,1,462.5166,6.45,484
VISN,VISIONCHINA MEDIA INC,0.1229050279,2009,5,1,385.66803,5.37,484
VISN,VISIONCHINA MEDIA INC,0.0132669983,2009,6,1,433.06857,6.03,484
VISN,VISIONCHINA MEDIA INC,0.0752864157,2009,7,1,438.81409,6.11,484
VISN,VISIONCHINA MEDIA INC,-0.141552511,2009,8,1,471.85083,6.57,484
VISN,VISIONCHINA MEDIA INC,0.4113475177,2009,9,1,405.05916,5.64,484
VISN,VISIONCHINA MEDIA INC,0.0502512563,2009,10,1,571.67924,7.96,484
VISN,VISIONCHINA MEDIA INC,0.1028708134,2009,11,1,600.40684,8.36,484
VISN,VISIONCHINA MEDIA INC,0.1843817787,2009,12,1,662.17118,9.22,484
VISN,VISIONCHINA MEDIA INC,-0.204212454,2010,1,1,784.26348,10.92,484
VISN,VISIONCHINA MEDIA INC,-0.113924051,2010,2,1,624.10711,8.69,484
VISN,VISIONCHINA MEDIA INC,-0.38961039,2010,3,1,553.0063,7.7,484
VISN,VISIONCHINA MEDIA INC,-0.087234043,2010,4,1,337.5493,4.7,484
VISN,VISIONCHINA MEDIA INC,-0.298368298,2010,5,1,308.10351,4.29,484
VISN,VISIONCHINA MEDIA INC,-0.003322259,2010,6,1,216.17519,3.01,484
VISN,VISIONCHINA MEDIA INC,0.3366666667,2010,7,1,215.457,3,484
VISN,VISIONCHINA MEDIA INC,-0.104738155,2010,8,1,287.99419,4.01,484
VISN,VISIONCHINA MEDIA INC,0.2562674095,2010,9,1,257.83021,3.59,484
VISN,VISIONCHINA MEDIA INC,-0.075388027,2010,10,1,323.90369,4.51,484
VISN,VISIONCHINA MEDIA INC,-0.117505995,2010,11,1,299.48523,4.17,484
VISN,VISIONCHINA MEDIA INC,0.2608695652,2010,12,1,264.29392,3.68,484
VISN,VISIONCHINA MEDIA INC,-0.0625,2011,1,1,334.73424,4.64,484
VISN,VISIONCHINA MEDIA INC,0.0045977011,2011,2,1,444.7875,4.35,484
VISN,VISIONCHINA MEDIA INC,-0.009153318,2011,3,1,446.8325,4.37,484
VISN,VISIONCHINA MEDIA INC,-0.006928406,2011,4,1,442.7425,4.33,484
VISN,VISIONCHINA MEDIA INC,-0.113953488,2011,5,1,439.675,4.3,484
VISN,VISIONCHINA MEDIA INC,-0.257217848,2011,6,1,389.5725,3.81,484
VISN,VISIONCHINA MEDIA INC,-0.042402827,2011,7,1,289.3675,2.83,484
VISN,VISIONCHINA MEDIA INC,-0.3099631,2011,8,1,277.0975,2.71,484
VISN,VISIONCHINA MEDIA INC,-0.021390374,2011,9,1,191.2075,1.87,484
VISN,VISIONCHINA MEDIA INC,-0.010928962,2011,10,1,187.1175,1.83,484
VISN,VISIONCHINA MEDIA INC,-0.392265193,2011,11,1,185.0725,1.81,484
VISN,VISIONCHINA MEDIA INC,0.1272727273,2011,12,1,112.475,1.1,484
