ticker,conm,ret,year,month,EW,VW,PW,n
VOD,VODAFONE GROUP PLC,0.1313131313,2000,1,1,1536602.76,49.5,44
VOD,VODAFONE GROUP PLC,0.0301339286,2000,2,1,1738378.88,56,44
VOD,VODAFONE GROUP PLC,-0.036836403,2000,3,1,3320254.6544,57.6875,44
VOD,VODAFONE GROUP PLC,-0.154105737,2000,4,1,3342134.4368,55.5625,44
VOD,VODAFONE GROUP PLC,-0.025265957,2000,5,1,2892267.576,47,44
VOD,VODAFONE GROUP PLC,-0.093029195,2000,6,1,2819191.6665,45.8125,44
VOD,VODAFONE GROUP PLC,0.0407239819,2000,7,1,2549964.6315,41.4375,44
VOD,VODAFONE GROUP PLC,-0.050724638,2000,8,1,2653809.345,43.125,44
VOD,VODAFONE GROUP PLC,-0.096183206,2000,9,1,2519195.8275,40.9375,44
VOD,VODAFONE GROUP PLC,0.1503378378,2000,10,1,2276891.496,37,44
VOD,VODAFONE GROUP PLC,-0.189782085,2000,11,1,2619194.4405,42.5625,44
VOD,VODAFONE GROUP PLC,0.0418181818,2000,12,1,2115355.275,34.375,44
VOD,VODAFONE GROUP PLC,-0.023525305,2001,1,1,2203815.5865,35.8125,44
VOD,VODAFONE GROUP PLC,-0.219044896,2001,2,1,2257235.1672,34.97,44
VOD,VODAFONE GROUP PLC,-0.00585866,2001,3,1,1762799.3256,27.31,44
VOD,VODAFONE GROUP PLC,0.1152854512,2001,4,1,1753433.4728,27.15,44
VOD,VODAFONE GROUP PLC,-0.144980185,2001,5,1,1968383.3151,30.28,44
VOD,VODAFONE GROUP PLC,-0.132371572,2001,6,1,1683006.7381,25.89,44
VOD,VODAFONE GROUP PLC,-0.035794183,2001,7,1,1521529.9571,22.35,44
VOD,VODAFONE GROUP PLC,-0.064965197,2001,8,1,1467068.0347,21.55,44
VOD,VODAFONE GROUP PLC,0.0898263027,2001,9,1,1372302.2294,20.15,44
VOD,VODAFONE GROUP PLC,0.0528233151,2001,10,1,1495571.0648,21.96,44
VOD,VODAFONE GROUP PLC,0.100916955,2001,11,1,1574572.0865,23.12,44
VOD,VODAFONE GROUP PLC,0.0134175217,2001,12,1,1726043.5265,25.34,44
VOD,VODAFONE GROUP PLC,-0.154984424,2002,1,1,1749202.753,25.68,44
VOD,VODAFONE GROUP PLC,-0.124423963,2002,2,1,1478103.5724,21.7,44
VOD,VODAFONE GROUP PLC,-0.03,2002,3,1,1294542.77,19,44
VOD,VODAFONE GROUP PLC,-0.120998372,2002,4,1,1255706.4869,18.43,44
VOD,VODAFONE GROUP PLC,-0.078395062,2002,5,1,1103768.046,16.2,44
VOD,VODAFONE GROUP PLC,-0.077240455,2002,6,1,1017238.0819,14.93,44
VOD,VODAFONE GROUP PLC,0.1113553114,2002,7,1,930026.7795,13.65,44
VOD,VODAFONE GROUP PLC,0.0540540541,2002,8,1,1033590.2011,15.17,44
VOD,VODAFONE GROUP PLC,-0.197623515,2002,9,1,1089459.9417,15.99,44
VOD,VODAFONE GROUP PLC,0.2408417771,2002,10,1,874157.0389,12.83,44
VOD,VODAFONE GROUP PLC,0.1867713568,2002,11,1,1084690.5736,15.92,44
VOD,VODAFONE GROUP PLC,-0.0336,2002,12,1,1277509.3125,18.75,44
VOD,VODAFONE GROUP PLC,0.0402869757,2003,1,1,1234584.9996,18.12,44
VOD,VODAFONE GROUP PLC,-0.039787798,2003,2,1,1284322.6955,18.85,44
VOD,VODAFONE GROUP PLC,0.0066298343,2003,3,1,1233222.323,18.1,44
VOD,VODAFONE GROUP PLC,0.0845225027,2003,4,1,1241398.3826,18.22,44
VOD,VODAFONE GROUP PLC,0.108805668,2003,5,1,1346324.4808,19.76,44
VOD,VODAFONE GROUP PLC,-0.096590598,2003,6,1,1492812.2153,21.91,44
VOD,VODAFONE GROUP PLC,-0.034096692,2003,7,1,1338829.7595,19.65,44
VOD,VODAFONE GROUP PLC,-0.035827187,2003,8,1,1293180.0934,18.98,44
VOD,VODAFONE GROUP PLC,0.106557377,2003,9,1,1246849.089,18.3,44
VOD,VODAFONE GROUP PLC,0.0444444444,2003,10,1,1379710.0575,20.25,44
VOD,VODAFONE GROUP PLC,0.1120898345,2003,11,1,1441030.5045,21.15,44
VOD,VODAFONE GROUP PLC,0.0723768737,2003,12,1,1590924.9305,23.35,44
VOD,VODAFONE GROUP PLC,0.0223642173,2004,1,1,1706071.1032,25.04,44
VOD,VODAFONE GROUP PLC,-0.024609375,2004,2,1,1744226.048,25.6,44
VOD,VODAFONE GROUP PLC,-0.042851422,2004,3,1,1701301.7351,24.97,44
VOD,VODAFONE GROUP PLC,0.0267782427,2004,4,1,1628398.537,23.9,44
VOD,VODAFONE GROUP PLC,-0.031784841,2004,5,1,1655564.8422,24.54,44
VOD,VODAFONE GROUP PLC,-0.061460438,2004,6,1,1602942.9768,23.76,44
VOD,VODAFONE GROUP PLC,-0.016742081,2004,7,1,1490952.853,22.1,44
VOD,VODAFONE GROUP PLC,0.0538426139,2004,8,1,1465991.1989,21.73,44
VOD,VODAFONE GROUP PLC,0.0528384279,2004,9,1,1544923.997,22.9,44
VOD,VODAFONE GROUP PLC,0.0696806304,2004,10,1,1626555.3523,24.11,44
VOD,VODAFONE GROUP PLC,0.0712097712,2004,11,1,1739894.7547,25.79,44
VOD,VODAFONE GROUP PLC,0.0040337367,2004,12,1,1839741.3711,27.27,44
VOD,VODAFONE GROUP PLC,-0.051132213,2005,1,1,1847162.4034,27.38,44
VOD,VODAFONE GROUP PLC,0.0119322556,2005,2,1,1752712.9014,25.98,44
VOD,VODAFONE GROUP PLC,0.0102700647,2005,3,1,1773626.7197,26.29,44
VOD,VODAFONE GROUP PLC,-0.015813253,2005,4,1,1791841.9808,26.56,44
VOD,VODAFONE GROUP PLC,-0.036725325,2005,5,1,1763507.1302,26.14,44
VOD,VODAFONE GROUP PLC,-0.019138205,2005,6,1,1698741.7574,25.18,44
VOD,VODAFONE GROUP PLC,0.0620888158,2005,7,1,1640722.7776,24.32,44
VOD,VODAFONE GROUP PLC,0.0549748355,2005,8,1,1742593.3119,25.83,44
VOD,VODAFONE GROUP PLC,-0.046972477,2005,9,1,1838392.0925,27.25,44
VOD,VODAFONE GROUP PLC,0.0111667308,2005,10,1,1752038.2621,25.97,44
