ticker,conm,ret,year,month,EW,VW,PW,n
WB,WEIBO CORP,,2014,4,1,,,95
WB,WEIBO CORP,-0.053169734,2014,5,1,1574.03232,19.56,95
WB,WEIBO CORP,0.1058315335,2014,6,1,1490.34144,18.52,95
WB,WEIBO CORP,-0.044921875,2014,7,1,1648.06656,20.48,95
WB,WEIBO CORP,0.018404908,2014,8,1,1574.03232,19.56,95
WB,WEIBO CORP,-0.061746988,2014,9,1,1603.00224,19.92,95
WB,WEIBO CORP,-0.009630819,2014,10,1,1504.02168,18.69,95
WB,WEIBO CORP,-0.030253917,2014,11,1,1489.53672,18.51,95
WB,WEIBO CORP,-0.206685237,2014,12,1,1444.4724,17.95,95
WB,WEIBO CORP,-0.126404494,2015,1,1,1145.92128,14.24,95
WB,WEIBO CORP,0.0723472669,2015,2,1,1001.07168,12.44,95
WB,WEIBO CORP,-0.033733133,2015,3,1,1073.49648,13.34,95
WB,WEIBO CORP,0.294026377,2015,4,1,1037.28408,12.89,95
WB,WEIBO CORP,-0.049760192,2015,5,1,1342.27296,16.68,95
WB,WEIBO CORP,0.0813880126,2015,6,1,1436.5489,15.85,95
WB,WEIBO CORP,-0.181446908,2015,7,1,1553.46676,17.14,95
WB,WEIBO CORP,-0.135424091,2015,8,1,1271.59502,14.03,95
WB,WEIBO CORP,-0.036273702,2015,9,1,1099.39042,12.13,95
WB,WEIBO CORP,0.378956373,2015,10,1,1059.51146,11.69,95
WB,WEIBO CORP,0.1538461538,2015,11,1,1461.02008,16.12,95
WB,WEIBO CORP,0.0483870968,2015,12,1,1685.7924,18.6,95
WB,WEIBO CORP,-0.219487179,2016,1,1,1767.363,19.5,95
WB,WEIBO CORP,-0.056504599,2016,2,1,1379.44948,15.22,95
WB,WEIBO CORP,0.25,2016,3,1,1301.50424,14.36,95
WB,WEIBO CORP,0.3632311978,2016,4,1,1626.8803,17.95,95
WB,WEIBO CORP,0.086636698,2016,5,1,2366.64052,24.47,95
WB,WEIBO CORP,0.0684467845,2016,6,1,2571.67844,26.59,95
WB,WEIBO CORP,0.1453713481,2016,7,1,2747.70156,28.41,95
WB,WEIBO CORP,0.4680393362,2016,8,1,3147.13864,32.54,95
WB,WEIBO CORP,0.0496127277,2016,9,1,4620.12332,47.77,95
WB,WEIBO CORP,-0.082369366,2016,10,1,4998.55688,50.14,95
WB,WEIBO CORP,0.1151923495,2016,11,1,4586.82892,46.01,95
WB,WEIBO CORP,-0.208731241,2016,12,1,5115.19652,51.31,95
WB,WEIBO CORP,0.1876847291,2017,1,1,4047.4952,40.6,95
WB,WEIBO CORP,0.0476980506,2017,2,1,4807.14824,48.22,95
WB,WEIBO CORP,0.032858274,2017,3,1,5036.43984,50.52,95
WB,WEIBO CORP,0.0705251054,2017,4,1,5201.92856,52.18,95
WB,WEIBO CORP,0.3163265306,2017,5,1,5568.79512,55.86,95
WB,WEIBO CORP,-0.096015232,2017,6,1,8026.16715,73.53,95
WB,WEIBO CORP,0.1576651121,2017,7,1,7255.53285,66.47,95
WB,WEIBO CORP,0.3138401559,2017,8,1,8399.47725,76.95,95
WB,WEIBO CORP,-0.021364985,2017,9,1,11035.5705,101.1,95
WB,WEIBO CORP,-0.063573883,2017,10,1,10799.7957,98.94,95
WB,WEIBO CORP,0.1717215326,2017,11,1,10113.21075,92.65,95
WB,WEIBO CORP,-0.046978629,2017,12,1,11849.8668,108.56,95
WB,WEIBO CORP,0.252368065,2018,1,1,11293.1763,103.46,95
WB,WEIBO CORP,-0.008103728,2018,2,1,14143.21335,129.57,95
WB,WEIBO CORP,-0.069872393,2018,3,1,14028.6006,128.52,95
WB,WEIBO CORP,-0.041994312,2018,4,1,13048.3887,119.54,95
WB,WEIBO CORP,-0.110111771,2018,5,1,12500.4306,114.52,95
WB,WEIBO CORP,-0.129035423,2018,6,1,12369.32625,101.91,95
WB,WEIBO CORP,-0.06771068,2018,7,1,10773.245,88.76,95
WB,WEIBO CORP,-0.072628399,2018,8,1,10043.78125,82.75,95
WB,WEIBO CORP,-0.04704196,2018,9,1,9314.3175,76.74,95
WB,WEIBO CORP,-0.193080815,2018,10,1,8876.15375,73.13,95
WB,WEIBO CORP,0.079139129,2018,11,1,7162.33875,59.01,95
WB,WEIBO CORP,-0.082443467,2018,12,1,7729.16,63.68,95
WB,WEIBO CORP,0.038165326,2019,1,1,7091.94125,58.43,95
WB,WEIBO CORP,0.1910649522,2019,2,1,7362.6075,60.66,95
WB,WEIBO CORP,-0.14200692,2019,3,1,8769.34375,72.25,95
WB,WEIBO CORP,0.1050169382,2019,4,1,7524.03625,61.99,95
WB,WEIBO CORP,-0.393868613,2019,5,1,8443.036,68.5,95
WB,WEIBO CORP,0.0488921002,2019,6,1,5117.58912,41.52,95
WB,WEIBO CORP,-0.100574053,2019,7,1,5367.7988,43.55,95
WB,WEIBO CORP,0.0561654327,2019,8,1,4827.93752,39.17,95
WB,WEIBO CORP,0.0817017162,2019,9,1,5099.10072,41.37,95
WB,WEIBO CORP,0.0992178771,2019,10,1,5515.706,44.75,95
WB,WEIBO CORP,-0.129701159,2019,11,1,6062.96264,49.19,95
WB,WEIBO CORP,0.0826909601,2019,12,1,5276.58936,42.81,95
WB,WEIBO CORP,-0.080474649,2020,1,1,5712.9156,46.35,95
WB,WEIBO CORP,-0.011262318,2020,2,1,5253.17072,42.62,95
WB,WEIBO CORP,-0.214285714,2020,3,1,5194.00784,42.14,95
WB,WEIBO CORP,0.1334944126,2020,4,1,4081.00616,33.11,95
WB,WEIBO CORP,-0.180122569,2020,5,1,4625.79768,37.53,95
WB,WEIBO CORP,0.0919727007,2020,6,1,3836.49591,30.77,95
WB,WEIBO CORP,0.0285714286,2020,7,1,4189.3488,33.6,95
WB,WEIBO CORP,0.0792824074,2020,8,1,4309.04448,34.56,95
WB,WEIBO CORP,-0.023324397,2020,9,1,4650.6759,37.3,95
WB,WEIBO CORP,0.1405435081,2020,10,1,4542.20169,36.43,95
WB,WEIBO CORP,0.0168471721,2020,11,1,5180.57865,41.55,95
WB,WEIBO CORP,-0.029822485,2020,12,1,5267.85675,42.25,95
