ticker,conm,ret,year,month,EW,VW,PW,n
ZEAL,ZEALAND PHARMA AS,,2017,8,1,,,684
ZEAL,ZEALAND PHARMA AS,0.0212765957,2017,9,1,577.5172,18.8,684
ZEAL,ZEALAND PHARMA AS,-0.047395833,2017,10,1,590.3808,19.2,684
ZEAL,ZEALAND PHARMA AS,-0.252597048,2017,11,1,562.39921,18.29,684
ZEAL,ZEALAND PHARMA AS,-0.005120702,2017,12,1,420.36617,13.67,684
ZEAL,ZEALAND PHARMA AS,0.2404411765,2018,1,1,418.2136,13.6,684
ZEAL,ZEALAND PHARMA AS,-0.078838174,2018,2,1,518.76937,16.87,684
ZEAL,ZEALAND PHARMA AS,-0.033462033,2018,3,1,477.87054,15.54,684
ZEAL,ZEALAND PHARMA AS,-0.007989348,2018,4,1,461.88002,15.02,684
ZEAL,ZEALAND PHARMA AS,-0.010067114,2018,5,1,458.1899,14.9,684
ZEAL,ZEALAND PHARMA AS,-0.140338983,2018,6,1,453.57725,14.75,684
ZEAL,ZEALAND PHARMA AS,0.1324921136,2018,7,1,389.92268,12.68,684
ZEAL,ZEALAND PHARMA AS,0.0132311978,2018,8,1,441.58436,14.36,684
ZEAL,ZEALAND PHARMA AS,0.135395189,2018,9,1,447.42705,14.55,684
ZEAL,ZEALAND PHARMA AS,-0.228208232,2018,10,1,508.13868,16.52,684
ZEAL,ZEALAND PHARMA AS,0.0603921569,2018,11,1,392.17725,12.75,684
ZEAL,ZEALAND PHARMA AS,-0.141272189,2018,12,1,415.86168,13.52,684
ZEAL,ZEALAND PHARMA AS,0.2618432386,2019,1,1,357.11199,11.61,684
ZEAL,ZEALAND PHARMA AS,0.0034129693,2019,2,1,450.61935,14.65,684
ZEAL,ZEALAND PHARMA AS,0.1578231293,2019,3,1,452.1573,14.7,684
ZEAL,ZEALAND PHARMA AS,0.223266745,2019,4,1,523.51818,17.02,684
ZEAL,ZEALAND PHARMA AS,0.0004803074,2019,5,1,659.5776,20.82,684
ZEAL,ZEALAND PHARMA AS,0.0333221315,2019,6,1,659.8944,20.83,684
ZEAL,ZEALAND PHARMA AS,0.0513796163,2019,7,1,684.7892415,21.5241,684
ZEAL,ZEALAND PHARMA AS,-0.152010605,2019,8,1,719.97345,22.63,684
ZEAL,ZEALAND PHARMA AS,0.3215216258,2019,9,1,610.83689,19.19,684
ZEAL,ZEALAND PHARMA AS,0.1612776025,2019,10,1,909.5364,25.36,684
ZEAL,ZEALAND PHARMA AS,0.0502546689,2019,11,1,1056.22425,29.45,684
ZEAL,ZEALAND PHARMA AS,0.0733915293,2019,12,1,1114.22232,30.93,684
ZEAL,ZEALAND PHARMA AS,0.1524096386,2020,1,1,1197.026,33.2,684
ZEAL,ZEALAND PHARMA AS,-0.065081025,2020,2,1,1379.4643,38.26,684
ZEAL,ZEALAND PHARMA AS,-0.035504613,2020,3,1,1289.68735,35.77,684
ZEAL,ZEALAND PHARMA AS,0.0144927536,2020,4,1,1247.037,34.5,684
ZEAL,ZEALAND PHARMA AS,0.1714285714,2020,5,1,1292.095,35,684
ZEAL,ZEALAND PHARMA AS,-0.146341463,2020,6,1,1517.328,41,684
ZEAL,ZEALAND PHARMA AS,-0.073142857,2020,7,1,1390.69,35,684
ZEAL,ZEALAND PHARMA AS,0.1797163995,2020,8,1,1288.97096,32.44,684
ZEAL,ZEALAND PHARMA AS,0.0036582179,2020,9,1,1521.80655,38.27,684
ZEAL,ZEALAND PHARMA AS,-0.121322572,2020,10,1,1527.91139,38.41,684
ZEAL,ZEALAND PHARMA AS,0.1416296296,2020,11,1,1342.54125,33.75,684
ZEAL,ZEALAND PHARMA AS,-0.067220348,2020,12,1,1533.30135,38.53,684
