ticker,conm,ret,year,month,EW,VW,PW,n
BGX,BLACKSTONE/GSO LONG-SHORT FD,,2011,1,1,,,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0,2011,2,1,250,20,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0229,2011,3,1,250,20,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.00992629,2011,4,1,254.375,20.35,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0108782435,2011,5,1,250.5,20.04,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.015766749,2011,6,1,251.875,20.15,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.006403269,2011,7,1,246.55375,19.7243,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.068855823,2011,8,1,243.625,19.49,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.037804878,2011,9,1,225.5,18.04,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.079884058,2011,10,1,215.625,17.25,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.017386609,2011,11,1,231.5,18.52,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.050967385,2011,12,1,226.125,18.09,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.076084408,2012,1,1,213.25,17.06,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0207123288,2012,2,1,228.125,18.25,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.007667387,2012,3,1,231.5,18.52,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0157635468,2012,4,1,231.95592,18.27,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.019620596,2012,5,1,234.2412,18.45,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0210233593,2012,6,1,228.27408,17.98,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0245479452,2012,7,1,231.702,18.25,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0289402905,2012,8,1,236.01864,18.59,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.010935857,2012,9,1,241.47792,19.02,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0150627615,2012,10,1,242.74752,19.12,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.017720207,2012,11,1,245.0328,19.3,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0004244032,2012,12,1,239.3196,18.85,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0372266667,2013,1,1,238.05,18.75,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0107549121,2013,2,1,245.54064,19.34,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0143004115,2013,3,1,246.81024,19.44,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0024477307,2013,4,1,249.06661,19.61,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.014424552,2013,5,1,248.30455,19.55,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,0.0312108559,2013,6,1,243.35116,19.16,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.050992366,2013,7,1,249.57465,19.65,965
BGX,BLACKSTONE/GSO LONG-SHORT FD,-0.018985976,2013,8,1,235.47654,18.54,965
