ticker,conm,ret,year,month,EW,VW,PW,n
BRF.1,BLACKROCK FLA INSD MUN,0.0050888496,2000,1,1,122.986375,14.125,330
BRF.1,BLACKROCK FLA INSD MUN,-0.003760708,2000,2,1,122.986375,14.125,330
BRF.1,BLACKROCK FLA INSD MUN,0.0185271429,2000,3,1,121.898,14,330
BRF.1,BLACKROCK FLA INSD MUN,-0.003744141,2000,4,1,123.5305625,14.1875,330
BRF.1,BLACKROCK FLA INSD MUN,0.0006670222,2000,5,1,122.4421875,14.0625,330
BRF.1,BLACKROCK FLA INSD MUN,0.0765628571,2000,6,1,121.898,14,330
BRF.1,BLACKROCK FLA INSD MUN,-0.045833333,2000,7,1,130.605,15,330
BRF.1,BLACKROCK FLA INSD MUN,-0.021929825,2000,8,1,124.07475,14.25,330
BRF.1,BLACKROCK FLA INSD MUN,-0.018018018,2000,9,1,120.809625,13.875,330
BRF.1,BLACKROCK FLA INSD MUN,-0.01843318,2000,10,1,118.0886875,13.5625,330
BRF.1,BLACKROCK FLA INSD MUN,0.0235849057,2000,11,1,115.36775,13.25,330
BRF.1,BLACKROCK FLA INSD MUN,0.0416666667,2000,12,1,117.5445,13.5,330
BRF.1,BLACKROCK FLA INSD MUN,0.0630357143,2001,1,1,121.898,14,330
BRF.1,BLACKROCK FLA INSD MUN,0.008265857,2001,2,1,129.03774,14.82,330
BRF.1,BLACKROCK FLA INSD MUN,-0.016633065,2001,3,1,129.56016,14.88,330
BRF.1,BLACKROCK FLA INSD MUN,0.0331159918,2001,4,1,126.86099,14.57,330
BRF.1,BLACKROCK FLA INSD MUN,-0.00850567,2001,5,1,130.51793,14.99,330
BRF.1,BLACKROCK FLA INSD MUN,0.0177364865,2001,6,1,128.8636,14.8,330
BRF.1,BLACKROCK FLA INSD MUN,0.0041666667,2001,7,1,130.605,15,330
BRF.1,BLACKROCK FLA INSD MUN,0.0188333333,2001,8,1,130.605,15,330
BRF.1,BLACKROCK FLA INSD MUN,0.0060775296,2001,9,1,132.52054,15.22,330
BRF.1,BLACKROCK FLA INSD MUN,0.0067213115,2001,10,1,132.78175,15.25,330
BRF.1,BLACKROCK FLA INSD MUN,0.0027795945,2001,11,1,133.13003,15.29,330
BRF.1,BLACKROCK FLA INSD MUN,0.0126064178,2001,12,1,132.95589,15.27,330
BRF.1,BLACKROCK FLA INSD MUN,0.0040584416,2002,1,1,134.0878,15.4,330
BRF.1,BLACKROCK FLA INSD MUN,0.0008116883,2002,2,1,134.0878,15.4,330
BRF.1,BLACKROCK FLA INSD MUN,-0.003094463,2002,3,1,133.65245,15.35,330
BRF.1,BLACKROCK FLA INSD MUN,0.0086942257,2002,4,1,132.69468,15.24,330
BRF.1,BLACKROCK FLA INSD MUN,0.0223709993,2002,5,1,133.30417,15.31,330
BRF.1,BLACKROCK FLA INSD MUN,0.007857601,2002,6,1,135.74213,15.59,330
BRF.1,BLACKROCK FLA INSD MUN,0.000798722,2002,7,1,136.26455,15.65,330
BRF.1,BLACKROCK FLA INSD MUN,0.0059294872,2002,8,1,135.8292,15.6,330
BRF.1,BLACKROCK FLA INSD MUN,0.0206333973,2002,9,1,136.09041,15.63,330
BRF.1,BLACKROCK FLA INSD MUN,-0.02942102,2002,10,1,138.35423,15.89,330
BRF.1,BLACKROCK FLA INSD MUN,0.0203450521,2002,11,1,133.73952,15.36,330
BRF.1,BLACKROCK FLA INSD MUN,0.0245192308,2002,12,1,135.8292,15.6,330
BRF.1,BLACKROCK FLA INSD MUN,-0.001099246,2003,1,1,138.61544,15.92,330
BRF.1,BLACKROCK FLA INSD MUN,-0.004261364,2003,2,1,137.91888,15.84,330
BRF.1,BLACKROCK FLA INSD MUN,0.0141629535,2003,3,1,136.78697,15.71,330
