ticker,conm,ret,year,month,EW,VW,PW,n
BRM,BLACKROCK INSD MUN 2008 TRM,0.0184545455,2000,1,1,374.09625,13.75,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0047533632,2000,2,1,379.1975625,13.9375,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0002690583,2000,3,1,379.1975625,13.9375,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.013243243,2000,4,1,377.497125,13.875,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0048623853,2000,5,1,370.695375,13.625,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.041559633,2000,6,1,370.695375,13.625,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0091150442,2000,7,1,384.298875,14.125,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0399118943,2000,8,1,385.9993125,14.1875,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.004,2000,9,1,399.6028125,14.6875,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0002575107,2000,10,1,396.2019375,14.5625,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.004051724,2000,11,1,394.5015,14.5,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0393913043,2000,12,1,391.100625,14.375,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0612605042,2001,1,1,404.704125,14.875,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.002783079,2001,2,1,427.69404,15.72,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.00920884,2001,3,1,424.70127,15.61,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0140422078,2001,4,1,418.9878,15.4,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.006672026,2001,5,1,423.06885,15.55,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0186118336,2001,6,1,418.44366,15.38,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.007291667,2001,7,1,424.4292,15.6,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.026345655,2001,8,1,419.53194,15.42,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.002776015,2001,9,1,428.78232,15.76,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0112619808,2001,10,1,425.78955,15.65,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0061072335,2001,11,1,428.78232,15.76,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.001504117,2001,12,1,429.59853,15.79,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0137738854,2002,1,1,427.1499,15.7,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0010252366,2002,2,1,431.23095,15.85,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.000237342,2002,3,1,429.8706,15.8,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0194691672,2002,4,1,427.96611,15.73,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0091577959,2002,5,1,434.49579,15.97,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0197040498,2002,6,1,436.67235,16.05,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0101993865,2002,7,1,443.4741,16.3,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0076981707,2002,8,1,446.1948,16.4,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.017390644,2002,9,1,447.82722,16.46,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.023606115,2002,10,1,453.81276,16.68,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0077836005,2002,11,1,441.29754,16.22,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0247614865,2002,12,1,442.92996,16.28,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0021863691,2003,1,1,451.09206,16.58,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0185045317,2003,2,1,450.27585,16.55,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0104973198,2003,3,1,456.80553,16.79,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0204881657,2003,4,1,459.7983,16.9,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0166618161,2003,5,1,467.41626,17.18,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0262212644,2003,6,1,473.4018,17.4,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.06316751,2003,7,1,484.01253,17.79,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.015436747,2003,8,1,451.6362,16.6,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.027173913,2003,9,1,456.80553,16.79,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0015279395,2003,10,1,467.41626,17.18,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0167007001,2003,11,1,466.32798,17.14,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0187528802,2003,12,1,472.31352,17.36,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0154169079,2004,1,1,469.86489,17.27,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0140955924,2004,2,1,475.30629,17.47,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.011543909,2004,3,1,480.20355,17.65,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.064657652,2004,4,1,472.85766,17.38,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0022390364,2004,5,1,440.48133,16.19,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0034808168,2004,6,1,439.66512,16.16,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0096749226,2004,7,1,439.39305,16.15,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0243996305,2004,8,1,441.84168,16.24,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0021876886,2004,9,1,450.81999,16.57,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.006423821,2004,10,1,450.00378,16.54,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.015304584,2004,11,1,451.09206,16.58,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0157835178,2004,12,1,442.38582,16.26,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0040619252,2005,1,1,443.74617,16.31,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.004521766,2005,2,1,443.74617,16.31,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.021258503,2005,3,1,439.93719,16.17,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0175285533,2005,4,1,428.78232,15.76,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.010410144,2005,5,1,434.49579,15.97,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0072339764,2005,6,1,437.21649,16.07,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.005195409,2005,7,1,438.57684,16.12,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0028960551,2005,8,1,434.49579,15.97,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.007758621,2005,9,1,433.95165,15.95,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0035691624,2005,10,1,428.78232,15.76,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.002142857,2005,11,1,428.51025,15.75,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.01813099,2005,12,1,425.78955,15.65,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0174019608,2006,1,1,416.2671,15.3,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0055645161,2006,2,1,421.7085,15.5,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0094233247,2006,3,1,422.25264,15.52,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.00088141,2006,4,1,424.4292,15.6,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.000241624,2006,5,1,422.25264,15.52,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.014482201,2006,6,1,420.34815,15.45,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0109663588,2006,7,1,412.45812,15.16,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0108944954,2006,8,1,415.17882,15.26,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0141334635,2006,9,1,417.89952,15.36,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0062096774,2006,10,1,421.7085,15.5,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.006036703,2006,11,1,422.52471,15.53,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0147202342,2006,12,1,418.17159,15.37,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0004024469,2007,1,1,422.52471,15.53,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.000242405,2007,2,1,420.89229,15.47,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.002532468,2007,3,1,418.9878,15.4,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.007124183,2007,4,1,416.2671,15.3,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0046926636,2007,5,1,411.64191,15.13,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.007992074,2007,6,1,411.91398,15.14,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.001907895,2007,7,1,413.5464,15.2,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0080079418,2007,8,1,411.09777,15.11,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.00468029,2007,9,1,412.73019,15.17,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0013833992,2007,10,1,413.00226,15.18,331
BRM,BLACKROCK INSD MUN 2008 TRM,-0.001254954,2007,11,1,411.91398,15.14,331
BRM,BLACKROCK INSD MUN 2008 TRM,0.0033924967,2007,12,1,409.73742,15.06,331
