ticker,conm,ret,year,month,EW,VW,PW,n
DNY,DENALI FUND INC,,2002,11,1,,,719
DNY,DENALI FUND INC,0,2002,12,1,,15,719
DNY,DENALI FUND INC,0.007,2003,1,1,,15,719
DNY,DENALI FUND INC,0.0116744496,2003,2,1,68.30943,14.99,719
DNY,DENALI FUND INC,0.0548172757,2003,3,1,68.58285,15.05,719
DNY,DENALI FUND INC,-0.00856599,2003,4,1,71.81832,15.76,719
DNY,DENALI FUND INC,0.0519019987,2003,5,1,70.67907,15.51,719
DNY,DENALI FUND INC,0.0009259259,2003,6,1,73.8234,16.2,719
DNY,DENALI FUND INC,0.0381987578,2003,7,1,73.3677,16.1,719
DNY,DENALI FUND INC,-0.00753012,2003,8,1,75.6462,16.6,719
DNY,DENALI FUND INC,0.0253667482,2003,9,1,74.91244,16.36,719
DNY,DENALI FUND INC,0.0447178872,2003,10,1,76.28614,16.66,719
DNY,DENALI FUND INC,0.0205320995,2003,11,1,79.17091,17.29,719
DNY,DENALI FUND INC,0.0761551626,2003,12,1,80.26987,17.53,719
DNY,DENALI FUND INC,0.0034666667,2004,1,1,85.85625,18.75,719
DNY,DENALI FUND INC,0.0286096257,2004,2,1,85.6273,18.7,719
DNY,DENALI FUND INC,0.0489016736,2004,3,1,87.55048,19.12,719
DNY,DENALI FUND INC,-0.166750251,2004,4,1,91.30526,19.94,719
DNY,DENALI FUND INC,0.0639393939,2004,5,1,75.5535,16.5,719
DNY,DENALI FUND INC,0.0088876147,2004,6,1,79.85776,17.44,719
DNY,DENALI FUND INC,0.0494851259,2004,7,1,80.04092,17.48,719
DNY,DENALI FUND INC,0.1220515634,2004,8,1,83.47517,18.23,719
DNY,DENALI FUND INC,-0.024827925,2004,9,1,93.13686,20.34,719
DNY,DENALI FUND INC,0.0205375254,2004,10,1,90.29788,19.72,719
DNY,DENALI FUND INC,0.0347326337,2004,11,1,91.62579,20.01,719
DNY,DENALI FUND INC,0.069893152,2004,12,1,94.28161,20.59,719
DNY,DENALI FUND INC,-0.093169145,2005,1,1,98.54008,21.52,719
DNY,DENALI FUND INC,0.018814433,2005,2,1,88.8326,19.4,719
DNY,DENALI FUND INC,-0.014503817,2005,3,1,89.97735,19.65,719
DNY,DENALI FUND INC,0.0225974026,2005,4,1,80.02225,19.25,719
DNY,DENALI FUND INC,0.0350025549,2005,5,1,81.35249,19.57,719
DNY,DENALI FUND INC,0.0732373386,2005,6,1,83.72198,20.14,719
DNY,DENALI FUND INC,0.0890697674,2005,7,1,89.3755,21.5,719
DNY,DENALI FUND INC,-0.044420601,2005,8,1,96.8581,23.3,719
