ticker,conm,ret,year,month,EW,VW,PW,n
EDI,STONE HARBOR EMERG MKTS TOTL,,2012,10,1,,,151
EDI,STONE HARBOR EMERG MKTS TOTL,0,2012,11,1,240,25,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.009436,2012,12,1,240,25,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0106484502,2013,1,1,235.392,24.52,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0114129111,2013,2,1,236.448,24.63,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.028226979,2013,3,1,237.696,24.76,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0326683396,2013,4,1,229.536,23.91,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.017885086,2013,5,1,235.584,24.54,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.105590814,2013,6,1,229.92,23.95,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0226187118,2013,7,1,204.192,21.27,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.09624537,2013,8,1,207.36,21.6,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0387764584,2013,9,1,185.952,19.37,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0110716074,2013,10,1,191.712,19.97,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.066811377,2013,11,1,192.384,20.04,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0329433962,2013,12,1,178.08,18.55,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.083582325,2014,1,1,182.74313,19.01,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0620208454,2014,2,1,166.01651,17.27,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0313963716,2014,3,1,174.86047,18.19,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0365986029,2014,4,1,178.89793,18.61,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0502142111,2014,5,1,183.99282,19.14,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0181002506,2014,6,1,191.77935,19.95,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.035659722,2014,7,1,193.79808,20.16,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0321980301,2014,8,1,185.43477,19.29,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.059154858,2014,9,1,189.95288,19.76,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.006447939,2014,10,1,177.26372,18.44,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.023048982,2014,11,1,174.66821,18.17,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.124942472,2014,12,1,169.1897613,17.6001,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.008452459,2015,1,1,146.59825,15.25,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0141015364,2015,2,1,143.90661,14.97,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.027205589,2015,3,1,144.48339,15.03,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0588182446,2015,4,1,139.10011,14.47,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.010474621,2015,5,1,145.82921,15.17,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.045686406,2015,6,1,142.84918,14.86,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.054091233,2015,7,1,134.87039,14.03,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.056318598,2015,8,1,126.12256,13.12,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.058781684,2015,9,1,117.56699,12.23,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.1330193662,2015,10,1,109.20368,11.36,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.024284591,2015,11,1,122.27736,12.72,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.060269168,2015,12,1,117.85538,12.26,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.079938434,2016,1,1,109.29981,11.37,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0699418041,2016,2,1,99.11003,10.31,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.1489981618,2016,3,1,104.58944,10.88,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0600080972,2016,4,1,118.72055,12.35,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.01923493,2016,5,1,124.39222,12.94,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0646810207,2016,6,1,120.54702,12.54,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0834166667,2016,7,1,126.8916,13.2,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0658021201,2016,8,1,136.02395,14.15,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.002605492,2016,9,1,143.52209,14.93,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0082157395,2016,10,1,141.69562,14.74,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.105989123,2016,11,1,141.40723,14.71,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0693318359,2016,12,1,124.9670774,12.9998,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0822618182,2017,1,1,132.17875,13.75,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0530278344,2017,2,1,141.59949,14.73,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0130924479,2017,3,1,147.65568,15.36,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.038358209,2017,4,1,148.13633,15.41,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0499116719,2017,5,1,152.36605,15.85,151
EDI,STONE HARBOR EMERG MKTS TOTL,-0.06603396,2017,6,1,158.51837,16.49,151
EDI,STONE HARBOR EMERG MKTS TOTL,0.0820393443,2017,7,1,146.59825,15.25,151
