ticker,conm,ret,year,month,EW,VW,PW,n
ETG,EATON VANCE TX ADV GLBL DIV,,2004,1,1,,,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0015,2004,2,1,,20,776
ETG,EATON VANCE TX ADV GLBL DIV,-0.022840739,2004,3,1,,20.03,776
ETG,EATON VANCE TX ADV GLBL DIV,-0.108757062,2004,4,1,,19.47,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0030434783,2004,5,1,,17.25,776
ETG,EATON VANCE TX ADV GLBL DIV,-0.017296512,2004,6,1,1204.086,17.2,776
ETG,EATON VANCE TX ADV GLBL DIV,0.009077381,2004,7,1,1176.084,16.8,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0416913947,2004,8,1,1179.58425,16.85,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0600286533,2004,9,1,1330.8417,17.45,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0025829255,2004,10,1,1402.53174,18.39,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0636933988,2004,11,1,1397.95578,18.33,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0416451779,2004,12,1,1478.79774,19.39,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0070742799,2005,1,1,1509.30414,19.79,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0005017561,2005,2,1,1519.98138,19.93,776
ETG,EATON VANCE TX ADV GLBL DIV,-0.03949348,2005,3,1,1520.74404,19.94,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0379464286,2005,4,1,1452.10464,19.04,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0159033079,2005,5,1,1498.6269,19.65,776
ETG,EATON VANCE TX ADV GLBL DIV,-0.003400504,2005,6,1,1513.8801,19.85,776
ETG,EATON VANCE TX ADV GLBL DIV,0.039781393,2005,7,1,1500.15222,19.67,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0025811209,2005,8,1,1551.25044,20.34,776
ETG,EATON VANCE TX ADV GLBL DIV,-0.007273176,2005,9,1,1546.67448,20.28,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0027972028,2005,10,1,1526.84532,20.02,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0093186373,2005,11,1,1522.26936,19.96,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0408637044,2005,12,1,1527.60798,20.03,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0262645914,2006,1,1,1568.02896,20.56,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0353554502,2006,2,1,1609.2126,21.1,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0016566958,2006,3,1,1657.26018,21.73,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0109006928,2006,4,1,1651.1589,21.65,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0149288011,2006,5,1,1660.31082,21.77,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0002275831,2006,6,1,1675.56402,21.97,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0350114416,2006,7,1,1666.4121,21.85,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0615829257,2006,8,1,1715.22234,22.49,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0052631579,2006,9,1,1811.3175,23.75,776
ETG,EATON VANCE TX ADV GLBL DIV,0.0448421053,2006,10,1,1811.3175,23.75,776
