ticker,conm,ret,year,month,EW,VW,PW,n
ETJ,EATON VANCE RISK-MNGD DIV EQ,,2007,7,1,,,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.05,2007,8,1,1300.1,20,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.005263158,2007,9,1,1235.095,19,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.056613757,2007,10,1,1228.5945,18.9,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.013808976,2007,11,1,1129.7869,17.38,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0910151692,2007,12,1,1114.1857,17.14,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0016042781,2008,1,1,1215.5935,18.7,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.008752735,2008,2,1,1188.2914,18.28,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0137969095,2008,3,1,1177.8906,18.12,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0489929232,2008,4,1,1194.14185,18.37,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0201912859,2008,5,1,1223.3941,18.82,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.015104167,2008,6,1,1248.096,19.2,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0274986779,2008,7,1,1229.24455,18.91,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.038993678,2008,8,1,1233.7949,18.98,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.093383187,2008,9,1,1185.6846995,18.2399,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.051606739,2008,10,1,1074.961683,16.5366,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.014757969,2008,11,1,1101.1847,16.94,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0772917915,2008,12,1,1084.93345,16.69,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.00945495,2009,1,1,1168.7899,17.98,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.027073733,2009,2,1,1128.4868,17.36,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.020722321,2009,3,1,1201.65594,16.89,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0241837969,2009,4,1,1176.75484,16.54,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.035172832,2009,5,1,1173.19754,16.49,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0697674419,2009,6,1,1131.93286,15.91,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0205640423,2009,7,1,1210.90492,17.02,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0171394799,2009,8,1,1203.79032,16.92,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.012202208,2009,9,1,1224.42266,17.21,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.015882353,2009,10,1,1209.482,17,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.002457002,2009,11,1,1158.25688,16.28,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.025862069,2009,12,1,1155.41104,16.24,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0012004802,2010,1,1,1185.29236,16.66,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0184842884,2010,2,1,1154.69958,16.23,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0229885057,2010,3,1,1196.45793,16.53,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.001182732,2010,4,1,1223.96271,16.91,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.03649635,2010,5,1,1189.94364,16.44,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0117992424,2010,6,1,1146.51504,15.84,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.037867585,2010,7,1,1160.0430489,16.0269,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.061456246,2010,8,1,1083.54357,14.97,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.009252669,2010,9,1,1016.95305,14.05,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.01795977,2010,10,1,1007.54352,13.92,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0068078669,2010,11,1,956.87682,13.22,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.002253944,2010,12,1,963.39111,13.31,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0007153614,2011,1,1,961.21968,13.28,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,0.0069390902,2011,2,1,938.78157,12.97,919
ETJ,EATON VANCE RISK-MNGD DIV EQ,-0.018376723,2011,3,1,952.84454,13.06,919
