ticker,conm,ret,year,month,EW,VW,PW,n
GDV,GABELLI DIVIDEND & INCOME TR,,2003,9,1,,,768
GDV,GABELLI DIVIDEND & INCOME TR,,2003,11,1,,,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.002493766,2003,12,1,,20.05,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.0075,2004,1,1,,20,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.002518892,2004,2,1,,19.85,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.016666667,2004,3,1,,19.8,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.066249348,2004,4,1,,19.17,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0061452514,2004,5,1,1522.6277,17.9,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.017767907,2004,6,1,1531.98463,18.01,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.012650949,2004,7,1,1479.24557,17.39,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0425160163,2004,8,1,1460.53171,17.17,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0363128492,2004,9,1,1522.6277,17.9,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.020821918,2004,10,1,1552.39975,18.25,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0174451322,2004,11,1,1507.66011,17.77,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0038932147,2004,12,1,1525.47714,17.98,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0206128134,2005,1,1,1522.93185,17.95,768
GDV,GABELLI DIVIDEND & INCOME TR,0.010428101,2005,2,1,1545.83946,18.22,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.016384489,2005,3,1,1553.47533,18.31,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0106085985,2005,4,1,1519.53813,17.91,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0216666667,2005,5,1,1526.724,18,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0213231274,2005,6,1,1551.32122,18.29,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0220667384,2005,7,1,1575.91844,18.58,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0074113287,2005,8,1,1602.21202,18.89,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.019545695,2005,9,1,1605.60474,18.93,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.02708559,2005,10,1,1565.74028,18.46,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.008398656,2005,11,1,1514.84948,17.86,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0062521295,2005,12,1,1491.53178,17.61,768
GDV,GABELLI DIVIDEND & INCOME TR,0.0527749559,2006,1,1,1492.3872298,17.6201,768
GDV,GABELLI DIVIDEND & INCOME TR,0.016802168,2006,2,1,1562.6781,18.45,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.008574491,2006,3,1,1580.46468,18.66,768
GDV,GABELLI DIVIDEND & INCOME TR,0.014673913,2006,4,1,1558.4432,18.4,768
GDV,GABELLI DIVIDEND & INCOME TR,-0.012385568,2006,5,1,1563.87255,18.57,768
