ticker,conm,ret,year,month,EW,VW,PW,n
HAV,HELIOS ADVANTAGE INCM FD INC,,2004,10,1,,,806
HAV,HELIOS ADVANTAGE INCM FD INC,,2004,11,1,,,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0157232704,2004,12,1,381.6,15.9,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0180798005,2005,1,1,384.96,16.04,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.001850709,2005,2,1,389.04,16.21,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.02117061,2005,3,1,385.44,16.06,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.00192431,2005,4,1,374.16,15.59,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0382372003,2005,5,1,370.32,15.43,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0157331655,2005,6,1,381.36,15.89,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.03375,2005,7,1,451.424,16,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0359756098,2005,8,1,462.7096,16.4,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0154302671,2005,9,1,475.4059,16.85,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0047169811,2005,10,1,478.50944,16.96,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0071047957,2005,11,1,476.53446,16.89,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.009489917,2005,12,1,475.68804,16.86,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0163636364,2006,1,1,465.531,16.5,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0162454874,2006,2,1,468.91668,16.62,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0125448029,2006,3,1,472.30236,16.74,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0029761905,2006,4,1,473.9952,16.8,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0293413174,2006,5,1,471.1738,16.7,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0052816901,2006,6,1,480.76656,17.04,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0164899882,2006,7,1,510.14712,16.98,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0181180596,2006,8,1,514.05284,17.11,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0318471338,2006,9,1,518.85988,17.27,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.016977929,2006,10,1,530.87748,17.67,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.050522648,2006,11,1,517.35768,17.22,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.009876543,2006,12,1,486.7128,16.2,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.001257862,2007,1,1,477.6996,15.9,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0127064803,2007,2,1,472.89256,15.74,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.02278481,2007,3,1,474.6952,15.8,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0124183007,2007,4,1,459.6732,15.3,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0013811075,2007,5,1,461.1754,15.35,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.072298965,2007,6,1,479.5238696,15.2312,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.188706219,2007,7,1,440.44717,13.99,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.171275647,2007,8,1,352.92443,11.21,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.036065574,2007,9,1,288.06945,9.15,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.288505747,2007,10,1,273.9021,8.7,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.037891269,2007,11,1,191.10181,6.07,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.194055944,2007,12,1,180.08276,5.72,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.06654102,2008,1,1,141.98833,4.51,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.055938101,2008,2,1,129.3919817,4.1099,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.095238095,2008,3,1,119.00574,3.78,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0688622754,2008,4,1,105.15322,3.34,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.128939828,2008,5,1,109.87567,3.49,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.182432432,2008,6,1,96.14672,2.96,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.097415254,2008,7,1,76.65752,2.36,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.21742911,2008,8,1,67.2409882,2.0701,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.336538462,2008,9,1,50.67192,1.56,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.130196078,2008,10,1,33.13164,1.02,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0032102729,2008,11,1,28.3308004,0.8722,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0406976744,2008,12,1,27.93452,0.86,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.1420454545,2009,1,1,28.58416,0.88,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.055555556,2009,2,1,32.15718,0.99,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.1032608696,2009,3,1,29.88344,0.92,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.055,2009,4,1,32.482,1,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.1778846154,2009,5,1,33.78128,1.04,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0371900826,2009,6,1,39.30322,1.21,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0201612903,2009,7,1,40.27768,1.24,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.012,2009,8,1,40.6025,1.25,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0500983607,2009,9,1,39.62804,1.22,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0085728694,2009,10,1,41.4811872,6.3456,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0315457413,2009,11,1,41.44458,6.34,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0262345679,2009,12,1,42.35976,6.48,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0212443096,2010,1,1,43.07883,6.59,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0225637181,2010,2,1,43.60179,6.67,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.044227498,2010,3,1,44.1933885,6.7605,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0029287806,2010,4,1,45.7557315,6.9995,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.058908046,2010,5,1,45.49752,6.96,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0431432974,2010,6,1,42.42513,6.49,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0492697466,2010,7,1,43.86327,6.71,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.002951036,2010,8,1,45.6321822,6.9806,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0434782609,2010,9,1,45.1053,6.9,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0658263305,2010,10,1,46.67418,7.14,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0329536424,2010,11,1,49.35435,7.55,806
HAV,HELIOS ADVANTAGE INCM FD INC,-0.003721507,2010,12,1,50.5885356,7.7388,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.0213986928,2011,1,1,50.00805,7.65,806
HAV,HELIOS ADVANTAGE INCM FD INC,0.012419877,2011,2,1,50.6859369,7.7537,806
