ticker,conm,ret,year,month,EW,VW,PW,n
ICS,INVESCO CALIF MUNI SECS,0.0099502488,2000,1,1,52.7499375,12.5625,481
ICS,INVESCO CALIF MUNI SECS,0.0445544554,2000,2,1,53.012375,12.625,481
ICS,INVESCO CALIF MUNI SECS,-0.014285714,2000,3,1,55.111875,13.125,481
ICS,INVESCO CALIF MUNI SECS,0.0145631068,2000,4,1,54.062125,12.875,481
ICS,INVESCO CALIF MUNI SECS,0.0048076923,2000,5,1,54.587,13,481
ICS,INVESCO CALIF MUNI SECS,0.0625,2000,6,1,54.587,13,481
ICS,INVESCO CALIF MUNI SECS,0.0318181818,2000,7,1,57.73625,13.75,481
ICS,INVESCO CALIF MUNI SECS,0.0044247788,2000,8,1,59.310875,14.125,481
ICS,INVESCO CALIF MUNI SECS,-0.008849558,2000,9,1,59.310875,14.125,481
ICS,INVESCO CALIF MUNI SECS,-0.035874439,2000,10,1,58.5235625,13.9375,481
ICS,INVESCO CALIF MUNI SECS,0.0280373832,2000,11,1,56.161625,13.375,481
ICS,INVESCO CALIF MUNI SECS,0.0456621005,2000,12,1,57.4738125,13.6875,481
ICS,INVESCO CALIF MUNI SECS,0.0612280702,2001,1,1,59.83575,14.25,481
ICS,INVESCO CALIF MUNI SECS,0.004814077,2001,2,1,63.23694,15.06,481
ICS,INVESCO CALIF MUNI SECS,-0.046947578,2001,3,1,63.27893,15.07,481
ICS,INVESCO CALIF MUNI SECS,-0.006118881,2001,4,1,60.0457,14.3,481
ICS,INVESCO CALIF MUNI SECS,0.0114840989,2001,5,1,59.41585,14.15,481
ICS,INVESCO CALIF MUNI SECS,-0.000526316,2001,6,1,59.83575,14.25,481
ICS,INVESCO CALIF MUNI SECS,0.0269746121,2001,7,1,59.54182,14.18,481
ICS,INVESCO CALIF MUNI SECS,0.0436206897,2001,8,1,60.8855,14.5,481
ICS,INVESCO CALIF MUNI SECS,-0.038984738,2001,9,1,60.09916,15.07,481
ICS,INVESCO CALIF MUNI SECS,0.064667129,2001,10,1,57.50696,14.42,481
ICS,INVESCO CALIF MUNI SECS,-0.004578156,2001,11,1,60.97652,15.29,481
ICS,INVESCO CALIF MUNI SECS,-0.029999406,2001,12,1,60.45808,15.16,481
ICS,INVESCO CALIF MUNI SECS,0.0301163587,2002,1,1,58.26468,14.61,481
ICS,INVESCO CALIF MUNI SECS,0.0006671114,2002,2,1,59.78012,14.99,481
ICS,INVESCO CALIF MUNI SECS,-0.044176707,2002,3,1,59.58072,14.94,481
ICS,INVESCO CALIF MUNI SECS,0.0274261603,2002,4,1,56.70936,14.22,481
ICS,INVESCO CALIF MUNI SECS,-0.002749141,2002,5,1,58.0254,14.55,481
ICS,INVESCO CALIF MUNI SECS,0.0048442907,2002,6,1,57.6266,14.45,481
ICS,INVESCO CALIF MUNI SECS,0.0082987552,2002,7,1,57.66648,14.46,481
ICS,INVESCO CALIF MUNI SECS,0.0061983471,2002,8,1,57.90576,14.52,481
ICS,INVESCO CALIF MUNI SECS,0.0144329897,2002,9,1,58.0254,14.55,481
ICS,INVESCO CALIF MUNI SECS,-0.033503401,2002,10,1,58.6236,14.7,481
ICS,INVESCO CALIF MUNI SECS,0.0019434629,2002,11,1,56.4302,14.15,481
ICS,INVESCO CALIF MUNI SECS,0.0140616856,2002,12,1,56.31056,14.12,481
ICS,INVESCO CALIF MUNI SECS,-0.025492264,2003,1,1,56.70936,14.22,481
ICS,INVESCO CALIF MUNI SECS,0.0186594203,2003,2,1,55.0344,13.8,481
ICS,INVESCO CALIF MUNI SECS,-0.006607143,2003,3,1,55.832,14,481
ICS,INVESCO CALIF MUNI SECS,0.0092057762,2003,4,1,55.2338,13.85,481
ICS,INVESCO CALIF MUNI SECS,0.0220905172,2003,5,1,55.51296,13.92,481
ICS,INVESCO CALIF MUNI SECS,0.0075864502,2003,6,1,56.50996,14.17,481
ICS,INVESCO CALIF MUNI SECS,-0.021272855,2003,7,1,56.70936,14.22,481
ICS,INVESCO CALIF MUNI SECS,0.007034632,2003,8,1,55.27368,13.86,481
ICS,INVESCO CALIF MUNI SECS,0.0091726619,2003,9,1,55.4332,13.9,481
ICS,INVESCO CALIF MUNI SECS,-0.006263422,2003,10,1,55.71236,13.97,481
ICS,INVESCO CALIF MUNI SECS,0.0037960954,2003,11,1,55.15404,13.83,481
ICS,INVESCO CALIF MUNI SECS,0.0235075199,2003,12,1,55.15404,13.83,481
ICS,INVESCO CALIF MUNI SECS,0.010971223,2004,1,1,55.4332,13.9,481
ICS,INVESCO CALIF MUNI SECS,0.0123214286,2004,2,1,55.832,14,481
ICS,INVESCO CALIF MUNI SECS,0.0157577904,2004,3,1,56.31056,14.12,481
ICS,INVESCO CALIF MUNI SECS,-0.057207838,2004,4,1,56.98852,14.29,481
ICS,INVESCO CALIF MUNI SECS,-0.017697466,2004,5,1,53.51896,13.42,481
ICS,INVESCO CALIF MUNI SECS,-0.001332826,2004,6,1,52.36244,13.13,481
ICS,INVESCO CALIF MUNI SECS,0.029287902,2004,7,1,52.08328,13.06,481
ICS,INVESCO CALIF MUNI SECS,0.0218446602,2004,8,1,53.39932,13.39,481
ICS,INVESCO CALIF MUNI SECS,0.0229273661,2004,9,1,54.35644,13.63,481
ICS,INVESCO CALIF MUNI SECS,0.0089992801,2004,10,1,55.39332,13.89,481
ICS,INVESCO CALIF MUNI SECS,-0.020415473,2004,11,1,55.67248,13.96,481
ICS,INVESCO CALIF MUNI SECS,0.0185622614,2004,12,1,54.31656,13.62,481
ICS,INVESCO CALIF MUNI SECS,0.0244704164,2005,1,1,54.59572,13.69,481
ICS,INVESCO CALIF MUNI SECS,-0.002505369,2005,2,1,55.71236,13.97,481
ICS,INVESCO CALIF MUNI SECS,0.0090057637,2005,3,1,55.35344,13.88,481
ICS,INVESCO CALIF MUNI SECS,0.0075268817,2005,4,1,55.6326,13.95,481
ICS,INVESCO CALIF MUNI SECS,0.0060714286,2005,5,1,55.832,14,481
ICS,INVESCO CALIF MUNI SECS,0.0124732716,2005,6,1,51.40592,14.03,481
ICS,INVESCO CALIF MUNI SECS,0.0265017668,2005,7,1,51.8456,14.15,481
ICS,INVESCO CALIF MUNI SECS,-0.013476158,2005,8,1,53.01808,14.47,481
ICS,INVESCO CALIF MUNI SECS,-0.001758087,2005,9,1,52.10208,14.22,481
ICS,INVESCO CALIF MUNI SECS,-0.007072136,2005,10,1,51.80896,14.14,481
ICS,INVESCO CALIF MUNI SECS,0,2005,11,1,51.25936,13.99,481
ICS,INVESCO CALIF MUNI SECS,0.0069920373,2005,12,1,51.07616,13.94,481
ICS,INVESCO CALIF MUNI SECS,0.0095377843,2006,1,1,49.94032,13.63,481
ICS,INVESCO CALIF MUNI SECS,0.0123997082,2006,2,1,50.23344,13.71,481
ICS,INVESCO CALIF MUNI SECS,-0.002892263,2006,3,1,50.67312,13.83,481
ICS,INVESCO CALIF MUNI SECS,-0.004366812,2006,4,1,50.34336,13.74,481
ICS,INVESCO CALIF MUNI SECS,0.0088041086,2006,5,1,49.94032,13.63,481
ICS,INVESCO CALIF MUNI SECS,-0.005839416,2006,6,1,48.4295,13.7,481
ICS,INVESCO CALIF MUNI SECS,0.0051584377,2006,7,1,47.96995,13.57,481
ICS,INVESCO CALIF MUNI SECS,0.0191317145,2006,8,1,48.04065,13.59,481
ICS,INVESCO CALIF MUNI SECS,0.0101449275,2006,9,1,48.783,13.8,481
ICS,INVESCO CALIF MUNI SECS,0.0158387329,2006,10,1,49.10115,13.89,481
ICS,INVESCO CALIF MUNI SECS,0.0163584637,2006,11,1,49.7021,14.06,481
ICS,INVESCO CALIF MUNI SECS,0.0070915028,2006,12,1,50.3384,14.24,481
ICS,INVESCO CALIF MUNI SECS,0.0210526316,2007,1,1,50.37375,14.25,481
ICS,INVESCO CALIF MUNI SECS,0.0117241379,2007,2,1,51.2575,14.5,481
ICS,INVESCO CALIF MUNI SECS,0.024623803,2007,3,1,51.6817,14.62,481
ICS,INVESCO CALIF MUNI SECS,0.0006697924,2007,4,1,52.77755,14.93,481
ICS,INVESCO CALIF MUNI SECS,-0.026863667,2007,5,1,52.63615,14.89,481
ICS,INVESCO CALIF MUNI SECS,-0.038781163,2007,6,1,50.15012,14.44,481
ICS,INVESCO CALIF MUNI SECS,0.0151843818,2007,7,1,48.03159,13.83,481
ICS,INVESCO CALIF MUNI SECS,-0.012866333,2007,8,1,48.58727,13.99,481
ICS,INVESCO CALIF MUNI SECS,0.0247093023,2007,9,1,47.78848,13.76,481
ICS,INVESCO CALIF MUNI SECS,0.0137010676,2007,10,1,48.79565,14.05,481
ICS,INVESCO CALIF MUNI SECS,0.0051092319,2007,11,1,49.28187,14.19,481
ICS,INVESCO CALIF MUNI SECS,-0.016208374,2007,12,1,49.35133,14.21,481
ICS,INVESCO CALIF MUNI SECS,0.022290685,2008,1,1,47.910035,13.795,481
ICS,INVESCO CALIF MUNI SECS,-0.014768683,2008,2,1,48.79565,14.05,481
ICS,INVESCO CALIF MUNI SECS,0.0117839014,2008,3,1,47.89267,13.79,481
ICS,INVESCO CALIF MUNI SECS,0.0037769784,2008,4,1,48.2747,13.9,481
ICS,INVESCO CALIF MUNI SECS,0.0080935252,2008,5,1,48.2747,13.9,481
ICS,INVESCO CALIF MUNI SECS,-0.049964183,2008,6,1,47.85488,13.96,481
ICS,INVESCO CALIF MUNI SECS,-0.010408781,2008,7,1,45.28388,13.21,481
ICS,INVESCO CALIF MUNI SECS,0.0339861751,2008,8,1,44.63256,13.02,481
ICS,INVESCO CALIF MUNI SECS,-0.081096197,2008,9,1,45.96948,13.41,481
ICS,INVESCO CALIF MUNI SECS,0.0270986145,2008,10,1,42.06156,12.27,481
ICS,INVESCO CALIF MUNI SECS,-0.047609562,2008,11,1,43.0214,12.55,481
ICS,INVESCO CALIF MUNI SECS,-0.046288319,2008,12,1,40.7932,11.9,481
ICS,INVESCO CALIF MUNI SECS,0.1141718335,2009,1,1,38.70212,11.29,481
ICS,INVESCO CALIF MUNI SECS,-0.004310861,2009,2,1,42.940842,12.5265,481
ICS,INVESCO CALIF MUNI SECS,-0.022342995,2009,3,1,42.57576,12.42,481
ICS,INVESCO CALIF MUNI SECS,0.0709263854,2009,4,1,41.44452,12.09,481
ICS,INVESCO CALIF MUNI SECS,-0.000193798,2009,5,1,44.2212,12.9,481
ICS,INVESCO CALIF MUNI SECS,-0.035214008,2009,6,1,44.0498,12.85,481
ICS,INVESCO CALIF MUNI SECS,0.0240890688,2009,7,1,42.3358,12.35,481
ICS,INVESCO CALIF MUNI SECS,0.0291666667,2009,8,1,43.1928,12.6,481
ICS,INVESCO CALIF MUNI SECS,0.0594040248,2009,9,1,44.28976,12.92,481
ICS,INVESCO CALIF MUNI SECS,-0.030975073,2009,10,1,46.75792,13.64,481
ICS,INVESCO CALIF MUNI SECS,-0.022968869,2009,11,1,45.14676,13.17,481
ICS,INVESCO CALIF MUNI SECS,0.0508039002,2009,12,1,43.94696,12.82,481
ICS,INVESCO CALIF MUNI SECS,0.0098152425,2010,1,1,44.52972,12.99,481
ICS,INVESCO CALIF MUNI SECS,-0.0017215,2010,2,1,44.80396,13.07,481
ICS,INVESCO CALIF MUNI SECS,-0.005576923,2010,3,1,44.564,13,481
ICS,INVESCO CALIF MUNI SECS,0.0153338509,2010,4,1,44.15264,12.88,481
ICS,INVESCO CALIF MUNI SECS,0.0005755948,2010,5,1,44.66684,13.03,481
ICS,INVESCO CALIF MUNI SECS,0.003656659,2010,6,1,44.52972,12.99,481
ICS,INVESCO CALIF MUNI SECS,0.0252117013,2010,7,1,44.166,12.99,481
ICS,INVESCO CALIF MUNI SECS,0.0563300678,2010,8,1,45.118,13.27,481
ICS,INVESCO CALIF MUNI SECS,-0.015211167,2010,9,1,47.498,13.97,481
ICS,INVESCO CALIF MUNI SECS,-0.000182349,2010,10,1,46.614,13.71,481
ICS,INVESCO CALIF MUNI SECS,-0.039714495,2010,11,1,46.444,13.66,481
ICS,INVESCO CALIF MUNI SECS,-0.023144606,2010,12,1,44.438,13.07,481
ICS,INVESCO CALIF MUNI SECS,-0.017295597,2011,1,1,43.248,12.72,481
ICS,INVESCO CALIF MUNI SECS,0.0096385542,2011,2,1,42.33,12.45,481
ICS,INVESCO CALIF MUNI SECS,-0.019169329,2011,3,1,42.568,12.52,481
ICS,INVESCO CALIF MUNI SECS,0.0196238757,2011,4,1,41.582,12.23,481
ICS,INVESCO CALIF MUNI SECS,0.0322061192,2011,5,1,42.228,12.42,481
ICS,INVESCO CALIF MUNI SECS,0.0048942835,2011,6,1,43.418,12.77,481
ICS,INVESCO CALIF MUNI SECS,-0.000391236,2011,7,1,43.452,12.78,481
ICS,INVESCO CALIF MUNI SECS,0.0389150943,2011,8,1,43.248,12.72,481
ICS,INVESCO CALIF MUNI SECS,0.0140577508,2011,9,1,44.744,13.16,481
ICS,INVESCO CALIF MUNI SECS,0.0012039127,2011,10,1,45.186,13.29,481
ICS,INVESCO CALIF MUNI SECS,0.0131310844,2011,11,1,45.0534,13.251,481
ICS,INVESCO CALIF MUNI SECS,0.080104712,2011,12,1,45.458,13.37,481
ICS,INVESCO CALIF MUNI SECS,0.0638815515,2012,1,1,48.9124,14.386,481
ICS,INVESCO CALIF MUNI SECS,-0.000990164,2012,2,1,51.85,15.25,481
ICS,INVESCO CALIF MUNI SECS,-0.038531216,2012,3,1,51.61166,15.1799,481
ICS,INVESCO CALIF MUNI SECS,0.0196011004,2012,4,1,49.436,14.54,481
ICS,INVESCO CALIF MUNI SECS,0.0463777928,2012,5,1,50.218,14.77,481
ICS,INVESCO CALIF MUNI SECS,-0.005519481,2012,6,1,52.36,15.4,481
ICS,INVESCO CALIF MUNI SECS,0.0304718218,2012,7,1,51.884,15.26,481
ICS,INVESCO CALIF MUNI SECS,0.0623100191,2012,8,1,53.278,15.67,481
ICS,INVESCO CALIF MUNI SECS,0,2012,9,1,,16.24,481
