ticker,conm,ret,year,month,EW,VW,PW,n
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.021,2000,1,1,42.5875,12.5,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.018774384,2000,2,1,43.2263125,12.6875,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0562989899,2000,3,1,42.161625,12.375,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.051794615,2000,4,1,44.291,13,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.009047347,2000,5,1,41.73575,12.25,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.094047171,2000,6,1,41.0969375,12.0625,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0434441143,2000,7,1,44.716875,13.125,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.003828183,2000,8,1,46.420375,13.625,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0193342222,2000,9,1,45.9945,13.5,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.054234886,2000,10,1,46.6333125,13.6875,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.008990214,2000,11,1,43.865125,12.875,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.1190160394,2000,12,1,43.2263125,12.6875,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0451184425,2001,1,1,48.123875,14.125,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.005234513,2001,2,1,50.04883,14.69,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0217196699,2001,3,1,49.53778,14.54,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.000186881,2001,4,1,50.35546,14.78,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.013899932,2001,5,1,50.0829,14.7,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0117745786,2001,6,1,53.71426,14.83,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0084399866,2001,7,1,54.07646,14.93,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0600742991,2001,8,1,54.25756,14.98,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0022553165,2001,9,1,57.2276,15.8,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0174214603,2001,10,1,57.0465,15.75,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.003504391,2001,11,1,57.73468,15.94,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0050255063,2001,12,1,57.2434,15.8,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0151932869,2002,1,1,57.20717,15.79,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0004077792,2002,2,1,57.75062,15.94,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,-0.078404792,2002,3,1,57.46078,15.86,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0348589126,2002,4,1,52.62766,14.53,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0580899666,2002,5,1,54.1489,14.95,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0.0006410256,2002,6,1,56.5032,15.6,602
MDH.1,MUNIHOLDINGS MICH INSD FD II,0,2002,7,1,,15.61,602
