ticker,conm,ret,year,month,EW,VW,PW,n
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0438095238,2000,1,1,252.97125,13.125,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.044954128,2000,2,1,262.60825,13.625,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0106280193,2000,3,1,249.357375,12.9375,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0105769231,2000,4,1,250.562,13,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.013397129,2000,5,1,251.766625,13.0625,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0056195122,2000,6,1,246.948125,12.8125,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0300097561,2000,7,1,246.948125,12.8125,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0388190476,2000,8,1,252.97125,13.125,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0145253456,2000,9,1,261.403625,13.5625,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.008438356,2000,10,1,263.812875,13.6875,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.036333333,2000,11,1,260.199,13.5,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.1021835749,2000,12,1,249.357375,12.9375,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.044722467,2001,1,1,273.449875,14.1875,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0075932203,2001,2,1,284.2915,14.75,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.010581474,2001,3,1,285.06246,14.79,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0023008242,2001,4,1,280.62944,14.56,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0023071625,2001,5,1,279.85848,14.52,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0341850829,2001,6,1,279.08752,14.48,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0016778523,2001,7,1,287.1826,14.9,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.031986532,2001,8,1,286.2189,14.85,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.031147541,2001,9,1,293.9285,15.25,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0425170068,2001,10,1,283.3278,14.7,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.021311475,2001,11,1,293.9285,15.25,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0085185185,2001,12,1,286.2189,14.85,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0306375839,2002,1,1,287.1826,14.9,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0004253927,2002,2,1,294.50672,15.28,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.018507561,2002,3,1,293.15754,15.21,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0234680135,2002,4,1,286.2189,14.85,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0151124339,2002,5,1,291.42288,15.12,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0320563196,2002,6,1,294.31398,15.27,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.010809949,2002,7,1,302.52992,15.68,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0044071021,2002,8,1,304.26638,15.77,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0228743655,2002,9,1,304.07344,15.76,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.039245636,2002,10,1,309.47576,16.04,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0085127202,2002,11,1,295.77702,15.33,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0378153446,2002,12,1,296.74172,15.38,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.00122796,2003,1,1,306.38872,15.88,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0127059569,2003,2,1,304.75914,15.78,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0114150943,2003,3,1,307.0767,15.9,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.02009375,2003,4,1,309.008,16,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0284174877,2003,5,1,313.64312,16.24,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.003700361,2003,6,1,320.98206,16.62,272
NIF,NUVEEN PREMIER MUNI OPPY FD,-0.089668675,2003,7,1,320.5958,16.6,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0140718563,2003,8,1,290.27439,15.03,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0264841689,2003,9,1,292.78508,15.16,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0072028424,2003,10,1,298.96524,15.48,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0291102515,2003,11,1,299.54463,15.51,272
NIF,NUVEEN PREMIER MUNI OPPY FD,0.0271284635,2003,12,1,306.69044,15.88,272
