ticker,conm,ret,year,month,EW,VW,PW,n
NOX,NEUBERGER BERMAN INCOME OPP,,2003,6,1,,,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.019281915,2003,7,1,250.67168,15.04,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.043644068,2003,8,1,245.83825,14.75,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.002410714,2003,9,1,248.136,14,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0163239538,2003,10,1,245.65464,13.86,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0304899857,2003,11,1,247.78152,13.98,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0563811189,2003,12,1,253.4532,14.3,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0104166667,2004,1,1,265.86,15,739
NOX,NEUBERGER BERMAN INCOME OPP,0.009717608,2004,2,1,266.7462,15.05,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0176441352,2004,3,1,267.45516,15.09,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.117622951,2004,4,1,270.291,15.25,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0356741573,2004,5,1,236.6154,13.35,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.013392857,2004,6,1,243.17328,13.72,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0518428891,2004,7,1,238.03332,13.43,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0603601997,2004,8,1,248.49048,14.02,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0119410569,2004,9,1,261.60624,14.76,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0233479434,2004,10,1,262.84692,14.83,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.005557399,2004,11,1,267.10068,15.07,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0516700269,2004,12,1,263.73312,14.88,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.014193227,2005,1,1,266.92344,15.06,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0072082768,2005,2,1,261.25176,14.74,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.053850068,2005,3,1,261.25176,14.74,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.000993497,2005,4,1,245.30016,13.84,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0485604956,2005,5,1,243.17328,13.72,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0354516807,2005,6,1,253.09872,14.28,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0344856948,2005,7,1,260.18832,14.68,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0030669761,2005,8,1,267.27792,15.08,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.007573236,2005,9,1,266.21448,15.02,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.031334459,2005,10,1,262.3152,14.8,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.003074491,2005,11,1,252.21252,14.23,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0139666193,2005,12,1,249.55392,14.08,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0542321302,2006,1,1,250.44012,14.13,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0416700473,2006,2,1,262.13796,14.79,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0069477124,2006,3,1,271.1772,15.3,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.007431373,2006,4,1,271.1772,15.3,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.015497347,2006,5,1,267.27792,15.08,739
NOX,NEUBERGER BERMAN INCOME OPP,0.035027137,2006,6,1,261.25176,14.74,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0320990099,2006,7,1,268.5186,15.15,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0435479717,2006,8,1,275.25372,15.53,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0190248447,2006,9,1,285.3564,16.1,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0629631902,2006,10,1,288.9012,16.3,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0474041812,2006,11,1,305.20728,17.22,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0521221417,2006,12,1,317.79132,17.93,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0324647887,2007,1,1,314.601,17.75,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.064420966,2007,2,1,322.93128,18.22,739
NOX,NEUBERGER BERMAN INCOME OPP,0.000959268,2007,3,1,300.24456,16.94,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0567507418,2007,4,1,298.6494,16.85,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0003531073,2007,5,1,313.7148,17.7,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.101917614,2007,6,1,311.9424,17.6,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.123805732,2007,7,1,278.2668,15.7,739
NOX,NEUBERGER BERMAN INCOME OPP,0.020970696,2007,8,1,241.9326,13.65,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0409436009,2007,9,1,245.12292,13.83,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.048547936,2007,10,1,253.27596,14.29,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.084785026,2007,11,1,239.09676,13.49,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0916427288,2007,12,1,216.94176,12.24,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0553186715,2008,1,1,197.44536,11.14,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.063841202,2008,2,1,206.4846,11.65,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.027199074,2008,3,1,191.4192,10.8,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0756009615,2008,4,1,184.4336,10.4,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0086868231,2008,5,1,196.49272,11.08,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.087059621,2008,6,1,196.31538,11.07,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.051375,2008,7,1,177.34,10,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.019589552,2008,8,1,166.34492,9.38,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.137926293,2008,9,1,161.20206,9.09,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.417037516,2008,10,1,137.08382,7.73,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.350840909,2008,11,1,78.0296,4.4,739
NOX,NEUBERGER BERMAN INCOME OPP,0.3113818182,2008,12,1,48.7685,2.75,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0285714286,2009,1,1,62.069,3.5,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.090140845,2009,2,1,62.9557,3.55,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0094339623,2009,3,1,56.39412,3.18,739
NOX,NEUBERGER BERMAN INCOME OPP,0.3069620253,2009,4,1,56.03944,3.16,739
NOX,NEUBERGER BERMAN INCOME OPP,0.1446078431,2009,5,1,72.35472,4.08,739
NOX,NEUBERGER BERMAN INCOME OPP,0,2009,6,1,81.93108,4.62,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0940919037,2009,7,1,81.04438,4.57,739
NOX,NEUBERGER BERMAN INCOME OPP,0.1353535354,2009,8,1,87.7833,4.95,739
NOX,NEUBERGER BERMAN INCOME OPP,0.1175942549,2009,9,1,98.77838,5.57,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.044534413,2009,10,1,98.559175,6.175,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0273504274,2009,11,1,84.03525,5.85,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0687751678,2009,12,1,85.6154,5.96,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0047694754,2010,1,1,90.35585,6.29,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0638277512,2010,2,1,90.06855,6.27,739
NOX,NEUBERGER BERMAN INCOME OPP,0.1186807204,2010,3,1,94.9914355,6.6127,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0350817439,2010,4,1,105.4391,7.34,739
NOX,NEUBERGER BERMAN INCOME OPP,-0.097148541,2010,5,1,108.3121,7.54,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0707407407,2010,6,1,96.96375,6.75,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0775174338,2010,7,1,102.99705,7.17,739
NOX,NEUBERGER BERMAN INCOME OPP,0.0438304862,2010,8,1,109.31765,7.61,739
NOX,NEUBERGER BERMAN INCOME OPP,0,2010,9,1,,7.8,739
