ticker,conm,ret,year,month,EW,VW,PW,n
NQM,NUVEEN INVT QUALITY MUN FD,0.1028449198,2000,1,1,417.2905,11.6875,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.003746341,2000,2,1,458.0340625,12.8125,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0107980296,2000,3,1,453.5654375,12.6875,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.018666667,2000,4,1,455.79975,12.75,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.014110553,2000,5,1,444.6281875,12.4375,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0417641026,2000,6,1,435.6909375,12.1875,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0403168317,2000,7,1,451.331125,12.625,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0198277512,2000,8,1,466.9713125,13.0625,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.008754717,2000,9,1,473.67425,13.25,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.008880383,2000,10,1,466.9713125,13.0625,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.00415534,2000,11,1,460.268375,12.875,227
NQM,NUVEEN INVT QUALITY MUN FD,0.059372549,2000,12,1,455.79975,12.75,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0738232558,2001,1,1,480.3771875,13.4375,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.009087744,2001,2,1,513.35564,14.36,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.008509887,2001,3,1,506.20584,14.16,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0121331424,2001,4,1,499.41353,13.97,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.016382374,2001,5,1,502.98843,14.07,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0487654321,2001,6,1,492.26373,13.77,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0140222686,2001,7,1,513.71313,14.37,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0221724138,2001,8,1,518.3605,14.5,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0070169492,2001,9,1,527.29775,14.75,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0090324763,2001,10,1,528.37022,14.78,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.009198113,2001,11,1,530.51516,14.84,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.024224197,2001,12,1,523.00787,14.63,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0489788732,2002,1,1,507.6358,14.2,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0050944669,2002,2,1,529.80018,14.82,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.022402159,2002,3,1,529.80018,14.82,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0102706454,2002,4,1,515.14309,14.41,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0240331492,2002,5,1,517.64552,14.48,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0291525424,2002,6,1,527.29775,14.75,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0046357616,2002,7,1,539.8099,15.1,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0205434062,2002,8,1,539.45241,15.09,227
NQM,NUVEEN INVT QUALITY MUN FD,0.03404047,2002,9,1,547.67468,15.32,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.043686548,2002,10,1,563.40424,15.76,227
NQM,NUVEEN INVT QUALITY MUN FD,-0.022581721,2002,11,1,535.87751,14.99,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0355250515,2002,12,1,520.86293,14.57,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0048333333,2003,1,1,536.235,15,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0301867912,2003,2,1,535.87751,14.99,227
NQM,NUVEEN INVT QUALITY MUN FD,0.003515625,2003,3,1,549.10464,15.36,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0165688193,2003,4,1,548.03217,15.33,227
NQM,NUVEEN INVT QUALITY MUN FD,0.0312258065,2003,5,1,554.1095,15.5,227
