ticker,conm,ret,year,month,EW,VW,PW,n
PCN,PIMCO CORP & INCM STRGY FUND,,2001,12,1,,,646
PCN,PIMCO CORP & INCM STRGY FUND,0,2002,1,1,,15.02,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.005575899,2002,2,1,,15.02,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.029248146,2002,3,1,,14.83,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0410251924,2002,4,1,,14.29,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0119329722,2002,5,1,,14.77,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0017688679,2002,6,1,,14.84,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.064617209,2002,7,1,,14.76,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.003193431,2002,8,1,477.7738,13.7,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0373616236,2002,9,1,472.5427,13.55,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.04327957,2002,10,1,486.4923,13.95,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0646714502,2002,11,1,461.73176,13.24,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0050571837,2002,12,1,487.88726,13.99,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0805131004,2003,1,1,479.16876,13.74,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0011024423,2003,2,1,514.04276,14.74,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0147610922,2003,3,1,510.9041,14.65,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0180386179,2003,4,1,514.74024,14.76,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0325904826,2003,5,1,520.32008,14.92,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0343954248,2003,6,1,533.5722,15.3,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.079755089,2003,7,1,548.21928,15.72,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.010010446,2003,8,1,500.79064,14.36,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0755669738,2003,9,1,492.07214,14.11,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0309389516,2003,10,1,525.55118,15.07,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0211438756,2003,11,1,538.10582,15.43,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0481731629,2003,12,1,545.7781,15.65,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0054485155,2004,1,1,552.05542,15.83,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.009092347,2004,2,1,551.35794,15.81,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0190392031,2004,3,1,554.06048,15.56,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.116428571,2004,4,1,560.826,15.75,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0323135409,2004,5,1,491.74648,13.81,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.003091873,2004,6,1,503.8532,14.15,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0425892857,2004,7,1,498.512,14,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0356280193,2004,8,1,515.95992,14.49,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0192114094,2004,9,1,530.5592,14.9,646
PCN,PIMCO CORP & INCM STRGY FUND,0.032244695,2004,10,1,536.96864,15.08,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.02288163,2004,11,1,550.49968,15.46,646
PCN,PIMCO CORP & INCM STRGY FUND,0.045312,2004,12,1,534.12,15,646
PCN,PIMCO CORP & INCM STRGY FUND,0.0245915033,2005,1,1,544.8024,15.3,646
PCN,PIMCO CORP & INCM STRGY FUND,-0.006663455,2005,2,1,554.41656,15.57,646
