ticker,conm,ret,year,month,EW,VW,PW,n
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.0390625,2000,1,1,154.56,8,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0162601626,2000,2,1,148.5225,7.6875,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.016,2000,3,1,150.9375,7.8125,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.086614173,2000,4,1,153.3525,7.9375,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.00862069,2000,5,1,140.07,7.25,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0695652174,2000,6,1,138.8625,7.1875,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0325203252,2000,7,1,148.5225,7.6875,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0157480315,2000,8,1,153.3525,7.9375,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.046511628,2000,9,1,155.7675,8.0625,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.073170732,2000,10,1,148.5225,7.6875,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.006357895,2000,11,1,137.655,7.125,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0467857143,2000,12,1,135.24,7,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.1282051282,2001,1,1,141.2775,7.3125,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0424242424,2001,2,1,159.39,8.25,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.08255814,2001,3,1,166.152,8.6,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0595690748,2001,4,1,147.97695,7.89,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0992822967,2001,5,1,156.7918,8.36,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0239390642,2001,6,1,172.35845,9.19,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.115834219,2001,7,1,176.48455,9.41,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.070913462,2001,8,1,156.0416,8.32,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.040103493,2001,9,1,144.97615,7.73,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0526549865,2001,10,1,139.1621,7.42,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0718954248,2001,11,1,143.47575,7.65,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.039658537,2001,12,1,153.791,8.2,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0750636132,2002,1,1,147.4143,7.86,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0236686391,2002,2,1,152.85205,8.45,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0485549133,2002,3,1,156.46985,8.65,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0815876516,2002,4,1,164.06723,9.07,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0519877676,2002,5,1,177.45309,9.81,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.060077519,2002,6,1,186.67848,10.32,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.051546392,2002,7,1,175.4633,9.7,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.010869565,2002,8,1,166.4188,9.2,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.035164835,2002,9,1,164.6099,9.1,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0581093394,2002,10,1,158.82142,8.78,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.1208791209,2002,11,1,164.6099,9.1,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0147058824,2002,12,1,166.056,10.2,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0299806576,2003,1,1,168.3352,10.34,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0187793427,2003,2,1,173.382,10.65,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0387096774,2003,3,1,176.638,10.85,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.014196983,2003,4,1,183.4756,11.27,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.1359135914,2003,5,1,180.8708,11.11,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0340729002,2003,6,1,205.4536,12.62,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0778697318,2003,7,1,212.454,13.05,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.014336918,2003,8,1,227.106,13.95,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2003,9,1,223.85,13.75,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0332778702,2004,9,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.007144391,2004,10,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0727969349,2004,11,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0107142857,2004,12,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.0227158,2005,1,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0635330579,2005,2,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.019912579,2005,3,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0069375619,2005,4,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0187007874,2005,5,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0149758454,2005,6,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0528319848,2005,7,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.015370705,2005,8,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0454545455,2005,9,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.063179622,2005,10,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0591320935,2005,11,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,,2005,12,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0608695652,2006,1,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0102459016,2006,2,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.000811359,2006,3,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0588712952,2006,4,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.039877301,2006,5,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0135782748,2006,6,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0078802206,2006,7,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0136825645,2006,8,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0212109526,2006,9,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0339879154,2006,10,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0876552228,2006,11,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0772330423,2006,12,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.014650873,2007,1,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.011705157,2007,2,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0208066581,2007,3,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0341799937,2007,4,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0624620982,2007,5,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0890410959,2007,6,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0474318658,2007,7,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0395296472,2007,8,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.1525872443,2007,9,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0.0893714763,2007,10,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.118267203,2007,11,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,-0.701086957,2007,12,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,1,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,2,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,3,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,4,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,5,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,6,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,7,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,8,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,9,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,10,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,11,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2008,12,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2009,1,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2009,2,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2009,3,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2009,4,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2009,5,1,,,445
TCH.4,TEMPLETON CHINA WORLD FD INC,0,2009,6,1,,,445
