ticker,conm,ret,year,month,EW,VW,PW,n
TFC..,MORGAN STANDW MNI INC TR III,0.0216666667,2000,1,1,46.26,7.5,153
TFC..,MORGAN STANDW MNI INC TR III,0.0049180328,2000,2,1,47.031,7.625,153
TFC..,MORGAN STANDW MNI INC TR III,0.0213114754,2000,3,1,47.031,7.625,153
TFC..,MORGAN STANDW MNI INC TR III,0.0048387097,2000,4,1,47.802,7.75,153
TFC..,MORGAN STANDW MNI INC TR III,-0.003225806,2000,5,1,47.802,7.75,153
TFC..,MORGAN STANDW MNI INC TR III,0.0292682927,2000,6,1,47.4165,7.6875,153
TFC..,MORGAN STANDW MNI INC TR III,0.0285714286,2000,7,1,48.573,7.875,153
TFC..,MORGAN STANDW MNI INC TR III,0.1441860465,2000,8,1,49.7295,8.0625,153
TFC..,MORGAN STANDW MNI INC TR III,0.0040816327,2000,9,1,56.6685,9.1875,153
TFC..,MORGAN STANDW MNI INC TR III,0.0114285714,2000,10,1,56.6685,9.1875,153
TFC..,MORGAN STANDW MNI INC TR III,0.0113513514,2000,11,1,57.054,9.25,153
TFC..,MORGAN STANDW MNI INC TR III,0.0322511678,2000,12,1,57.4395,9.3125,153
TFC..,MORGAN STANDW MNI INC TR III,0.0305882353,2001,1,1,58.9815,9.5625,153
TFC..,MORGAN STANDW MNI INC TR III,0,2001,2,1,60.5235,9.8125,153
TFC..,MORGAN STANDW MNI INC TR III,,2001,3,1,,,153
TFC..,MORGAN STANDW MNI INC TR III,,2001,4,1,,,153
TFC..,MORGAN STANDW MNI INC TR III,,2001,5,1,,,153
