ticker,conm,ret,year,month,EW,VW,PW,n
VKI,INVESCO ADV MUNI INCM TR II,0.0691954023,2000,1,1,88.827,10.875,457
VKI,INVESCO ADV MUNI INCM TR II,-0.026810811,2000,2,1,94.4425,11.5625,457
VKI,INVESCO ADV MUNI INCM TR II,0.0002234637,2000,3,1,91.3795,11.1875,457
VKI,INVESCO ADV MUNI INCM TR II,0.0170786517,2000,4,1,90.869,11.125,457
VKI,INVESCO ADV MUNI INCM TR II,-0.022,2000,5,1,91.89,11.25,457
VKI,INVESCO ADV MUNI INCM TR II,0.0516571429,2000,6,1,89.3375,10.9375,457
VKI,INVESCO ADV MUNI INCM TR II,0.0439344262,2000,7,1,93.4215,11.4375,457
VKI,INVESCO ADV MUNI INCM TR II,0.016,2000,8,1,96.995,11.875,457
VKI,INVESCO ADV MUNI INCM TR II,0.0054166667,2000,9,1,98.016,12,457
VKI,INVESCO ADV MUNI INCM TR II,-0.025833333,2000,10,1,98.016,12,457
VKI,INVESCO ADV MUNI INCM TR II,-0.00516129,2000,11,1,94.953,11.625,457
VKI,INVESCO ADV MUNI INCM TR II,0.0377391304,2000,12,1,93.932,11.5,457
VKI,INVESCO ADV MUNI INCM TR II,0.0466526316,2001,1,1,96.995,11.875,457
VKI,INVESCO ADV MUNI INCM TR II,-0.009215845,2001,2,1,101.03816,12.37,457
VKI,INVESCO ADV MUNI INCM TR II,0.0021311475,2001,3,1,99.6496,12.2,457
VKI,INVESCO ADV MUNI INCM TR II,-0.011832375,2001,4,1,99.40456,12.17,457
VKI,INVESCO ADV MUNI INCM TR II,0.0071846282,2001,5,1,97.77096,11.97,457
VKI,INVESCO ADV MUNI INCM TR II,0.02,2001,6,1,98.016,12,457
VKI,INVESCO ADV MUNI INCM TR II,0.0188834154,2001,7,1,99.48624,12.18,457
VKI,INVESCO ADV MUNI INCM TR II,0.0356275304,2001,8,1,100.8748,12.35,457
VKI,INVESCO ADV MUNI INCM TR II,-0.008208955,2001,9,1,103.97864,12.73,457
VKI,INVESCO ADV MUNI INCM TR II,0.0362659236,2001,10,1,102.59008,12.56,457
VKI,INVESCO ADV MUNI INCM TR II,0.0124324324,2001,11,1,105.7756,12.95,457
VKI,INVESCO ADV MUNI INCM TR II,-0.008358896,2001,12,1,106.51072,13.04,457
VKI,INVESCO ADV MUNI INCM TR II,0.0454510109,2002,1,1,105.04048,12.86,457
VKI,INVESCO ADV MUNI INCM TR II,0.0359012715,2002,2,1,109.20616,13.37,457
VKI,INVESCO ADV MUNI INCM TR II,-0.039941903,2002,3,1,112.47336,13.77,457
VKI,INVESCO ADV MUNI INCM TR II,0.0342465753,2002,4,1,107.32752,13.14,457
VKI,INVESCO ADV MUNI INCM TR II,0.0236861584,2002,5,1,110.34968,13.51,457
VKI,INVESCO ADV MUNI INCM TR II,0.0293090909,2002,6,1,112.31,13.75,457
VKI,INVESCO ADV MUNI INCM TR II,0.017981521,2002,7,1,114.92376,14.07,457
VKI,INVESCO ADV MUNI INCM TR II,0.0240870787,2002,8,1,116.31232,14.24,457
VKI,INVESCO ADV MUNI INCM TR II,0.0335172414,2002,9,1,118.436,14.5,457
VKI,INVESCO ADV MUNI INCM TR II,-0.055973154,2002,10,1,121.7032,14.9,457
VKI,INVESCO ADV MUNI INCM TR II,0.0226037196,2002,11,1,114.18864,13.98,457
VKI,INVESCO ADV MUNI INCM TR II,0.0264602393,2002,12,1,116.06728,14.21,457
VKI,INVESCO ADV MUNI INCM TR II,0.0197241379,2003,1,1,118.436,14.5,457
VKI,INVESCO ADV MUNI INCM TR II,-0.003673469,2003,2,1,120.0696,14.7,457
VKI,INVESCO ADV MUNI INCM TR II,0.0148351648,2003,3,1,118.92608,14.56,457
VKI,INVESCO ADV MUNI INCM TR II,0.010619469,2003,4,1,119.98792,14.69,457
VKI,INVESCO ADV MUNI INCM TR II,0.033604336,2003,5,1,120.55968,14.76,457
VKI,INVESCO ADV MUNI INCM TR II,-0.030323006,2003,6,1,123.90856,15.17,457
VKI,INVESCO ADV MUNI INCM TR II,-0.073137389,2003,7,1,119.49784,14.63,457
VKI,INVESCO ADV MUNI INCM TR II,0.0185459941,2003,8,1,110.10464,13.48,457
VKI,INVESCO ADV MUNI INCM TR II,0.0315018315,2003,9,1,111.4932,13.65,457
VKI,INVESCO ADV MUNI INCM TR II,-0.001428571,2003,10,1,114.352,14,457
VKI,INVESCO ADV MUNI INCM TR II,0.1028776978,2003,11,1,113.5352,13.9,457
VKI,INVESCO ADV MUNI INCM TR II,-0.007868852,2003,12,1,124.562,15.25,457
VKI,INVESCO ADV MUNI INCM TR II,0.019269103,2004,1,1,122.9284,15.05,457
VKI,INVESCO ADV MUNI INCM TR II,0.0209698558,2004,2,1,124.64368,15.26,457
VKI,INVESCO ADV MUNI INCM TR II,-0.002580645,2004,3,1,126.604,15.5,457
VKI,INVESCO ADV MUNI INCM TR II,-0.129388817,2004,4,1,125.62384,15.38,457
VKI,INVESCO ADV MUNI INCM TR II,-0.005259204,2004,5,1,108.71608,13.31,457
VKI,INVESCO ADV MUNI INCM TR II,0.0227963526,2004,6,1,107.49088,13.16,457
VKI,INVESCO ADV MUNI INCM TR II,0.067264574,2004,7,1,109.28784,13.38,457
VKI,INVESCO ADV MUNI INCM TR II,0.0056338028,2004,8,1,115.9856,14.2,457
VKI,INVESCO ADV MUNI INCM TR II,0.0154929577,2004,9,1,115.9856,14.2,457
VKI,INVESCO ADV MUNI INCM TR II,0.0306834031,2004,10,1,117.12912,14.34,457
VKI,INVESCO ADV MUNI INCM TR II,-0.038095238,2004,11,1,120.0696,14.7,457
VKI,INVESCO ADV MUNI INCM TR II,-0.036273115,2004,12,1,114.84208,14.06,457
VKI,INVESCO ADV MUNI INCM TR II,0.0497401633,2005,1,1,110.02296,13.47,457
VKI,INVESCO ADV MUNI INCM TR II,0.0028449502,2005,2,1,114.84208,14.06,457
VKI,INVESCO ADV MUNI INCM TR II,-0.012838802,2005,3,1,114.51536,14.02,457
VKI,INVESCO ADV MUNI INCM TR II,-0.017877907,2005,4,1,112.39168,13.76,457
VKI,INVESCO ADV MUNI INCM TR II,0.021875,2005,5,1,109.77792,13.44,457
VKI,INVESCO ADV MUNI INCM TR II,0.0109443631,2005,6,1,111.57488,13.66,457
VKI,INVESCO ADV MUNI INCM TR II,0.0079694323,2005,7,1,112.22832,13.74,457
VKI,INVESCO ADV MUNI INCM TR II,0.0021407837,2005,8,1,112.55504,13.78,457
