ticker,conm,ret,year,month,EW,VW,PW,n
ACTY,ACCESSITY CORP,0.71875,2000,1,1,24.996,3,3200
ACTY,ACCESSITY CORP,-0.187878788,2000,2,1,42.961875,5.15625,3200
ACTY,ACCESSITY CORP,-0.044776119,2000,3,1,34.89025,4.1875,3200
ACTY,ACCESSITY CORP,-0.375,2000,4,1,33.328,4,3200
ACTY,ACCESSITY CORP,-0.4375,2000,5,1,22.0175,2.5,3200
ACTY,ACCESSITY CORP,0.1777777778,2000,6,1,12.38484375,1.40625,3200
ACTY,ACCESSITY CORP,0.1320754717,2000,7,1,15.0354375,1.65625,3200
ACTY,ACCESSITY CORP,-0.083333333,2000,8,1,17.02125,1.875,3200
ACTY,ACCESSITY CORP,-0.181818182,2000,9,1,15.6028125,1.71875,3200
ACTY,ACCESSITY CORP,-0.111111111,2000,10,1,14.5096875,1.40625,3200
ACTY,ACCESSITY CORP,-0.45,2000,11,1,12.8975,1.25,3200
ACTY,ACCESSITY CORP,-0.363636364,2000,12,1,7.093625,0.6875,3200
ACTY,ACCESSITY CORP,0.6428571429,2001,1,1,4.603375,0.4375,3200
ACTY,ACCESSITY CORP,-0.086956522,2001,2,1,7.5626875,0.71875,3200
ACTY,ACCESSITY CORP,0.0952380952,2001,3,1,6.7711875,0.65625,3200
ACTY,ACCESSITY CORP,0.4052173913,2001,4,1,7.4160625,0.71875,3200
ACTY,ACCESSITY CORP,0.3663366337,2001,5,1,10.80397,1.01,3200
ACTY,ACCESSITY CORP,-0.057971014,2001,6,1,14.76186,1.38,3200
ACTY,ACCESSITY CORP,0.1153846154,2001,7,1,13.9061,1.3,3200
ACTY,ACCESSITY CORP,-0.117241379,2001,8,1,15.51065,1.45,3200
ACTY,ACCESSITY CORP,-0.0859375,2001,9,1,13.69216,1.28,3200
ACTY,ACCESSITY CORP,0.1965811966,2001,10,1,12.51549,1.17,3200
ACTY,ACCESSITY CORP,-0.1,2001,11,1,14.9758,1.4,3200
ACTY,ACCESSITY CORP,0,2001,12,1,13.60422,1.26,3200
ACTY,ACCESSITY CORP,0.1111111111,2002,1,1,13.60422,1.26,3200
ACTY,ACCESSITY CORP,0.2142857143,2002,2,1,15.1158,1.4,3200
ACTY,ACCESSITY CORP,-0.117647059,2002,3,1,18.3549,1.7,3200
ACTY,ACCESSITY CORP,-0.366666667,2002,4,1,16.1955,1.5,3200
ACTY,ACCESSITY CORP,-0.031578947,2002,5,1,10.25715,0.95,3200
ACTY,ACCESSITY CORP,-0.043478261,2002,6,1,10.08504,0.92,3200
ACTY,ACCESSITY CORP,0.0227272727,2002,7,1,9.64656,0.88,3200
ACTY,ACCESSITY CORP,0.1111111111,2002,8,1,9.8658,0.9,3200
ACTY,ACCESSITY CORP,-0.24,2002,9,1,10.962,1,3200
ACTY,ACCESSITY CORP,-0.264473684,2002,10,1,8.33112,0.76,3200
ACTY,ACCESSITY CORP,-0.39177102,2002,11,1,6.127758,0.559,3200
ACTY,ACCESSITY CORP,-0.088235294,2002,12,1,3.67098,0.34,3200
ACTY,ACCESSITY CORP,1.4516129032,2003,1,1,3.34707,0.31,3200
ACTY,ACCESSITY CORP,-0.552631579,2003,2,1,8.20572,0.76,3200
ACTY,ACCESSITY CORP,0.6470588235,2003,3,1,3.67098,0.34,3200
ACTY,ACCESSITY CORP,-0.160714286,2003,4,1,6.04632,0.56,3200
ACTY,ACCESSITY CORP,-0.042553191,2003,5,1,5.07459,0.47,3200
ACTY,ACCESSITY CORP,-0.177777778,2003,6,1,4.89105,0.45,3200
ACTY,ACCESSITY CORP,0.1108108108,2003,7,1,4.02153,0.37,3200
ACTY,ACCESSITY CORP,0.0705596107,2003,8,1,4.467159,0.411,3200
ACTY,ACCESSITY CORP,0.2272727273,2003,9,1,4.84044,0.44,3200
ACTY,ACCESSITY CORP,0.0740740741,2003,10,1,5.94054,0.54,3200
ACTY,ACCESSITY CORP,-0.068965517,2003,11,1,6.38058,0.58,3200
ACTY,ACCESSITY CORP,-0.12962963,2003,12,1,6.04098,0.54,3200
ACTY,ACCESSITY CORP,-0.072340426,2004,1,1,5.25789,0.47,3200
ACTY,ACCESSITY CORP,-0.137614679,2004,2,1,4.87666,2.18,3200
ACTY,ACCESSITY CORP,0.0585106383,2004,3,1,4.20556,1.88,3200
ACTY,ACCESSITY CORP,0.2060301508,2004,4,1,4.45163,1.99,3200
ACTY,ACCESSITY CORP,1.3333333333,2004,5,1,5.3688,2.4,3200
ACTY,ACCESSITY CORP,-0.123214286,2004,6,1,12.5272,5.6,3200
ACTY,ACCESSITY CORP,0.0203665988,2004,7,1,10.98367,4.91,3200
ACTY,ACCESSITY CORP,-0.023952096,2004,8,1,11.20737,5.01,3200
ACTY,ACCESSITY CORP,0.1063394683,2004,9,1,10.93893,4.89,3200
ACTY,ACCESSITY CORP,-0.089833641,2004,10,1,12.10217,5.41,3200
ACTY,ACCESSITY CORP,-0.086108855,2004,11,1,11.014988,4.924,3200
ACTY,ACCESSITY CORP,0.3177777778,2004,12,1,10.5255,4.5,3200
ACTY,ACCESSITY CORP,0.0792580101,2005,1,1,13.87027,5.93,3200
ACTY,ACCESSITY CORP,0.4265625,2005,2,1,14.9696,6.4,3200
ACTY,ACCESSITY CORP,-0.008762322,2005,3,1,21.35507,9.13,3200
ACTY,ACCESSITY CORP,0,2005,4,1,21.16795,9.05,3200
