ticker,conm,ret,year,month,EW,VW,PW,n
ACY,AEROCENTURY CORP,0.1836734694,2000,1,1,9.450875,6.125,7234
ACY,AEROCENTURY CORP,0,2000,2,1,11.18675,7.25,7234
ACY,AEROCENTURY CORP,-0.025862069,2000,3,1,11.18675,7.25,7234
ACY,AEROCENTURY CORP,0.0973451327,2000,4,1,10.8974375,7.0625,7234
ACY,AEROCENTURY CORP,-0.024193548,2000,5,1,11.95825,7.75,7234
ACY,AEROCENTURY CORP,-0.107438017,2000,6,1,11.6765,7.5625,7234
ACY,AEROCENTURY CORP,-0.018518519,2000,7,1,10.422,6.75,7234
ACY,AEROCENTURY CORP,0.0188679245,2000,8,1,10.229,6.625,7234
ACY,AEROCENTURY CORP,-0.148148148,2000,9,1,10.41525,6.75,7234
ACY,AEROCENTURY CORP,0.0217391304,2000,10,1,8.87225,5.75,7234
ACY,AEROCENTURY CORP,0.0212765957,2000,11,1,9.065125,5.875,7234
ACY,AEROCENTURY CORP,-0.270833333,2000,12,1,9.258,6,7234
ACY,AEROCENTURY CORP,0.1291428571,2001,1,1,6.750625,4.375,7234
ACY,AEROCENTURY CORP,-0.028340081,2001,2,1,7.62242,4.94,7234
ACY,AEROCENTURY CORP,0.0208333333,2001,3,1,7.4064,4.8,7234
ACY,AEROCENTURY CORP,-0.020408163,2001,4,1,7.5607,4.9,7234
ACY,AEROCENTURY CORP,0.0416666667,2001,5,1,7.4064,4.8,7234
ACY,AEROCENTURY CORP,-0.01,2001,6,1,7.715,5,7234
ACY,AEROCENTURY CORP,0.0505050505,2001,7,1,7.63785,4.95,7234
ACY,AEROCENTURY CORP,0.1153846154,2001,8,1,8.0236,5.2,7234
ACY,AEROCENTURY CORP,-0.025862069,2001,9,1,8.9494,5.8,7234
ACY,AEROCENTURY CORP,-0.03539823,2001,10,1,8.71795,5.65,7234
ACY,AEROCENTURY CORP,-0.110091743,2001,11,1,8.40935,5.45,7234
ACY,AEROCENTURY CORP,-0.020618557,2001,12,1,7.4884,4.85,7234
ACY,AEROCENTURY CORP,-0.090526316,2002,1,1,7.334,4.75,7234
ACY,AEROCENTURY CORP,0.0069444444,2002,2,1,6.67008,4.32,7234
ACY,AEROCENTURY CORP,0.0574712644,2002,3,1,6.7164,4.35,7234
ACY,AEROCENTURY CORP,0.1304347826,2002,4,1,7.0978,4.6,7234
ACY,AEROCENTURY CORP,-0.211538462,2002,5,1,8.0236,5.2,7234
ACY,AEROCENTURY CORP,0.0024390244,2002,6,1,6.3263,4.1,7234
ACY,AEROCENTURY CORP,-0.01459854,2002,7,1,6.34173,4.11,7234
ACY,AEROCENTURY CORP,-0.051851852,2002,8,1,6.24915,4.05,7234
ACY,AEROCENTURY CORP,0.0442708333,2002,9,1,5.92512,3.84,7234
ACY,AEROCENTURY CORP,-0.057356608,2002,10,1,6.18743,4.01,7234
ACY,AEROCENTURY CORP,0.0582010582,2002,11,1,5.83254,3.78,7234
ACY,AEROCENTURY CORP,-0.1825,2002,12,1,6.172,4,7234
ACY,AEROCENTURY CORP,0.0397553517,2003,1,1,5.04561,3.27,7234
ACY,AEROCENTURY CORP,-0.197058824,2003,2,1,5.2462,3.4,7234
ACY,AEROCENTURY CORP,0.1355311355,2003,3,1,4.21239,2.73,7234
ACY,AEROCENTURY CORP,-0.032258065,2003,4,1,4.7833,3.1,7234
ACY,AEROCENTURY CORP,0.1433333333,2003,5,1,4.629,3,7234
ACY,AEROCENTURY CORP,0.4139941691,2003,6,1,5.29249,3.43,7234
ACY,AEROCENTURY CORP,-0.298969072,2003,7,1,7.48355,4.85,7234
ACY,AEROCENTURY CORP,0.0588235294,2003,8,1,5.2462,3.4,7234
ACY,AEROCENTURY CORP,-0.013888889,2003,9,1,5.5548,3.6,7234
ACY,AEROCENTURY CORP,-0.042253521,2003,10,1,5.47765,3.55,7234
ACY,AEROCENTURY CORP,-0.082352941,2003,11,1,5.2462,3.4,7234
ACY,AEROCENTURY CORP,-0.022435897,2003,12,1,4.81416,3.12,7234
ACY,AEROCENTURY CORP,0.0491803279,2004,1,1,4.70615,3.05,7234
ACY,AEROCENTURY CORP,-0.015625,2004,2,1,4.9376,3.2,7234
ACY,AEROCENTURY CORP,-0.031746032,2004,3,1,4.86045,3.15,7234
ACY,AEROCENTURY CORP,-0.078688525,2004,4,1,4.70615,3.05,7234
ACY,AEROCENTURY CORP,-0.085409253,2004,5,1,4.33583,2.81,7234
ACY,AEROCENTURY CORP,-0.097276265,2004,6,1,3.96551,2.57,7234
ACY,AEROCENTURY CORP,0.0172413793,2004,7,1,3.57976,2.32,7234
ACY,AEROCENTURY CORP,0.0127118644,2004,8,1,3.64148,2.36,7234
ACY,AEROCENTURY CORP,0.0251046025,2004,9,1,3.68777,2.39,7234
ACY,AEROCENTURY CORP,0.2653061224,2004,10,1,3.78035,2.45,7234
ACY,AEROCENTURY CORP,-0.112903226,2004,11,1,4.7833,3.1,7234
ACY,AEROCENTURY CORP,-0.065454545,2004,12,1,4.24325,2.75,7234
ACY,AEROCENTURY CORP,-0.011673152,2005,1,1,3.96551,2.57,7234
ACY,AEROCENTURY CORP,0.3976377953,2005,2,1,3.91922,2.54,7234
