ticker,conm,ret,year,month,EW,VW,PW,n
AD,ADVO INC,0.0947368421,2000,1,1,490.01,23.75,1929
AD,ADVO INC,0.0673076923,2000,2,1,536.432,26,1929
AD,ADVO INC,-0.099099099,2000,3,1,569.62425,27.75,1929
AD,ADVO INC,0.2,2000,4,1,513.175,25,1929
AD,ADVO INC,0.0708333333,2000,5,1,615.81,30,1929
AD,ADVO INC,0.3073929961,2000,6,1,648.250375,32.125,1929
AD,ADVO INC,-0.025297619,2000,7,1,847.518,42,1929
AD,ADVO INC,0,2000,8,1,826.0778125,40.9375,1929
AD,ADVO INC,-0.19389313,2000,9,1,832.505,40.9375,1929
AD,ADVO INC,0.115530303,2000,10,1,671.088,33,1929
AD,ADVO INC,0.1001697793,2000,11,1,748.619,36.8125,1929
AD,ADVO INC,0.0956790123,2000,12,1,823.608,40.5,1929
AD,ADVO INC,-0.05915493,2001,1,1,893.224375,44.375,1929
AD,ADVO INC,-0.032335329,2001,2,1,840.38575,41.75,1929
AD,ADVO INC,-0.086633663,2001,3,1,819.0292,40.4,1929
AD,ADVO INC,-0.119512195,2001,4,1,748.0737,36.9,1929
AD,ADVO INC,0.000615574,2001,5,1,658.66977,32.49,1929
AD,ADVO INC,0.0504460166,2001,6,1,661.31842,32.51,1929
AD,ADVO INC,0.1434846266,2001,7,1,694.6793,34.15,1929
AD,ADVO INC,-0.067861716,2001,8,1,794.3551,39.05,1929
AD,ADVO INC,-0.065934066,2001,9,1,740.0484,36.4,1929
AD,ADVO INC,0.0608823529,2001,10,1,691.254,34,1929
AD,ADVO INC,0.0590518436,2001,11,1,733.33917,36.07,1929
AD,ADVO INC,0.1256544503,2001,12,1,776.6442,38.2,1929
AD,ADVO INC,-0.114186047,2002,1,1,857.764,43,1929
AD,ADVO INC,-0.002362825,2002,2,1,759.81932,38.09,1929
AD,ADVO INC,0.1115789474,2002,3,1,759.43,38,1929
AD,ADVO INC,0.025094697,2002,4,1,844.1664,42.24,1929
AD,ADVO INC,-0.021709007,2002,5,1,865.3505,43.3,1929
AD,ADVO INC,-0.101274788,2002,6,1,850.12284,42.36,1929
AD,ADVO INC,-0.095876018,2002,7,1,764.02683,38.07,1929
AD,ADVO INC,0.0107495642,2002,8,1,690.77498,34.42,1929
AD,ADVO INC,-0.087381431,2002,9,1,695.06941,34.79,1929
AD,ADVO INC,-0.044409449,2002,10,1,634.33325,31.75,1929
AD,ADVO INC,0.0771259064,2002,11,1,606.16286,30.34,1929
