ticker,conm,ret,year,month,EW,VW,PW,n
ADIC,ADVANCED DIGITAL INFO CORP,0.0077120823,2000,1,1,1225.1555,48.625,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.8494897959,2000,2,1,1258.516,49,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.244137931,2000,3,1,2327.6125,90.625,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.282846715,2000,4,1,1760.55275,34.25,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.480916031,2000,5,1,1262.5861875,24.5625,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.25,2000,6,1,655.38825,12.75,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.121568627,2000,7,1,822.406875,15.9375,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.2142857143,2000,8,1,722.428,14,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.106617647,2000,9,1,877.234,17,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.144032922,2000,10,1,783.705375,15.1875,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1358173077,2000,11,1,670.826,13,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.5576719577,2000,12,1,761.93578125,14.765625,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0163043478,2001,1,1,1186.846,23,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.35828877,2001,2,1,1214.822125,23.375,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1541666667,2001,3,1,779.565,15,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1390613718,2001,4,1,900.0249375,17.3125,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.075557809,2001,5,1,1025.18364,19.72,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.051014811,2001,6,1,947.72301,18.23,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.343930636,2001,7,1,901.8663,17.3,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0872246696,2001,8,1,591.68685,11.35,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.164505673,2001,9,1,643.29654,12.34,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.4490785645,2001,10,1,634.02376,10.31,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.047523427,2001,11,1,918.75024,14.94,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0249201278,2001,12,1,962.4124,15.65,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0442643392,2002,1,1,986.39584,16.04,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.265074627,2002,2,1,1040.89525,16.75,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0568643379,2002,3,1,765.95282,12.31,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.308224443,2002,4,1,810.05464,13.01,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.076666667,2002,5,1,560.376,9,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0144404332,2002,6,1,517.41384,8.31,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.383155397,2002,7,1,526.84128,8.43,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0692307692,2002,8,1,324.9792,5.2,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.136690647,2002,9,1,347.47776,5.56,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.475,2002,10,1,299.5248,4.8,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0494350282,2002,11,1,441.79908,7.08,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.096904441,2002,12,1,463.63943,7.43,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0208643815,2003,1,1,418.71071,6.71,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1124087591,2003,2,1,423.99445,6.85,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.095800525,2003,3,1,475.49562,7.62,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1567489115,2003,4,1,426.6977,6.89,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.3212045169,2003,5,1,493.5821,7.97,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.057929725,2003,6,1,652.1229,10.53,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1703629032,2003,7,1,619.83136,9.92,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1627906977,2003,8,1,725.42763,11.61,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0407407407,2003,9,1,843.5205,13.5,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1572953737,2003,10,1,882.35405,14.05,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.079335793,2003,11,1,1021.14426,16.26,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.064796259,2003,12,1,940.13097,14.97,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.2764285714,2004,1,1,879.214,14,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.299384443,2004,2,1,1121.46759,17.87,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.091054313,2004,3,1,799.25176,12.52,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.066783831,2004,4,1,730.24322,11.38,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.154425612,2004,5,1,681.47478,10.62,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0801781737,2004,6,1,576.23762,8.98,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.080412371,2004,7,1,625.068,9.7,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0605381166,2004,8,1,574.8048,8.92,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.080338266,2004,9,1,609.6024,9.46,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0287356322,2004,10,1,552.8676,8.7,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.025698324,2004,11,1,568.7546,8.95,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.091503268,2004,12,1,583.37064,9.18,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0439121756,2005,1,1,636.75096,10.02,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.205544933,2005,2,1,667.14926,10.46,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.02045728,2005,3,1,530.08659,8.31,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.151105651,2005,4,1,519.55178,8.14,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.005788712,2005,5,1,441.04457,6.91,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1062590975,2005,6,1,438.49149,6.87,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.05,2005,7,1,478.9596,7.6,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.119047619,2005,8,1,502.90758,7.98,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0526315789,2005,9,1,562.77753,8.93,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.027659574,2005,10,1,575.2048,9.4,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.1487964989,2005,11,1,559.29488,9.14,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.067619048,2005,12,1,642.516,10.5,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0224719101,2006,1,1,599.06968,9.79,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.134865135,2006,2,1,615.37476,10.01,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0138568129,2006,3,1,535.58636,8.66,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.033029613,2006,4,1,543.25372,8.78,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.3981154299,2006,5,1,525.31026,8.49,6663
ADIC,ADVANCED DIGITAL INFO CORP,-0.0084246,2006,6,1,736.30797,11.87,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0246389125,2006,7,1,730.10487,11.77,6663
ADIC,ADVANCED DIGITAL INFO CORP,0.0157545605,2006,8,1,748.09386,12.06,6663
ADIC,ADVANCED DIGITAL INFO CORP,0,2006,9,1,759.25944,12.24,6663
