ticker,conm,ret,year,month,EW,VW,PW,n
ADS,ALLIANCE DATA SYSTEMS CORP,,2001,6,1,,,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0,2001,7,1,1077.915,15,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0166666667,2001,8,1,1077.915,15,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0655737705,2001,9,1,1126.0295,15.25,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.015384615,2001,10,1,1199.8675,16.25,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.03125,2001,11,1,1181.408,16,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1606060606,2001,12,1,1212.4035,16.5,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1227154047,2002,1,1,1407.12285,19.15,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.013953488,2002,2,1,1579.7985,21.5,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1858490566,2002,3,1,1557.7548,21.2,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.019490851,2002,4,1,1847.26206,25.14,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.118458418,2002,5,1,1837.0659,24.65,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1757938334,2002,6,1,1619.44998,21.73,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.18590998,2002,7,1,1904.1393,25.55,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.134134615,2002,8,1,1550.1408,20.8,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.158800666,2002,9,1,1346.10342,18.01,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1221122112,2002,10,1,1132.3413,15.15,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1182352941,2002,11,1,1270.614,17,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.067859022,2002,12,1,1423.10761,19.01,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.012979684,2003,1,1,1326.53692,17.72,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.050886221,2003,2,1,1309.31889,17.49,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0240963855,2003,3,1,1242.6926,16.6,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.2352941176,2003,4,1,1274.881,17,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1680952381,2003,5,1,1623.825,21,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.046066042,2003,6,1,1930.60912,24.53,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1709401709,2003,7,1,1841.6736,23.4,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0802919708,2003,8,1,2156.4896,27.4,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.108108108,2003,9,1,2348.9672,29.6,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0522727273,2003,10,1,2095.0248,26.4,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0791936645,2003,11,1,2204.53746,27.78,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.076717812,2003,12,1,2387.63718,29.98,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1488439306,2004,1,1,2204.46288,27.68,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.058176101,2004,2,1,2532.5838,31.8,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1202003339,2004,3,1,2385.24795,29.95,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0363636364,2004,4,1,2676.8874,33.55,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0644233535,2004,5,1,2783.61666,34.77,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1415833558,2004,6,1,2970.12652,37.01,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.060118343,2004,7,1,3390.647,42.25,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.038025686,2004,8,1,3186.80692,39.71,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0617801047,2004,9,1,3088.7374,38.2,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0424063116,2004,10,1,3279.55992,40.56,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0146641438,2004,11,1,3418.63396,42.28,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1067599068,2004,12,1,3503.7717,42.9,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.085509688,2005,1,1,3877.83404,47.48,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.09143252,2005,2,1,3546.24166,43.42,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0240811153,2005,3,1,3221.99985,39.45,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0,2005,4,1,3337.6056,40.4,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.066336634,2005,5,1,3337.6056,40.4,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0752916225,2005,6,1,3144.82956,37.72,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.049556213,2005,7,1,3381.60888,40.56,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.011745361,2005,8,1,3549.18861,42.57,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.069408129,2005,9,1,3517.26235,42.07,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.091698595,2005,10,1,3273.13575,39.15,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0846456693,2005,11,1,2972.9938,35.56,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.077002852,2005,12,1,3164.12852,38.57,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1867977528,2006,1,1,2920.4816,35.6,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0239053254,2006,2,1,3466.021,42.25,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0811373093,2006,3,1,3548.87736,43.26,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1759675005,2006,4,1,3763.95606,46.77,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.035090909,2006,5,1,4426.29,55,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1083474656,2006,6,1,4309.97391,53.07,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.12750765,2006,7,1,4776.94866,58.82,8508
ADS,ALLIANCE DATA SYSTEMS CORP,-0.015198753,2006,8,1,4167.85116,51.32,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0920063316,2006,9,1,4048.55724,50.54,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.1001993115,2006,10,1,4421.05014,55.19,8508
ADS,ALLIANCE DATA SYSTEMS CORP,0.0657114625,2006,11,1,4864.03632,60.72,8508
