ticker,conm,ret,year,month,EW,VW,PW,n
ADV.2,ADVEST GROUP INC,-0.013605442,2000,1,1,163.960125,18.375,25
ADV.2,ADVEST GROUP INC,-0.082758621,2000,2,1,161.838125,18.125,25
ADV.2,ADVEST GROUP INC,0.1464661654,2000,3,1,149.72475,16.625,25
ADV.2,ADVEST GROUP INC,0.0296052632,2000,4,1,171.114,19,25
ADV.2,ADVEST GROUP INC,-0.022364217,2000,5,1,176.179875,19.5625,25
ADV.2,ADVEST GROUP INC,0.0979084967,2000,6,1,172.603125,19.125,25
ADV.2,ADVEST GROUP INC,0.2507462687,2000,7,1,188.9609375,20.9375,25
ADV.2,ADVEST GROUP INC,0.1670644391,2000,8,1,236.3421875,26.1875,25
ADV.2,ADVEST GROUP INC,0.0387730061,2000,9,1,275.8265625,30.5625,25
ADV.2,ADVEST GROUP INC,0.0216962525,2000,10,1,285.9796875,31.6875,25
ADV.2,ADVEST GROUP INC,0.0153667954,2000,11,1,292.184375,32.375,25
ADV.2,ADVEST GROUP INC,0.0838095238,2000,12,1,296.1328125,32.8125,25
ADV.2,ADVEST GROUP INC,-0.112267135,2001,1,1,320.9515625,35.5625,25
ADV.2,ADVEST GROUP INC,0,2001,2,1,281.85696,31.57,25
