ticker,conm,ret,year,month,EW,VW,PW,n
AFG,AMERICAN FINANCIAL GROUP INC,-0.180094787,2000,1,1,1540.484625,26.375,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.01754386,2000,2,1,1248.449625,21.375,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.3630952381,2000,3,1,1226.547,21,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.102620087,2000,4,1,1671.900375,28.625,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0982800983,2000,5,1,1485.7280625,25.4375,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.111856823,2000,6,1,1635.740625,27.9375,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0176322418,2000,7,1,1452.771875,24.8125,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.0075,2000,8,1,1463.75,25,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.065491184,2000,9,1,1452.771875,24.8125,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.064690027,2000,10,1,1357.628125,23.1875,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.110787172,2000,11,1,1255.165625,21.4375,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.393442623,2000,12,1,1116.109375,19.0625,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0183529412,2001,1,1,1753.23125,26.5625,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.104477612,2001,2,1,1768.9072,26.8,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0041666667,2001,3,1,1584.096,24,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.1136929461,2001,4,1,1590.6964,24.1,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.056412185,2001,5,1,1755.04636,26.59,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.067995728,2001,6,1,1905.6256,28.09,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.009,2001,7,1,2035.2,30,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.205563094,2001,8,1,1999.9232,29.48,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.052092229,2001,9,1,1592.98156,23.42,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0081081081,2001,10,1,1509.9996,22.2,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.1107094442,2001,11,1,1505.23834,22.13,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.001220504,2001,12,1,1678.96148,24.58,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.03401222,2002,1,1,1676.9123,24.55,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.115727003,2002,2,1,1611.33854,23.59,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0911854103,2002,3,1,1797.81392,26.32,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0381267409,2002,4,1,1961.74832,28.72,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.099360054,2002,5,1,1998.07762,29.69,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.106207928,2002,6,1,1837.09148,26.74,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.067991632,2002,7,1,1641.9778,23.9,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.1295711061,2002,8,1,1521.7493,22.15,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.079936051,2002,9,1,1724.02812,25.02,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0123805387,2002,10,1,1586.21612,23.02,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0245901639,2002,11,1,1597.24108,23.18,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.028631579,2002,12,1,1640.48375,23.75,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.065669701,2003,1,1,1593.51411,23.07,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.074661689,2003,2,1,1480.23439,21.43,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0010085729,2003,3,1,1369.71759,19.83,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.1236775819,2003,4,1,1371.09905,19.85,1192
AFG,AMERICAN FINANCIAL GROUP INC,-0.003155996,2003,5,1,1535.8541,22.18,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0312075984,2003,6,1,1538.45802,22.11,1192
AFG,AMERICAN FINANCIAL GROUP INC,0.0098684211,2003,7,1,1586.4696,22.8,1192
