ticker,conm,ret,year,month,EW,VW,PW,n
AGNC,AGNC INVESTMENT CORP,,2008,5,1,,,9953
AGNC,AGNC INVESTMENT CORP,-0.139598276,2008,6,1,295.6000005,19.7001,9953
AGNC,AGNC INVESTMENT CORP,-0.060096154,2008,7,1,249.6832,16.64,9953
AGNC,AGNC INVESTMENT CORP,0.2116368286,2008,8,1,234.6782,15.64,9953
AGNC,AGNC INVESTMENT CORP,-0.033245383,2008,9,1,284.34475,18.95,9953
AGNC,AGNC INVESTMENT CORP,0.0739030023,2008,10,1,259.8866,17.32,9953
AGNC,AGNC INVESTMENT CORP,0.0720430108,2008,11,1,279.093,18.6,9953
AGNC,AGNC INVESTMENT CORP,0.1313941825,2008,12,1,299.1997,19.94,9953
AGNC,AGNC INVESTMENT CORP,-0.064606742,2009,1,1,320.5068,21.36,9953
AGNC,AGNC INVESTMENT CORP,-0.194194194,2009,2,1,299.7999,19.98,9953
AGNC,AGNC INVESTMENT CORP,0.1155279503,2009,3,1,241.5805,16.1,9953
AGNC,AGNC INVESTMENT CORP,0.0958503799,2009,4,1,256.73555,17.11,9953
AGNC,AGNC INVESTMENT CORP,0.0128,2009,5,1,281.34375,18.75,9953
AGNC,AGNC INVESTMENT CORP,0.2885729331,2009,6,1,284.94495,18.99,9953
AGNC,AGNC INVESTMENT CORP,-0.008271659,2009,7,1,344.66485,22.97,9953
AGNC,AGNC INVESTMENT CORP,0.0926251097,2009,8,1,341.8139,22.78,9953
AGNC,AGNC INVESTMENT CORP,0.199276818,2009,9,1,466.91151,24.89,9953
AGNC,AGNC INVESTMENT CORP,-0.086115993,2009,10,1,533.69355,28.45,9953
AGNC,AGNC INVESTMENT CORP,0.0180769231,2009,11,1,632.372,26,9953
AGNC,AGNC INVESTMENT CORP,0.0555345674,2009,12,1,643.80334,26.47,9953
AGNC,AGNC INVESTMENT CORP,0.0056518463,2010,1,1,645.50588,26.54,9953
AGNC,AGNC INVESTMENT CORP,-0.051330086,2010,2,1,649.15418,26.69,9953
AGNC,AGNC INVESTMENT CORP,0.0663507109,2010,3,1,615.83304,25.32,9953
AGNC,AGNC INVESTMENT CORP,0.074609375,2010,4,1,622.6432,25.6,9953
AGNC,AGNC INVESTMENT CORP,-0.045438023,2010,5,1,736.1676,27.51,9953
AGNC,AGNC INVESTMENT CORP,0.0594059406,2010,6,1,860.2776,26.26,9953
AGNC,AGNC INVESTMENT CORP,0.0416351249,2010,7,1,865.5192,26.42,9953
AGNC,AGNC INVESTMENT CORP,-0.010174419,2010,8,1,926.3232,27.52,9953
AGNC,AGNC INVESTMENT CORP,0.0267988253,2010,9,1,916.8984,27.24,9953
AGNC,AGNC INVESTMENT CORP,0.0779074144,2010,10,1,1340.90819,26.57,9953
AGNC,AGNC INVESTMENT CORP,0.0233938547,2010,11,1,1445.37488,28.64,9953
AGNC,AGNC INVESTMENT CORP,0.0283179802,2010,12,1,1529.74752,29.31,9953
AGNC,AGNC INVESTMENT CORP,-0.001739736,2011,1,1,1849.33278,28.74,9953
AGNC,AGNC INVESTMENT CORP,0.0264900662,2011,2,1,2532.06464,28.69,9953
AGNC,AGNC INVESTMENT CORP,0.0370118846,2011,3,1,2702.5087,29.45,9953
AGNC,AGNC INVESTMENT CORP,-0.001029513,2011,4,1,3631.68906,29.14,9953
AGNC,AGNC INVESTMENT CORP,0.0432840948,2011,5,1,3750.21219,29.11,9953
AGNC,AGNC INVESTMENT CORP,0.0046098123,2011,6,1,3912.53673,30.37,9953
AGNC,AGNC INVESTMENT CORP,-0.040879423,2011,7,1,5007.76419,29.11,9953
AGNC,AGNC INVESTMENT CORP,0.0211318052,2011,8,1,4983.97128,27.92,9953
AGNC,AGNC INVESTMENT CORP,-0.000350754,2011,9,1,5089.37712,28.51,9953
AGNC,AGNC INVESTMENT CORP,0.0151291513,2011,10,1,4837.6752,27.1,9953
AGNC,AGNC INVESTMENT CORP,0.0428934933,2011,11,1,6069.2562,27.51,9953
AGNC,AGNC INVESTMENT CORP,0.0275357267,2011,12,1,6430.8635,28.69,9953
AGNC,AGNC INVESTMENT CORP,0.0445156695,2012,1,1,6294.132,28.08,9953
AGNC,AGNC INVESTMENT CORP,0.0470508012,2012,2,1,6574.3195,29.33,9953
AGNC,AGNC INVESTMENT CORP,0.0026050147,2012,3,1,6883.6465,30.71,9953
AGNC,AGNC INVESTMENT CORP,0.057379824,2012,4,1,8861.79322,29.54,9953
AGNC,AGNC INVESTMENT CORP,0.0459420522,2012,5,1,9370.281355,31.235,9953
AGNC,AGNC INVESTMENT CORP,0.0670339761,2012,6,1,9800.77131,32.67,9953
AGNC,AGNC INVESTMENT CORP,0.045522166,2012,7,1,10082.76473,33.61,9953
AGNC,AGNC INVESTMENT CORP,-0.008537279,2012,8,1,11835.11686,35.14,9953
AGNC,AGNC INVESTMENT CORP,0.028989667,2012,9,1,11901.30916,34.84,9953
AGNC,AGNC INVESTMENT CORP,-0.046242775,2012,10,1,11819.3254,34.6,9953
AGNC,AGNC INVESTMENT CORP,-0.043939394,2012,11,1,11272.8,33,9953
AGNC,AGNC INVESTMENT CORP,-0.04437401,2012,12,1,10777.44845,31.55,9953
AGNC,AGNC INVESTMENT CORP,0.0941176471,2013,1,1,9872.2111,28.9,9953
AGNC,AGNC INVESTMENT CORP,0.002688172,2013,2,1,10801.36038,31.62,9953
AGNC,AGNC INVESTMENT CORP,0.073332282,2013,3,1,10746.441455,31.705,9953
AGNC,AGNC INVESTMENT CORP,0.0161683954,2013,4,1,12995.66378,32.78,9953
AGNC,AGNC INVESTMENT CORP,-0.22545782,2013,5,1,13205.78281,33.31,9953
AGNC,AGNC INVESTMENT CORP,-0.06744186,2013,6,1,10228.4358,25.8,9953
AGNC,AGNC INVESTMENT CORP,-0.020643199,2013,7,1,9122.33751,23.01,9953
AGNC,AGNC INVESTMENT CORP,0.0099844686,2013,8,1,8928.367,22.535,9953
AGNC,AGNC INVESTMENT CORP,0.0272407733,2013,9,1,9017.03404,22.76,9953
AGNC,AGNC INVESTMENT CORP,-0.038485385,2013,10,1,8945.72182,22.58,9953
AGNC,AGNC INVESTMENT CORP,-0.061305329,2013,11,1,8343.5373,21.711,9953
AGNC,AGNC INVESTMENT CORP,-0.021589794,2013,12,1,7832.29894,20.38,9953
AGNC,AGNC INVESTMENT CORP,0.0860549508,2014,1,1,7413.39777,19.29,9953
AGNC,AGNC INVESTMENT CORP,0.0639618138,2014,2,1,8051.35735,20.95,9953
AGNC,AGNC INVESTMENT CORP,-0.006729475,2014,3,1,7938.62808,22.29,9953
AGNC,AGNC INVESTMENT CORP,0.056770591,2014,4,1,7612.44568,21.49,9953
AGNC,AGNC INVESTMENT CORP,0.0449141347,2014,5,1,8012.088,22.71,9953
AGNC,AGNC INVESTMENT CORP,0.0139064475,2014,6,1,8371.68297,23.73,9953
AGNC,AGNC INVESTMENT CORP,-0.012387868,2014,7,1,8258.79049,23.41,9953
AGNC,AGNC INVESTMENT CORP,0.0229238754,2014,8,1,8156.736,23.12,9953
AGNC,AGNC INVESTMENT CORP,-0.073995772,2014,9,1,8343.45985,23.65,9953
AGNC,AGNC INVESTMENT CORP,0.0804705882,2014,10,1,7496.76625,21.25,9953
AGNC,AGNC INVESTMENT CORP,0.0244063325,2014,11,1,8022.672,22.74,9953
AGNC,AGNC INVESTMENT CORP,-0.044420368,2014,12,1,8140.606175,23.075,9953
AGNC,AGNC INVESTMENT CORP,-0.002748511,2015,1,1,7701.38387,21.83,9953
AGNC,AGNC INVESTMENT CORP,0.0048723898,2015,2,1,7602.60295,21.55,9953
AGNC,AGNC INVESTMENT CORP,0.0053650571,2015,3,1,7562.032215,21.435,9953
AGNC,AGNC INVESTMENT CORP,-0.022269105,2015,4,1,7524.98937,21.33,9953
AGNC,AGNC INVESTMENT CORP,0.0205960746,2015,5,1,7280.028,20.635,9953
AGNC,AGNC INVESTMENT CORP,-0.109779482,2015,6,1,7359.17854,20.86,9953
AGNC,AGNC INVESTMENT CORP,0.0593358737,2015,7,1,6480.73393,18.37,9953
AGNC,AGNC INVESTMENT CORP,0.0036344756,2015,8,1,6717.888,19.26,9953
AGNC,AGNC INVESTMENT CORP,-0.012023001,2015,9,1,6672.58226,19.13,9953
AGNC,AGNC INVESTMENT CORP,-0.035828877,2015,10,1,6522.5974,18.7,9953
AGNC,AGNC INVESTMENT CORP,0.0179472799,2015,11,1,6178.095,17.83,9953
AGNC,AGNC INVESTMENT CORP,-0.022841226,2015,12,1,6218.7775,17.95,9953
AGNC,AGNC INVESTMENT CORP,-0.004036909,2016,1,1,6007.443,17.34,9953
AGNC,AGNC INVESTMENT CORP,0.0702987698,2016,2,1,5913.9015,17.07,9953
AGNC,AGNC INVESTMENT CORP,0.0420586608,2016,3,1,6098.01062,18.07,9953
AGNC,AGNC INVESTMENT CORP,-0.003220612,2016,4,1,6193.59939,18.63,9953
AGNC,AGNC INVESTMENT CORP,0.0391943386,2016,5,1,6080.47,18.37,9953
AGNC,AGNC INVESTMENT CORP,0.0598200106,2016,6,1,6252.59,18.89,9953
AGNC,AGNC INVESTMENT CORP,-0.001513623,2016,7,1,6560.42,19.82,9953
