ticker,conm,ret,year,month,EW,VW,PW,n
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.109756098,2000,1,1,562.725,30.75,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.164383562,2000,2,1,500.9625,27.375,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0765027322,2000,3,1,418.6125,22.875,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.002538071,2000,4,1,450.6375,24.625,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0,2000,5,1,449.6165625,24.5625,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.157760814,2000,6,1,449.6165625,24.5625,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.045317221,2000,7,1,378.6846875,20.6875,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.142405063,2000,8,1,362.62975,19.75,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1328413284,2000,9,1,310.9894375,16.9375,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0456026059,2000,10,1,352.3016875,19.1875,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1370716511,2000,11,1,368.3675625,20.0625,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1753424658,2000,12,1,418.8603125,22.8125,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.2400932401,2001,1,1,492.3043125,26.8125,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0183458647,2001,2,1,578.55,33.25,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.054932073,2001,3,1,589.164,33.86,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1125,2001,4,1,556.8,32,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1193820225,2001,5,1,619.44,35.6,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1643663739,2001,6,1,697.2156,39.85,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0183189655,2001,7,1,811.8144,46.4,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.028571429,2001,8,1,826.686,47.25,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.057734205,2001,9,1,805.4532,45.9,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.058265896,2001,10,1,758.951,43.25,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.089123496,2001,11,1,714.73004,40.73,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.132884097,2001,12,1,651.0308,37.1,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.024506305,2002,1,1,747.12528,42.03,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0982926829,2002,2,1,728.816,41,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0082167444,2002,3,1,801.03867,45.03,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0955947137,2002,4,1,807.6206,45.4,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.013872135,2002,5,1,884.82486,49.74,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0395514781,2002,6,1,880.88895,49.05,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.189252795,2002,7,1,915.72941,50.99,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.103047896,2002,8,1,742.42506,41.34,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.037486516,2002,9,1,665.7714,37.08,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.034743626,2002,10,1,640.81395,35.69,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.053701016,2002,11,1,618.54975,34.45,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.008815427,2002,12,1,651.7665,36.3,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0922734853,2003,1,1,636.88198,35.98,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0562340967,2003,2,1,695.6493,39.3,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0419176102,2003,3,1,733.27415,41.51,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0196531792,2003,4,1,764.01125,43.25,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.006349206,2003,5,1,779.0265,44.1,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.049520767,2003,6,1,780.6533,43.82,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.037454982,2003,7,1,741.99475,41.65,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0406585183,2003,8,1,714.20335,40.09,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.072627037,2003,9,1,746.95488,41.72,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.011630912,2003,10,1,692.70576,38.69,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.006276151,2003,11,1,684.64896,38.24,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1026315789,2003,12,1,680.352,38,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.07398568,2004,1,1,756.3788,41.9,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0489690722,2004,2,1,700.4176,38.8,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.014312039,2004,3,1,732.2744,40.7,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.224643125,2004,4,1,718.42056,39.93,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.054909561,2004,5,1,557.03232,30.96,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.041695147,2004,6,1,528.05522,29.26,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.028953412,2004,7,1,550.07256,30.48,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.080244815,2004,8,1,530.76227,29.41,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.033271719,2004,9,1,488.33365,27.05,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.223709369,2004,10,1,472.08595,26.15,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.041995074,2004,11,1,366.4759,20.3,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.207165109,2004,12,1,347.70078,19.26,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1655913978,2005,1,1,421.17375,23.25,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0032287823,2005,2,1,490.9165,27.1,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0148148148,2005,3,1,489.105,27,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.13649635,2005,4,1,496.351,27.4,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.01954776,2005,5,1,428.6009,23.66,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.086484137,2005,6,1,424.16634,23.01,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0014272122,2005,7,1,387.48268,21.02,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.476009501,2005,8,1,388.0357,21.05,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.033544878,2005,9,1,203.32702,11.03,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.394934334,2005,10,1,196.50644,10.66,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.040310078,2005,11,1,118.8993,6.45,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.098546042,2005,12,1,114.10646,6.19,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.463235294,2006,1,1,125.3512,6.8,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1917808219,2006,2,1,67.2841,3.65,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.4390804598,2006,3,1,80.1879,4.35,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.3274760383,2006,4,1,115.39684,6.26,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.117930205,2006,5,1,153.18654,8.31,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1678035471,2006,6,1,135.12122,7.33,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.029205607,2006,7,1,157.79504,8.56,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.02166065,2006,8,1,153.18654,8.31,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.043050431,2006,9,1,149.86842,8.13,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,-0.037275064,2006,10,1,143.3854,7.78,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.1255006676,2006,11,1,138.0407,7.49,7093
AIPC,AMER ITALIAN PASTA CO  -CL A,0.0557532622,2006,12,1,155.3649,8.43,7093
