ticker,conm,ret,year,month,EW,VW,PW,n
AIT,APPLIED INDUSTRIAL TECH INC,-0.041353383,2000,1,1,349.008625,16.625,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1447843137,2000,2,1,334.5759375,15.9375,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.117241379,2000,3,1,380.498125,18.125,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0859375,2000,4,1,335.888,16,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0105035971,2000,5,1,364.753375,17.375,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.0609319,2000,6,1,366.0654375,17.4375,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.015267176,2000,7,1,343.760375,16.375,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0578294574,2000,8,1,338.512125,16.125,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0221402214,2000,9,1,355.5689375,16.9375,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.02166065,2000,10,1,363.4413125,17.3125,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0550553506,2000,11,1,355.5689375,16.9375,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1584507042,2000,12,1,352.87,17.75,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.144072948,2001,1,1,408.7825,20.5625,177
AIT,APPLIED INDUSTRIAL TECH INC,0.04375,2001,2,1,349.888,17.6,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.101369863,2001,3,1,362.81,18.25,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1530487805,2001,4,1,326.032,16.4,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.03648863,2001,5,1,375.9308,18.91,177
AIT,APPLIED INDUSTRIAL TECH INC,0.046961326,2001,6,1,354.6695,18.1,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.094986807,2001,7,1,371.32525,18.95,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0518950437,2001,8,1,336.05425,17.15,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.057477679,2001,9,1,351.1424,17.92,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.020130255,2001,10,1,331.75338,16.89,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1135951662,2001,11,1,325.0751,16.55,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0185690879,2001,12,1,351.7351,18.31,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.002680965,2002,1,1,358.2665,18.65,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0268817204,2002,2,1,357.306,18.6,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0142255005,2002,3,1,364.52988,18.98,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0337662338,2002,4,1,369.7155,19.25,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.001507538,2002,5,1,382.1994,19.9,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.012658228,2002,6,1,378.94325,19.75,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.187179487,2002,7,1,374.1465,19.5,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0075709779,2002,8,1,304.11395,15.85,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0694006309,2002,9,1,304.11395,15.85,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0265486726,2002,10,1,324.9654,16.95,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0413793103,2002,11,1,333.5928,17.4,177
AIT,APPLIED INDUSTRIAL TECH INC,0.05,2002,12,1,343.818,18,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.122222222,2003,1,1,361.0089,18.9,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.004857316,2003,2,1,314.59347,16.47,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0195241001,2003,3,1,311.18054,16.39,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1065230401,2003,4,1,317.25606,16.71,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0421849648,2003,5,1,351.05114,18.49,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1018276762,2003,6,1,363.10315,19.15,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0592417062,2003,7,1,400.0771,21.1,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0187919463,2003,8,1,423.77835,22.35,177
AIT,APPLIED INDUSTRIAL TECH INC,-0.122737307,2003,9,1,429.46665,22.65,177
AIT,APPLIED INDUSTRIAL TECH INC,0.1348766985,2003,10,1,380.27206,19.87,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0563192905,2003,11,1,431.5619,22.55,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0067510549,2003,12,1,456.5568,23.7,177
AIT,APPLIED INDUSTRIAL TECH INC,0.0347862531,2004,1,1,459.63904,23.86,177
