ticker,conm,ret,year,month,EW,VW,PW,n
AKBA,AKEBIA THERAPEUTICS INC,,2014,3,1,,,2925
AKBA,AKEBIA THERAPEUTICS INC,0.2459100204,2014,4,1,376.88208,19.56,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.002872384,2014,5,1,469.56116,24.37,2925
AKBA,AKEBIA THERAPEUTICS INC,0.1436213992,2014,6,1,492.3666,24.3,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.203310543,2014,7,1,563.08098,27.79,2925
AKBA,AKEBIA THERAPEUTICS INC,0.0167118338,2014,8,1,448.60068,22.14,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.016881386,2014,9,1,456.12013,22.51,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.414369634,2014,10,1,448.42019,22.13,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.067901235,2014,11,1,262.60848,12.96,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.036423841,2014,12,1,245.71928,12.08,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.117697595,2015,1,1,236.76924,11.64,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.098344693,2015,2,1,208.90207,10.27,2925
AKBA,AKEBIA THERAPEUTICS INC,0.1997840173,2015,3,1,188.35766,9.26,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.309630963,2015,4,1,226.32181,11.11,2925
AKBA,AKEBIA THERAPEUTICS INC,0.0247718383,2015,5,1,212.81182,7.67,2925
AKBA,AKEBIA THERAPEUTICS INC,0.3091603053,2015,6,1,226.65882,7.86,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.08649174,2015,7,1,296.73273,10.29,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.259574468,2015,8,1,271.0678,9.4,2925
AKBA,AKEBIA THERAPEUTICS INC,0.3879310345,2015,9,1,201.02568,6.96,2925
AKBA,AKEBIA THERAPEUTICS INC,-0.076604555,2015,10,1,279.00978,9.66,2925
