ticker,conm,ret,year,month,EW,VW,PW,n
ALLB,ALLIANCE BANCORP OF PA,-0.022058824,2000,1,1,27.829,8.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.071879699,2000,2,1,27.215125,8.3125,4952
ALLB,ALLIANCE BANCORP OF PA,0.0819672131,2000,3,1,24.96425,7.625,4952
ALLB,ALLIANCE BANCORP OF PA,-0.121212121,2000,4,1,27.0105,8.25,4952
ALLB,ALLIANCE BANCORP OF PA,0.0727586207,2000,5,1,23.7365,7.25,4952
ALLB,ALLIANCE BANCORP OF PA,-0.040650407,2000,6,1,25.168875,7.6875,4952
ALLB,ALLIANCE BANCORP OF PA,0.0508474576,2000,7,1,24.14575,7.375,4952
ALLB,ALLIANCE BANCORP OF PA,0.245483871,2000,8,1,25.3735,7.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.006535948,2000,9,1,31.307625,9.5625,4952
ALLB,ALLIANCE BANCORP OF PA,0.0489473684,2000,10,1,31.103,9.5,4952
ALLB,ALLIANCE BANCORP OF PA,0,2000,11,1,32.33075,9.875,4952
ALLB,ALLIANCE BANCORP OF PA,0.0379746835,2000,12,1,32.33075,9.875,4952
ALLB,ALLIANCE BANCORP OF PA,0.0487804878,2001,1,1,33.5585,10.25,4952
ALLB,ALLIANCE BANCORP OF PA,0.031627907,2001,2,1,35.1955,10.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.005681818,2001,3,1,36.014,11,4952
ALLB,ALLIANCE BANCORP OF PA,0.0368,2001,4,1,35.809375,10.9375,4952
ALLB,ALLIANCE BANCORP OF PA,0.5361111111,2001,5,1,37.1304,10.8,4952
ALLB,ALLIANCE BANCORP OF PA,-0.006060606,2001,6,1,56.727,16.5,4952
ALLB,ALLIANCE BANCORP OF PA,0.106097561,2001,7,1,74.948,16.4,4952
ALLB,ALLIANCE BANCORP OF PA,0.3296398892,2001,8,1,82.4885,18.05,4952
ALLB,ALLIANCE BANCORP OF PA,0.0416666667,2001,9,1,109.68,24,4952
ALLB,ALLIANCE BANCORP OF PA,0.0708,2001,10,1,114.25,25,4952
ALLB,ALLIANCE BANCORP OF PA,0.0850824588,2001,11,1,121.9276,26.68,4952
ALLB,ALLIANCE BANCORP OF PA,-0.055267703,2001,12,1,132.3015,28.95,4952
ALLB,ALLIANCE BANCORP OF PA,0.0694698355,2002,1,1,124.9895,27.35,4952
ALLB,ALLIANCE BANCORP OF PA,0.0882051282,2002,2,1,133.6725,29.25,4952
ALLB,ALLIANCE BANCORP OF PA,-0.149338374,2002,3,1,145.0518,31.74,4952
ALLB,ALLIANCE BANCORP OF PA,0.0296296296,2002,4,1,123.39,27,4952
ALLB,ALLIANCE BANCORP OF PA,-0.025539568,2002,5,1,127.046,27.8,4952
ALLB,ALLIANCE BANCORP OF PA,-0.014111111,2002,6,1,123.39,27,4952
ALLB,ALLIANCE BANCORP OF PA,-0.115293587,2002,7,1,121.64883,26.619,4952
ALLB,ALLIANCE BANCORP OF PA,-0.009341826,2002,8,1,107.6235,23.55,4952
ALLB,ALLIANCE BANCORP OF PA,-0.005163511,2002,9,1,106.2068,23.24,4952
ALLB,ALLIANCE BANCORP OF PA,0.0497404844,2002,10,1,105.6584,23.12,4952
ALLB,ALLIANCE BANCORP OF PA,-0.007444169,2002,11,1,110.5026,24.18,4952
ALLB,ALLIANCE BANCORP OF PA,-0.0225,2002,12,1,109.68,24,4952
ALLB,ALLIANCE BANCORP OF PA,-0.013213981,2003,1,1,107.2122,23.46,4952
ALLB,ALLIANCE BANCORP OF PA,0.2133909287,2003,2,1,105.7955,23.15,4952
ALLB,ALLIANCE BANCORP OF PA,0.1685714286,2003,3,1,127.96,28,4952
ALLB,ALLIANCE BANCORP OF PA,-0.028728606,2003,4,1,149.5304,32.72,4952
ALLB,ALLIANCE BANCORP OF PA,-0.039647577,2003,5,1,145.2346,31.78,4952
ALLB,ALLIANCE BANCORP OF PA,-0.252382517,2003,6,1,139.0651,30.43,4952
ALLB,ALLIANCE BANCORP OF PA,0.0879120879,2003,7,1,103.9675,22.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.050060606,2003,8,1,113.1075,24.75,4952
ALLB,ALLIANCE BANCORP OF PA,0.0208786986,2003,9,1,107.03397,23.421,4952
ALLB,ALLIANCE BANCORP OF PA,0.1810957758,2003,10,1,109.2687,23.91,4952
ALLB,ALLIANCE BANCORP OF PA,0.065509915,2003,11,1,129.0568,28.24,4952
ALLB,ALLIANCE BANCORP OF PA,-0.066666667,2003,12,1,137.1,30,4952
ALLB,ALLIANCE BANCORP OF PA,0.375,2004,1,1,127.96,28,4952
ALLB,ALLIANCE BANCORP OF PA,-0.010649351,2004,2,1,175.945,38.5,4952
ALLB,ALLIANCE BANCORP OF PA,0.0394736842,2004,3,1,173.66,38,4952
ALLB,ALLIANCE BANCORP OF PA,-0.194936709,2004,4,1,180.515,39.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.025471698,2004,5,1,145.326,31.8,4952
ALLB,ALLIANCE BANCORP OF PA,-0.080291262,2004,6,1,141.213,30.9,4952
ALLB,ALLIANCE BANCORP OF PA,-0.014743657,2004,7,1,129.87483,28.419,4952
ALLB,ALLIANCE BANCORP OF PA,0.0389285714,2004,8,1,127.96,28,4952
ALLB,ALLIANCE BANCORP OF PA,0.0775862069,2004,9,1,132.53,29,4952
ALLB,ALLIANCE BANCORP OF PA,-0.016,2004,10,1,142.8125,31.25,4952
ALLB,ALLIANCE BANCORP OF PA,-0.005203252,2004,11,1,140.5275,30.75,4952
ALLB,ALLIANCE BANCORP OF PA,0.2964262295,2004,12,1,139.385,30.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.190713437,2005,1,1,180.70237,39.541,4952
ALLB,ALLIANCE BANCORP OF PA,0.018125,2005,2,1,146.24,32,4952
ALLB,ALLIANCE BANCORP OF PA,-0.106494306,2005,3,1,148.4793,32.49,4952
ALLB,ALLIANCE BANCORP OF PA,-0.189803651,2005,4,1,132.6671,29.03,4952
ALLB,ALLIANCE BANCORP OF PA,-0.058673469,2005,5,1,107.4864,23.52,4952
ALLB,ALLIANCE BANCORP OF PA,0.0317460317,2005,6,1,100.7685,22.05,4952
ALLB,ALLIANCE BANCORP OF PA,0.0676923077,2005,7,1,103.9675,22.75,4952
ALLB,ALLIANCE BANCORP OF PA,0.1152737752,2005,8,1,111.0053,24.29,4952
ALLB,ALLIANCE BANCORP OF PA,0,2005,9,1,123.39,27,4952
ALLB,ALLIANCE BANCORP OF PA,-0.046296296,2005,10,1,123.39,27,4952
ALLB,ALLIANCE BANCORP OF PA,0.0481553398,2005,11,1,117.6775,25.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.018959108,2005,12,1,122.933,26.9,4952
ALLB,ALLIANCE BANCORP OF PA,-0.049261084,2006,1,1,120.6023,26.39,4952
ALLB,ALLIANCE BANCORP OF PA,-0.01,2006,2,1,114.25,25,4952
ALLB,ALLIANCE BANCORP OF PA,0.0092929293,2006,3,1,85.16475,24.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.039231385,2006,4,1,85.95618,24.98,4952
ALLB,ALLIANCE BANCORP OF PA,0.00375,2006,5,1,82.584,24,4952
ALLB,ALLIANCE BANCORP OF PA,0.0625,2006,6,1,82.584,24,4952
ALLB,ALLIANCE BANCORP OF PA,-0.058039216,2006,7,1,87.7455,25.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.096586178,2006,8,1,82.65282,24.02,4952
ALLB,ALLIANCE BANCORP OF PA,0.154558075,2006,9,1,74.36001,21.61,4952
ALLB,ALLIANCE BANCORP OF PA,-0.063002004,2006,10,1,85.85295,24.95,4952
ALLB,ALLIANCE BANCORP OF PA,0.004786531,2006,11,1,80.4440421,23.3781,4952
ALLB,ALLIANCE BANCORP OF PA,-0.034188034,2006,12,1,80.5194,23.4,4952
ALLB,ALLIANCE BANCORP OF PA,-0.122132633,2007,1,1,77.7666,22.6,4952
ALLB,ALLIANCE BANCORP OF PA,-0.015873016,2007,2,1,68.2668,9.45,4952
ALLB,ALLIANCE BANCORP OF PA,-0.006479482,2007,3,1,66.9035,9.26,4952
ALLB,ALLIANCE BANCORP OF PA,0.0010869565,2007,4,1,66.47,9.2,4952
ALLB,ALLIANCE BANCORP OF PA,0.0510314875,2007,5,1,66.54225,9.21,4952
ALLB,ALLIANCE BANCORP OF PA,-0.023883697,2007,6,1,69.57675,9.63,4952
ALLB,ALLIANCE BANCORP OF PA,-0.042553191,2007,7,1,67.915,9.4,4952
ALLB,ALLIANCE BANCORP OF PA,-0.023333333,2007,8,1,65.025,9,4952
ALLB,ALLIANCE BANCORP OF PA,0.0469107551,2007,9,1,63.1465,8.74,4952
ALLB,ALLIANCE BANCORP OF PA,-0.038251366,2007,10,1,66.10875,9.15,4952
ALLB,ALLIANCE BANCORP OF PA,-0.085714286,2007,11,1,63.21875,8.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.08625,2007,12,1,57.8,8,4952
ALLB,ALLIANCE BANCORP OF PA,0.244870041,2008,1,1,52.81475,7.31,4952
ALLB,ALLIANCE BANCORP OF PA,-0.015384615,2008,2,1,65.7475,9.1,4952
ALLB,ALLIANCE BANCORP OF PA,0.0112359551,2008,3,1,64.3025,8.9,4952
ALLB,ALLIANCE BANCORP OF PA,0.0433333333,2008,4,1,63.801,9,4952
ALLB,ALLIANCE BANCORP OF PA,0.0181043663,2008,5,1,66.56571,9.39,4952
ALLB,ALLIANCE BANCORP OF PA,-0.053684211,2008,6,1,66.9085,9.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.073414905,2008,7,1,63.31657,8.99,4952
ALLB,ALLIANCE BANCORP OF PA,0.0278113664,2008,8,1,58.24561,8.27,4952
ALLB,ALLIANCE BANCORP OF PA,0,2008,9,1,59.653,8.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.056470588,2008,10,1,59.653,8.5,4952
ALLB,ALLIANCE BANCORP OF PA,0.0049875312,2008,11,1,56.28436,8.02,4952
ALLB,ALLIANCE BANCORP OF PA,-0.0625,2008,12,1,55.864,8,4952
ALLB,ALLIANCE BANCORP OF PA,0.0613333333,2009,1,1,52.3725,7.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.047738693,2009,2,1,55.58468,7.96,4952
ALLB,ALLIANCE BANCORP OF PA,0.0364238411,2009,3,1,52.72165,7.55,4952
ALLB,ALLIANCE BANCORP OF PA,0.0646134185,2009,4,1,54.13335,7.825,4952
ALLB,ALLIANCE BANCORP OF PA,0.0155330949,2009,5,1,57.6310908,8.3306,4952
ALLB,ALLIANCE BANCORP OF PA,0.0123368921,2009,6,1,58.167,8.43,4952
ALLB,ALLIANCE BANCORP OF PA,-0.003984064,2009,7,1,58.8846,8.534,4952
ALLB,ALLIANCE BANCORP OF PA,0.0035294118,2009,8,1,58.65,8.5,4952
ALLB,ALLIANCE BANCORP OF PA,0,2009,9,1,58.1995,8.5,4952
ALLB,ALLIANCE BANCORP OF PA,0.0247058824,2009,10,1,58.1995,8.5,4952
ALLB,ALLIANCE BANCORP OF PA,-0.032146958,2009,11,1,59.63737,8.71,4952
ALLB,ALLIANCE BANCORP OF PA,0,2009,12,1,56.9688,8.4,4952
ALLB,ALLIANCE BANCORP OF PA,-0.011904762,2010,1,1,56.9688,8.4,4952
ALLB,ALLIANCE BANCORP OF PA,0.0214457831,2010,2,1,56.2906,8.3,4952
ALLB,ALLIANCE BANCORP OF PA,0.0120738636,2010,3,1,57.294336,8.448,4952
ALLB,ALLIANCE BANCORP OF PA,-0.029239766,2010,4,1,57.3705,8.55,4952
ALLB,ALLIANCE BANCORP OF PA,0.0036144578,2010,5,1,55.693,8.3,4952
ALLB,ALLIANCE BANCORP OF PA,0,2010,6,1,55.61,8.3,4952
ALLB,ALLIANCE BANCORP OF PA,0,2010,7,1,55.61,8.3,4952
ALLB,ALLIANCE BANCORP OF PA,-0.062650602,2010,8,1,55.61,8.3,4952
ALLB,ALLIANCE BANCORP OF PA,-0.059354839,2010,9,1,51.894,7.75,4952
ALLB,ALLIANCE BANCORP OF PA,0.0082304527,2010,10,1,48.81384,7.29,4952
ALLB,ALLIANCE BANCORP OF PA,-0.00952381,2010,11,1,49.2156,7.35,4952
ALLB,ALLIANCE BANCORP OF PA,0.2620689655,2010,12,1,48.401,7.25,4952
ALLB,ALLIANCE BANCORP OF PA,-0.036612022,2011,1,1,61.0854,9.15,4952
ALLB,ALLIANCE BANCORP OF PA,0.0279069767,2011,2,1,58.8455,10.75,4952
ALLB,ALLIANCE BANCORP OF PA,-0.029038113,2011,3,1,60.32348,11.02,4952
ALLB,ALLIANCE BANCORP OF PA,0.0420560748,2011,4,1,58.5718,10.7,4952
ALLB,ALLIANCE BANCORP OF PA,-0.009865471,2011,5,1,61.0351,11.15,4952
ALLB,ALLIANCE BANCORP OF PA,0.0136363636,2011,6,1,60.214,11,4952
ALLB,ALLIANCE BANCORP OF PA,-0.004484305,2011,7,1,61.0351,11.15,4952
ALLB,ALLIANCE BANCORP OF PA,-0.03963964,2011,8,1,60.7614,11.1,4952
ALLB,ALLIANCE BANCORP OF PA,-0.019792648,2011,9,1,58.07914,10.61,4952
ALLB,ALLIANCE BANCORP OF PA,-0.065384615,2011,10,1,56.9296,10.4,4952
ALLB,ALLIANCE BANCORP OF PA,0.0102880658,2011,11,1,53.20728,9.72,4952
ALLB,ALLIANCE BANCORP OF PA,0.1023541453,2011,12,1,53.48098,9.77,4952
ALLB,ALLIANCE BANCORP OF PA,0.0399257196,2012,1,1,58.95498,10.77,4952
ALLB,ALLIANCE BANCORP OF PA,0.0178571429,2012,2,1,61.3088,11.2,4952
ALLB,ALLIANCE BANCORP OF PA,0.0158678414,2012,3,1,62.1299,11.35,4952
ALLB,ALLIANCE BANCORP OF PA,-0.002610558,2012,4,1,63.1157674,11.5301,4952
ALLB,ALLIANCE BANCORP OF PA,0.0391304348,2012,5,1,62.951,11.5,4952
ALLB,ALLIANCE BANCORP OF PA,0.025210084,2012,6,1,65.1406,11.9,4952
ALLB,ALLIANCE BANCORP OF PA,-0.006557377,2012,7,1,66.7828,12.2,4952
ALLB,ALLIANCE BANCORP OF PA,0.0330033003,2012,8,1,66.34488,12.12,4952
ALLB,ALLIANCE BANCORP OF PA,-0.005613472,2012,9,1,68.17349,12.47,4952
