ticker,conm,ret,year,month,EW,VW,PW,n
ALQA,ALLIQUA BIOMEDICAL INC,,2010,5,1,,,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.21875,2010,6,1,16.23904,0.16,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.04,2010,7,1,12.68675,0.125,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.153846154,2010,8,1,13.19422,0.13,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.1818181818,2010,9,1,21.96634,0.11,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.230769231,2010,10,1,25.96022,0.13,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.4,2010,11,1,19.9694,0.1,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.1714285714,2010,12,1,27.95716,0.14,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.2195121951,2011,1,1,32.749816,0.164,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.25,2011,2,1,39.9388,0.2,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.28,2011,3,1,49.9235,0.25,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.5555555556,2011,4,1,35.94492,0.18,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.539285714,2011,5,1,57.84016,0.28,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.286821705,2011,6,1,26.970546,0.129,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.043478261,2011,7,1,19.234808,0.092,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.147727273,2011,8,1,18.398512,0.088,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.08,2011,9,1,15.68055,0.075,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.014492754,2011,10,1,14.426106,0.069,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.3235294118,2011,11,1,14.217032,0.068,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.333333333,2011,12,1,18.81666,0.09,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0166666667,2012,1,1,12.54444,0.06,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.131147541,2012,2,1,12.753514,0.061,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.173913043,2012,3,1,14.426106,0.069,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.087719298,2012,4,1,13.228218,0.057,10214
ALQA,ALLIQUA BIOMEDICAL INC,0,2012,5,1,12.067848,0.052,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.019230769,2012,6,1,12.067848,0.052,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.17254902,2012,7,1,11.835774,0.051,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.146919431,2012,8,1,9.7935228,0.0422,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0833333333,2012,9,1,8.442072,0.036,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.2820512821,2012,10,1,9.145578,0.039,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.2,2012,11,1,11.7251,0.05,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.15,2012,12,1,15.54612,0.06,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.3725490196,2013,1,1,13.214202,0.051,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.3285714286,2013,2,1,18.13714,0.07,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.064516129,2013,3,1,24.096486,0.093,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.103448276,2013,4,1,22.541874,0.087,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.217948718,2013,5,1,20.5842,0.078,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0819672131,2013,6,1,16.709425,0.061,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.3621212121,2013,7,1,18.07905,0.066,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.243604004,2013,8,1,24.6258575,0.0899,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0588235294,2013,9,1,21.088908,0.068,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.1736111111,2013,10,1,22.329432,0.072,10214
ALQA,ALLIQUA BIOMEDICAL INC,1.2478299646,2013,11,1,26.2060695,0.0845,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.12755716,2013,12,1,59.06748,8.31,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.2579310345,2014,1,1,51.533,7.25,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.018092105,2014,2,1,64.82496,9.12,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.058626466,2014,3,1,63.65214,8.955,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.154211151,2014,4,1,105.39186,8.43,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.054698457,2014,5,1,111.25652,7.13,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.183976261,2014,6,1,106.07412,6.74,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.001818182,2014,7,1,86.559,5.5,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.016393443,2014,8,1,86.40162,5.49,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.101851852,2014,9,1,87.4314,5.4,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.041237113,2014,10,1,78.52635,4.85,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0537634409,2014,11,1,75.28815,4.65,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0816326531,2014,12,1,79.2477,4.9,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.060377358,2015,1,1,85.7169,5.3,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.1204819277,2015,2,1,80.54154,4.98,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.068100358,2015,3,1,93.8835,5.58,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.063461538,2015,4,1,87.4692,5.2,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0164271047,2015,5,1,81.88905,4.87,10214
ALQA,ALLIQUA BIOMEDICAL INC,0.0646464646,2015,6,1,120.76515,4.95,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.055028463,2015,7,1,128.57219,5.27,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.096385542,2015,8,1,121.49706,4.98,10214
ALQA,ALLIQUA BIOMEDICAL INC,-0.295555556,2015,9,1,124.5105,4.5,10214
