ticker,conm,ret,year,month,EW,VW,PW,n
AMPB,AMERICAN PACIFIC BANK  -CL B,0.2708333333,2000,1,1,3.402,3,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.081967213,2000,2,1,4.323375,3.8125,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.071428571,2000,3,1,3.969,3.5,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.096153846,2000,4,1,3.6855,3.25,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1914893617,2000,5,1,3.331125,2.9375,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0535714286,2000,6,1,3.969,3.5,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.118644068,2000,7,1,4.181625,3.6875,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0576923077,2000,8,1,3.6855,3.25,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0545454545,2000,9,1,3.898125,3.4375,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.051724138,2000,10,1,4.11075,3.625,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.109090909,2000,11,1,3.898125,3.4375,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.057142857,2000,12,1,3.472875,3.0625,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1428571429,2001,1,1,3.273375,2.625,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0833333333,2001,2,1,3.741,3,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.076923077,2001,3,1,4.05275,3.25,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.026666667,2001,4,1,3.741,3,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0205479452,2001,5,1,3.64124,2.92,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1711409396,2001,6,1,3.71606,2.98,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.040114613,2001,7,1,4.6417,3.49,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.059701493,2001,8,1,4.4555,3.35,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.015873016,2001,9,1,4.1895,3.15,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.080645161,2001,10,1,4.123,3.1,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0175438596,2001,11,1,3.7905,2.85,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0827586207,2001,12,1,3.857,2.9,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1624203822,2002,1,1,4.1762,3.14,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.071232877,2002,2,1,4.8545,3.65,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1766961652,2002,3,1,4.5087,3.39,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.2534469792,2002,4,1,5.30537,3.989,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.08,2002,5,1,6.65,5,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1739130435,2002,6,1,6.118,4.6,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.112962963,2002,7,1,7.182,5.4,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0459290188,2002,8,1,6.3707,4.79,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.003992016,2002,9,1,6.6633,5.01,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0941883768,2002,10,1,6.6367,4.99,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.091575092,2002,11,1,7.2618,5.46,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0201612903,2002,12,1,6.5968,4.96,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1383399209,2003,1,1,6.7298,5.06,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0416666667,2003,2,1,7.6608,5.76,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.04,2003,3,1,7.98,6,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0416666667,2003,4,1,7.6608,5.76,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.0866666667,2003,5,1,7.98,6,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,0.1426380368,2003,6,1,8.6716,6.52,3151
AMPB,AMERICAN PACIFIC BANK  -CL B,-0.060402685,2003,7,1,9.9085,7.45,3151
