ticker,conm,ret,year,month,EW,VW,PW,n
AMPE,AMPIO PHARMACEUTICALS INC,,2010,3,1,,,10130
AMPE,AMPIO PHARMACEUTICALS INC,0,2010,4,1,59.717,3.5,10130
AMPE,AMPIO PHARMACEUTICALS INC,0,2010,5,1,59.717,3.5,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.431428571,2010,6,1,59.71,3.5,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.396984925,2010,7,1,33.9494,1.99,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.5833333333,2010,8,1,20.472,1.2,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.5789473684,2010,9,1,32.414,1.9,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.103333333,2010,10,1,51.18,3,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.107806691,2010,11,1,45.8914,2.69,10130
AMPE,AMPIO PHARMACEUTICALS INC,0,2010,12,1,41.0568,2.4,10130
AMPE,AMPIO PHARMACEUTICALS INC,1.4166666667,2011,1,1,41.0568,2.4,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.25,2011,2,1,99.2206,5.8,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.606896552,2011,3,1,124.02575,7.25,10130
AMPE,AMPIO PHARMACEUTICALS INC,1.0701754386,2011,4,1,52.44855,2.85,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.393220339,2011,5,1,169.2474,5.9,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.052311436,2011,6,1,235.79892,8.22,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.188703466,2011,7,1,223.46394,7.79,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.2373417722,2011,8,1,181.29552,6.32,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.149616368,2011,9,1,224.60604,7.82,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.0691729323,2011,10,1,191.0013,6.65,10130
AMPE,AMPIO PHARMACEUTICALS INC,0.0210970464,2011,11,1,204.66135,7.11,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.41184573,2011,12,1,209.1243,7.26,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.030444965,2012,1,1,132.71587,4.27,10130
AMPE,AMPIO PHARMACEUTICALS INC,-0.06763285,2012,2,1,128.67534,4.14,10130
