ticker,conm,ret,year,month,EW,VW,PW,n
ANFI.1,ANFI INC,0.24,2000,1,1,22.34375,3.125,7702
ANFI.1,ANFI INC,-0.096774194,2000,2,1,27.70625,3.875,7702
ANFI.1,ANFI INC,-0.071428571,2000,3,1,25.025,3.5,7702
ANFI.1,ANFI INC,0.0692307692,2000,4,1,23.2375,3.25,7702
ANFI.1,ANFI INC,-0.111111111,2000,5,1,24.573375,3.375,7702
ANFI.1,ANFI INC,0,2000,6,1,21.846,3,7702
ANFI.1,ANFI INC,-0.05,2000,7,1,21.978,3,7702
ANFI.1,ANFI INC,0.0454545455,2000,8,1,20.1465,2.75,7702
ANFI.1,ANFI INC,-0.02173913,2000,9,1,21.06225,2.875,7702
ANFI.1,ANFI INC,0.1466666667,2000,10,1,20.604375,2.8125,7702
ANFI.1,ANFI INC,-0.2,2000,11,1,22.89375,3.125,7702
ANFI.1,ANFI INC,0.315,2000,12,1,18.6,2.5,7702
ANFI.1,ANFI INC,0.0980392157,2001,1,1,23.715,3.1875,7702
ANFI.1,ANFI INC,0.125,2001,2,1,26.04,3.5,7702
ANFI.1,ANFI INC,0.2,2001,3,1,29.295,3.9375,7702
ANFI.1,ANFI INC,-0.059459459,2001,4,1,34.41,4.625,7702
ANFI.1,ANFI INC,0.0344827586,2001,5,1,32.6598,4.35,7702
ANFI.1,ANFI INC,0.2955555556,2001,6,1,32.616,4.5,7702
ANFI.1,ANFI INC,0.3076923077,2001,7,1,41.4596,5.2,7702
ANFI.1,ANFI INC,0.25,2001,8,1,54.2164,6.8,7702
ANFI.1,ANFI INC,-0.058823529,2001,9,1,60.1715,8.5,7702
ANFI.1,ANFI INC,-0.059375,2001,10,1,56.632,8,7702
ANFI.1,ANFI INC,-0.067567568,2001,11,1,52.3846,7.4,7702
ANFI.1,ANFI INC,0.0586956522,2001,12,1,48.8589,6.9,7702
ANFI.1,ANFI INC,0.0125348189,2002,1,1,50.84158,7.18,7702
ANFI.1,ANFI INC,0.0784044017,2002,2,1,51.47887,7.27,7702
ANFI.1,ANFI INC,0.087372449,2002,3,1,55.51504,7.84,7702
ANFI.1,ANFI INC,0.2726190476,2002,4,1,59.6652,8.4,7702
ANFI.1,ANFI INC,0.3367633302,2002,5,1,75.93107,10.69,7702
ANFI.1,ANFI INC,0.0920223933,2002,6,1,102.05918,14.29,7702
ANFI.1,ANFI INC,0.0909237726,2002,7,1,110.55816,15.48,7702
ANFI.1,ANFI INC,0.0947446336,2002,8,1,120.61728,13.51,7702
ANFI.1,ANFI INC,-0.147329277,2002,9,1,137.73927,14.79,7702
ANFI.1,ANFI INC,-0.052018079,2002,10,1,117.446243,12.611,7702
ANFI.1,ANFI INC,-0.047337278,2002,11,1,110.17279,11.83,7702
ANFI.1,ANFI INC,0.3198757764,2002,12,1,107.35802,11.27,7702
ANFI.1,ANFI INC,0.0237288136,2003,1,1,140.5085,14.75,7702
ANFI.1,ANFI INC,-0.01589404,2003,2,1,144.205,15.1,7702
ANFI.1,ANFI INC,0.034320323,2003,3,1,147.42606,14.86,7702
ANFI.1,ANFI INC,0,2003,4,1,152.48577,15.37,7702
