ticker,conm,ret,year,month,EW,VW,PW,n
ANST,ANSOFT CORP,0.1666666667,2000,1,1,70.38,6,6455
ANST,ANSOFT CORP,0.4821428571,2000,2,1,82.11,7,6455
ANST,ANSOFT CORP,0.1942771084,2000,3,1,121.69875,10.375,6455
ANST,ANSOFT CORP,0.0340479193,2000,4,1,145.5155,12.390625,6455
ANST,ANSOFT CORP,-0.326829268,2000,5,1,150.47,12.8125,6455
ANST,ANSOFT CORP,0.1594202899,2000,6,1,101.292,8.625,6455
ANST,ANSOFT CORP,0.31875,2000,7,1,117.44,10,6455
ANST,ANSOFT CORP,0.0616113744,2000,8,1,154.874,13.1875,6455
ANST,ANSOFT CORP,-0.053571429,2000,9,1,166.04,14,6455
ANST,ANSOFT CORP,-0.235849057,2000,10,1,157.145,13.25,6455
ANST,ANSOFT CORP,-0.234567901,2000,11,1,120.0825,10.125,6455
ANST,ANSOFT CORP,-0.129032258,2000,12,1,91.915,7.75,6455
ANST,ANSOFT CORP,0.2592592593,2001,1,1,80.5275,6.75,6455
ANST,ANSOFT CORP,0.2426470588,2001,2,1,101.405,8.5,6455
ANST,ANSOFT CORP,-0.142011834,2001,3,1,126.010625,10.5625,6455
ANST,ANSOFT CORP,0.0262068966,2001,4,1,108.1971875,9.0625,6455
ANST,ANSOFT CORP,0.8569892473,2001,5,1,111.0327,9.3,6455
ANST,ANSOFT CORP,-0.015634047,2001,6,1,206.18653,17.27,6455
ANST,ANSOFT CORP,0.0764705882,2001,7,1,202.963,17,6455
ANST,ANSOFT CORP,-0.275956284,2001,8,1,218.4837,18.3,6455
ANST,ANSOFT CORP,-0.311698113,2001,9,1,159.54325,13.25,6455
ANST,ANSOFT CORP,0.951754386,2001,10,1,110.2608,9.12,6455
ANST,ANSOFT CORP,-0.110674157,2001,11,1,215.202,17.8,6455
ANST,ANSOFT CORP,-0.077700569,2001,12,1,191.3847,15.83,6455
ANST,ANSOFT CORP,0.1924657534,2002,1,1,176.806,14.6,6455
ANST,ANSOFT CORP,-0.184376795,2002,2,1,210.8351,17.41,6455
ANST,ANSOFT CORP,0.2922535211,2002,3,1,171.962,14.2,6455
ANST,ANSOFT CORP,-0.383651226,2002,4,1,222.93415,18.35,6455
ANST,ANSOFT CORP,-0.297082228,2002,5,1,137.40519,11.31,6455
ANST,ANSOFT CORP,-0.260377358,2002,6,1,96.58455,7.95,6455
ANST,ANSOFT CORP,0.0408163265,2002,7,1,71.43612,5.88,6455
ANST,ANSOFT CORP,-0.320261438,2002,8,1,74.80476,6.12,6455
ANST,ANSOFT CORP,0.2019230769,2002,9,1,50.85184,4.16,6455
ANST,ANSOFT CORP,0.092,2002,10,1,61.13,5,6455
ANST,ANSOFT CORP,0.1701465201,2002,11,1,66.75396,5.46,6455
ANST,ANSOFT CORP,-0.037408045,2002,12,1,78.111914,6.389,6455
ANST,ANSOFT CORP,0.0764227642,2003,1,1,75.1899,6.15,6455
ANST,ANSOFT CORP,0.0302114804,2003,2,1,80.93612,6.62,6455
ANST,ANSOFT CORP,0.1039589443,2003,3,1,83.38132,6.82,6455
ANST,ANSOFT CORP,0.1329525833,2003,4,1,92.185076,7.529,6455
ANST,ANSOFT CORP,0.2684642438,2003,5,1,104.44132,8.53,6455
ANST,ANSOFT CORP,-0.024953789,2003,6,1,132.48008,10.82,6455
ANST,ANSOFT CORP,0.0236966825,2003,7,1,129.1742,10.55,6455
ANST,ANSOFT CORP,-0.017592593,2003,8,1,133.2828,10.8,6455
ANST,ANSOFT CORP,-0.033930254,2003,9,1,130.93801,10.61,6455
ANST,ANSOFT CORP,0.1404878049,2003,10,1,126.69,10.25,6455
ANST,ANSOFT CORP,0.0692899914,2003,11,1,144.4884,11.69,6455
ANST,ANSOFT CORP,0.0136,2003,12,1,154.5,12.5,6455
ANST,ANSOFT CORP,0.1254932912,2004,1,1,157.29805,12.67,6455
ANST,ANSOFT CORP,-0.004207574,2004,2,1,177.0379,14.26,6455
ANST,ANSOFT CORP,0.0154929577,2004,3,1,176.293,14.2,6455
ANST,ANSOFT CORP,-0.031900139,2004,4,1,181.23056,14.42,6455
ANST,ANSOFT CORP,0.064469914,2004,5,1,175.44928,13.96,6455
ANST,ANSOFT CORP,0.0269179004,2004,6,1,186.76048,14.86,6455
ANST,ANSOFT CORP,-0.095674967,2004,7,1,191.78768,15.26,6455
ANST,ANSOFT CORP,0.0811594203,2004,8,1,161.1426,13.8,6455
ANST,ANSOFT CORP,0.0656836461,2004,9,1,174.22084,14.92,6455
ANST,ANSOFT CORP,0.0062893082,2004,10,1,204.9669,15.9,6455
ANST,ANSOFT CORP,0.125625,2004,11,1,206.256,16,6455
ANST,ANSOFT CORP,0.1215991116,2004,12,1,232.16691,18.01,6455
ANST,ANSOFT CORP,0.0128712871,2005,1,1,230.5224,20.2,6455
ANST,ANSOFT CORP,0.2805474096,2005,2,1,233.48952,20.46,6455
ANST,ANSOFT CORP,0.0297709924,2005,3,1,303.4746,26.2,6455
ANST,ANSOFT CORP,-0.140103781,2005,4,1,312.50934,26.98,6455
ANST,ANSOFT CORP,-0.038793103,2005,5,1,268.7256,23.2,6455
ANST,ANSOFT CORP,0.0834080717,2005,6,1,258.3009,22.3,6455
ANST,ANSOFT CORP,0.053807947,2005,7,1,290.95888,24.16,6455
ANST,ANSOFT CORP,0.0326001571,2005,8,1,306.61478,25.46,6455
ANST,ANSOFT CORP,0.1068847471,2005,9,1,310.14313,26.29,6455
ANST,ANSOFT CORP,0.0996563574,2005,10,1,343.2927,29.1,6455
ANST,ANSOFT CORP,0.0840625,2005,11,1,377.504,32,6455
ANST,ANSOFT CORP,-0.018449121,2005,12,1,412.01313,34.69,6455
ANST,ANSOFT CORP,0.0311306902,2006,1,1,404.41185,34.05,6455
ANST,ANSOFT CORP,0.1156365708,2006,2,1,417.00147,35.11,6455
ANST,ANSOFT CORP,0.0643349502,2006,3,1,463.49861,39.17,6455
ANST,ANSOFT CORP,0.0597265531,2006,4,1,494.15157,41.69,6455
ANST,ANSOFT CORP,-0.113626075,2006,5,1,523.66554,44.18,6455
ANST,ANSOFT CORP,0.0459652707,2006,6,1,465.29912,19.58,6455
ANST,ANSOFT CORP,0.0146484375,2006,7,1,485.70368,20.48,6455
ANST,ANSOFT CORP,0.1568816169,2006,8,1,489.45212,20.78,6455
ANST,ANSOFT CORP,0.0361896839,2006,9,1,566.69492,24.04,6455
ANST,ANSOFT CORP,0.0702529105,2006,10,1,587.20343,24.91,6455
ANST,ANSOFT CORP,0.0367591898,2006,11,1,628.45618,26.66,6455
ANST,ANSOFT CORP,0.005788712,2006,12,1,653.79656,27.64,6455
ANST,ANSOFT CORP,0.0050359712,2007,1,1,657.5812,27.8,6455
ANST,ANSOFT CORP,0.1091624911,2007,2,1,660.89276,27.94,6455
ANST,ANSOFT CORP,0.0209745079,2007,3,1,733.47132,30.99,6455
ANST,ANSOFT CORP,0.0205436157,2007,4,1,748.85552,31.64,6455
ANST,ANSOFT CORP,-0.007742335,2007,5,1,764.23972,32.29,6455
ANST,ANSOFT CORP,-0.079588015,2007,6,1,767.55024,32.04,6455
ANST,ANSOFT CORP,-0.14242116,2007,7,1,707.61255,29.49,6455
ANST,ANSOFT CORP,0.1818900751,2007,8,1,594.13797,25.29,6455
ANST,ANSOFT CORP,0.1033790565,2007,9,1,700.05369,29.89,6455
ANST,ANSOFT CORP,-0.08793208,2007,10,1,772.42458,32.98,6455
ANST,ANSOFT CORP,-0.035571809,2007,11,1,704.50368,30.08,6455
ANST,ANSOFT CORP,-0.108927956,2007,12,1,679.4142,29.01,6455
ANST,ANSOFT CORP,-0.178336557,2008,1,1,605.407,25.85,6455
ANST,ANSOFT CORP,0.1450094162,2008,2,1,497.4408,21.24,6455
ANST,ANSOFT CORP,0.2549342105,2008,3,1,567.19104,24.32,6455
ANST,ANSOFT CORP,0.0865006553,2008,4,1,711.78744,30.52,6455
ANST,ANSOFT CORP,0.1001206273,2008,5,1,771.69952,33.16,6455
ANST,ANSOFT CORP,-0.002192982,2008,6,1,856.87872,36.48,6455
ANST,ANSOFT CORP,-0.009210272,2008,7,1,856.8196,36.4,6455
ANST,ANSOFT CORP,0,2008,8,1,840.57769,35.71,6455
