ticker,conm,ret,year,month,EW,VW,PW,n
APPN,APPIAN CORP,,2017,5,1,,,4882
APPN,APPIAN CORP,0.0283286119,2017,6,1,110.3125,17.65,4882
APPN,APPIAN CORP,0.0776859504,2017,7,1,113.4375,18.15,4882
APPN,APPIAN CORP,0.1702453988,2017,8,1,122.25,19.56,4882
APPN,APPIAN CORP,0.2433377021,2017,9,1,164.76222,22.89,4882
APPN,APPIAN CORP,-0.188334505,2017,10,1,204.85508,28.46,4882
APPN,APPIAN CORP,-0.046753247,2017,11,1,166.2738,23.1,4882
APPN,APPIAN CORP,0.429609446,2017,12,1,158.69814,22.02,4882
APPN,APPIAN CORP,-0.015247776,2018,1,1,226.87636,31.48,4882
APPN,APPIAN CORP,-0.127741935,2018,2,1,223.417,31,4882
APPN,APPIAN CORP,-0.068786982,2018,3,1,356.36016,27.04,4882
APPN,APPIAN CORP,0.0766481334,2018,4,1,331.84722,25.18,4882
APPN,APPIAN CORP,0.1763187016,2018,5,1,512.73143,27.11,4882
APPN,APPIAN CORP,0.1338977736,2018,6,1,604.60251,31.89,4882
APPN,APPIAN CORP,-0.140486726,2018,7,1,685.55744,36.16,4882
APPN,APPIAN CORP,0.1238738739,2018,8,1,589.24572,31.08,4882
APPN,APPIAN CORP,-0.052390495,2018,9,1,864.93666,34.93,4882
APPN,APPIAN CORP,-0.22326284,2018,10,1,819.6222,33.1,4882
APPN,APPIAN CORP,0.1691948658,2018,11,1,636.63102,25.71,4882
APPN,APPIAN CORP,-0.111443779,2018,12,1,845.37738,30.06,4882
APPN,APPIAN CORP,0.2051666043,2019,1,1,751.16533,26.71,4882
APPN,APPIAN CORP,0.1335818577,2019,2,1,905.27937,32.19,4882
APPN,APPIAN CORP,-0.056453823,2019,3,1,1111.04752,36.49,4882
APPN,APPIAN CORP,0.0482137671,2019,4,1,1048.32464,34.43,4882
APPN,APPIAN CORP,0.0011083403,2019,5,1,1130.01399,36.09,4882
APPN,APPIAN CORP,-0.00166067,2019,6,1,1131.77225,36.13,4882
APPN,APPIAN CORP,0.0892708622,2019,7,1,1129.89275,36.07,4882
APPN,APPIAN CORP,0.5136166964,2019,8,1,1230.75925,39.29,4882
APPN,APPIAN CORP,-0.201277955,2019,9,1,1873.8997,59.47,4882
APPN,APPIAN CORP,-0.060210526,2019,10,1,1583.4125,47.5,4882
APPN,APPIAN CORP,-0.034946237,2019,11,1,1488.0744,44.64,4882
APPN,APPIAN CORP,-0.113045497,2019,12,1,1473.80988,43.08,4882
APPN,APPIAN CORP,0.3357759749,2020,1,1,1307.20231,38.21,4882
APPN,APPIAN CORP,-0.134992163,2020,2,1,1746.12944,51.04,4882
APPN,APPIAN CORP,-0.088788222,2020,3,1,1525.95645,44.15,4882
APPN,APPIAN CORP,0.1352224708,2020,4,1,1390.46949,40.23,4882
APPN,APPIAN CORP,0.247208233,2020,5,1,1586.71281,45.67,4882
APPN,APPIAN CORP,-0.100245787,2020,6,1,1991.66336,56.96,4882
APPN,APPIAN CORP,-0.007414634,2020,7,1,1792.0075,51.25,4882
APPN,APPIAN CORP,0.2038529585,2020,8,1,1778.72042,50.87,4882
APPN,APPIAN CORP,0.0573154801,2020,9,1,2304.64492,61.24,4882
APPN,APPIAN CORP,-0.022393822,2020,10,1,2436.73675,64.75,4882
APPN,APPIAN CORP,1.2116903633,2020,11,1,2382.1689,63.3,4882
APPN,APPIAN CORP,0.1577857143,2020,12,1,5296.76,140,4882
