ticker,conm,ret,year,month,EW,VW,PW,n
ARTL.1,ARISTOTLE CORP,0.25,2000,1,1,4.62375,3.75,2414
ARTL.1,ARISTOTLE CORP,-0.12,2000,2,1,5.7796875,4.6875,2414
ARTL.1,ARISTOTLE CORP,0.0909090909,2000,3,1,5.05725,4.125,2414
ARTL.1,ARISTOTLE CORP,0.125,2000,4,1,5.517,4.5,2414
ARTL.1,ARISTOTLE CORP,0.012345679,2000,5,1,6.206625,5.0625,2414
ARTL.1,ARISTOTLE CORP,0.1219512195,2000,6,1,6.28325,5.125,2414
ARTL.1,ARISTOTLE CORP,0.1195652174,2000,7,1,10.52825,5.75,2414
ARTL.1,ARISTOTLE CORP,-0.145631068,2000,8,1,11.7870625,6.4375,2414
ARTL.1,ARISTOTLE CORP,0.2272727273,2000,9,1,10.0705,5.5,2414
ARTL.1,ARISTOTLE CORP,-0.018518519,2000,10,1,12.35925,6.75,2414
ARTL.1,ARISTOTLE CORP,-0.169811321,2000,11,1,12.130375,6.625,2414
ARTL.1,ARISTOTLE CORP,0.0909090909,2000,12,1,10.3785,5.5,2414
ARTL.1,ARISTOTLE CORP,0,2001,1,1,11.322,6,2414
ARTL.1,ARISTOTLE CORP,0.0104166667,2001,2,1,11.322,6,2414
ARTL.1,ARISTOTLE CORP,0.0927835052,2001,3,1,11.4399375,6.0625,2414
ARTL.1,ARISTOTLE CORP,0.1305660377,2001,4,1,12.501375,6.625,2414
ARTL.1,ARISTOTLE CORP,0.1682242991,2001,5,1,14.13363,7.49,2414
ARTL.1,ARISTOTLE CORP,-0.114285714,2001,6,1,16.555,8.75,2414
ARTL.1,ARISTOTLE CORP,-0.096774194,2001,7,1,14.663,7.75,2414
ARTL.1,ARISTOTLE CORP,0,2001,8,1,13.244,7,2414
ARTL.1,ARISTOTLE CORP,-0.285714286,2001,9,1,13.244,7,2414
ARTL.1,ARISTOTLE CORP,0.456,2001,10,1,9.46,5,2414
ARTL.1,ARISTOTLE CORP,-0.052197802,2001,11,1,13.832,7.28,2414
ARTL.1,ARISTOTLE CORP,0.0507246377,2001,12,1,13.0548,6.9,2414
ARTL.1,ARISTOTLE CORP,0.0634482759,2002,1,1,13.717,7.25,2414
ARTL.1,ARISTOTLE CORP,-0.014267185,2002,2,1,14.58732,7.71,2414
ARTL.1,ARISTOTLE CORP,0.1052631579,2002,3,1,14.6908,7.6,2414
ARTL.1,ARISTOTLE CORP,-0.076190476,2002,4,1,16.2372,8.4,2414
