ticker,conm,ret,year,month,EW,VW,PW,n
ATHR,ATHEROS COMMUNICATIONS INC,,2004,2,1,,,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.045328911,2004,3,1,822.22668,18.09,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.193398958,2004,4,1,784.95604,17.27,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.107681263,2004,5,1,652.52299,13.93,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.150442478,2004,6,1,582.25849,12.43,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.3125,2004,7,1,494.66208,10.56,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0964187328,2004,8,1,340.08018,7.26,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2814070352,2004,9,1,373.2842,7.96,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.1764705882,2004,10,1,478.329,10.2,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.0675,2004,11,1,562.74,12,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.084003575,2004,12,1,532.54329,11.19,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0536585366,2005,1,1,487.80775,10.25,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2712962963,2005,2,1,513.9828,10.8,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.252002913,2005,3,1,653.42443,13.73,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.291139241,2005,4,1,496.83179,10.27,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2692307692,2005,5,1,353.30568,7.28,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.127705628,2005,6,1,452.51976,9.24,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.3362282878,2005,7,1,394.73044,8.06,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.034354689,2005,8,1,527.44998,10.77,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.061538462,2005,9,1,511.2224,10.4,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.111680328,2005,10,1,479.76256,9.76,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.1176470588,2005,11,1,426.18252,8.67,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.3415892673,2005,12,1,479.44182,9.69,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.5115384615,2006,1,1,643.214,13,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0473282443,2006,2,1,972.2427,19.65,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2725947522,2006,3,1,1018.25724,20.58,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.03054601,2006,4,1,1330.81866,26.19,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.12997243,2006,5,1,1297.32744,25.39,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.137618832,2006,6,1,1140.15326,22.09,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.132808399,2006,7,1,983.2467,19.05,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.015133172,2006,8,1,852.66328,16.52,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.1143208359,2006,9,1,846.33286,16.27,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.1985659129,2006,10,1,943.08634,18.13,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.044178555,2006,11,1,1130.35114,21.73,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.060379022,2006,12,1,1194.76464,22.69,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.117260788,2007,1,1,1122.62592,21.32,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0608732158,2007,2,1,1254.26592,23.82,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.053027305,2007,3,1,1330.61712,25.27,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.1195152528,2007,4,1,1315.62354,23.93,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0865994774,2007,5,1,1475.3253,26.79,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0594297492,2007,6,1,1608.82237,29.11,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.095979248,2007,7,1,1704.43428,30.84,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0728120516,2007,8,1,1540.84396,27.88,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0020060181,2007,9,1,1681.86921,29.91,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.1711711712,2007,10,1,1685.24307,29.97,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.15982906,2007,11,1,1973.7081,35.1,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0356052899,2007,12,1,1674.7371,29.49,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.105762934,2008,1,1,1734.3666,30.54,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.109483706,2008,2,1,1550.9349,27.31,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.143092105,2008,3,1,1434.80704,24.32,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2773512476,2008,4,1,1229.49748,20.84,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2554470323,2008,5,1,1573.61468,26.62,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.102333932,2008,6,1,1982.70834,33.42,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0333333333,2008,7,1,1779.81,30,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0519354839,2008,8,1,1839.137,31,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.276908924,2008,9,1,1956.2739,32.61,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.237913486,2008,10,1,1414.5642,23.58,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.18753478,2008,11,1,1084.41762,17.97,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.019863014,2008,12,1,881.0516,14.6,8843
ATHR,ATHEROS COMMUNICATIONS INC,-0.160726765,2009,1,1,863.55126,14.31,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.0058284763,2009,2,1,724.75546,12.01,8843
ATHR,ATHEROS COMMUNICATIONS INC,0.2135761589,2009,3,1,734.91096,12.08,8843
