ticker,conm,ret,year,month,EW,VW,PW,n
AVAV,AEROVIRONMENT INC,,2007,1,1,,,9625
AVAV,AEROVIRONMENT INC,-0.069960647,2007,2,1,415.22772,22.87,9625
AVAV,AEROVIRONMENT INC,0.0747531735,2007,3,1,386.17812,21.27,9625
AVAV,AEROVIRONMENT INC,-0.063867017,2007,4,1,431.50536,22.86,9625
AVAV,AEROVIRONMENT INC,-0.029906542,2007,5,1,403.9464,21.4,9625
AVAV,AEROVIRONMENT INC,-0.007225434,2007,6,1,391.86576,20.76,9625
AVAV,AEROVIRONMENT INC,-0.049490539,2007,7,1,389.03436,20.61,9625
AVAV,AEROVIRONMENT INC,0.0086778969,2007,8,1,369.78084,19.59,9625
AVAV,AEROVIRONMENT INC,0.1644736842,2007,9,1,382.41528,19.76,9625
AVAV,AEROVIRONMENT INC,0.1182094741,2007,10,1,446.41701,23.01,9625
AVAV,AEROVIRONMENT INC,-0.063738826,2007,11,1,499.18773,25.73,9625
AVAV,AEROVIRONMENT INC,0.00456621,2007,12,1,467.37009,24.09,9625
AVAV,AEROVIRONMENT INC,-0.049173554,2008,1,1,487.3154,24.2,9625
AVAV,AEROVIRONMENT INC,-0.076923077,2008,2,1,463.35237,23.01,9625
AVAV,AEROVIRONMENT INC,-0.037193974,2008,3,1,427.70988,21.24,9625
AVAV,AEROVIRONMENT INC,0.169193154,2008,4,1,412.6401,20.45,9625
AVAV,AEROVIRONMENT INC,0.1116687578,2008,5,1,482.45598,23.91,9625
AVAV,AEROVIRONMENT INC,0.0225733634,2008,6,1,536.33124,26.58,9625
AVAV,AEROVIRONMENT INC,0.2005150846,2008,7,1,561.07674,27.18,9625
AVAV,AEROVIRONMENT INC,0.0254367147,2008,8,1,673.58109,32.63,9625
AVAV,AEROVIRONMENT INC,-0.045128512,2008,9,1,698.6448,33.46,9625
AVAV,AEROVIRONMENT INC,0.124256651,2008,10,1,669.25665,31.95,9625
AVAV,AEROVIRONMENT INC,-0.102728285,2008,11,1,752.41624,35.92,9625
AVAV,AEROVIRONMENT INC,0.1421036302,2008,12,1,675.12181,32.23,9625
AVAV,AEROVIRONMENT INC,0.0067916327,2009,1,1,776.83824,36.81,9625
AVAV,AEROVIRONMENT INC,-0.157582299,2009,2,1,782.11424,37.06,9625
AVAV,AEROVIRONMENT INC,-0.330557335,2009,3,1,658.86688,31.22,9625
AVAV,AEROVIRONMENT INC,0.1320574163,2009,4,1,445.7552,20.9,9625
AVAV,AEROVIRONMENT INC,0.1800507185,2009,5,1,504.62048,23.66,9625
AVAV,AEROVIRONMENT INC,0.1053008596,2009,6,1,595.47776,27.92,9625
AVAV,AEROVIRONMENT INC,-0.078418665,2009,7,1,662.5642,30.86,9625
AVAV,AEROVIRONMENT INC,-0.010900141,2009,8,1,610.6068,28.44,9625
AVAV,AEROVIRONMENT INC,-0.001421969,2009,9,1,605.04817,28.13,9625
AVAV,AEROVIRONMENT INC,-0.050907796,2009,10,1,604.18781,28.09,9625
AVAV,AEROVIRONMENT INC,0.0780195049,2009,11,1,573.42994,26.66,9625
AVAV,AEROVIRONMENT INC,0.0118302018,2009,12,1,618.16866,28.74,9625
AVAV,AEROVIRONMENT INC,0.1715955983,2010,1,1,626.26688,29.08,9625
AVAV,AEROVIRONMENT INC,-0.288230114,2010,2,1,733.73152,34.07,9625
AVAV,AEROVIRONMENT INC,0.0767010309,2010,3,1,522.248,24.25,9625
AVAV,AEROVIRONMENT INC,0.0026809651,2010,4,1,565.2815,26.11,9625
AVAV,AEROVIRONMENT INC,-0.043544691,2010,5,1,566.797,26.18,9625
AVAV,AEROVIRONMENT INC,-0.132188498,2010,6,1,542.116,25.04,9625
AVAV,AEROVIRONMENT INC,0.1003221353,2010,7,1,472.69269,21.73,9625
AVAV,AEROVIRONMENT INC,-0.054788791,2010,8,1,520.11423,23.91,9625
AVAV,AEROVIRONMENT INC,-0.015486726,2010,9,1,492.2958,22.6,9625
AVAV,AEROVIRONMENT INC,0.0543820225,2010,10,1,484.67175,22.25,9625
AVAV,AEROVIRONMENT INC,0.052855925,2010,11,1,511.02918,23.46,9625
AVAV,AEROVIRONMENT INC,0.0862348178,2010,12,1,538.0401,24.7,9625
AVAV,AEROVIRONMENT INC,0.0510622438,2011,1,1,585.51109,26.83,9625
AVAV,AEROVIRONMENT INC,0.0287234043,2011,2,1,615.4086,28.2,9625
AVAV,AEROVIRONMENT INC,0.2054463978,2011,3,1,633.08523,29.01,9625
AVAV,AEROVIRONMENT INC,-0.180726337,2011,4,1,765.73809,34.97,9625
AVAV,AEROVIRONMENT INC,0.0537521815,2011,5,1,627.34905,28.65,9625
AVAV,AEROVIRONMENT INC,0.1709175224,2011,6,1,661.07043,30.19,9625
AVAV,AEROVIRONMENT INC,-0.184441301,2011,7,1,775.9325,35.35,9625
AVAV,AEROVIRONMENT INC,-0.005896635,2011,8,1,632.8185,28.83,9625
AVAV,AEROVIRONMENT INC,-0.017794836,2011,9,1,633.21404,28.66,9625
AVAV,AEROVIRONMENT INC,0.173357016,2011,10,1,593.7961,28.15,9625
AVAV,AEROVIRONMENT INC,-0.076294278,2011,11,1,696.73482,33.03,9625
