ticker,conm,ret,year,month,EW,VW,PW,n
BAMM,BOOKS-A-MILLION INC,-0.105263158,2000,1,1,150.2650625,8.3125,3923
BAMM,BOOKS-A-MILLION INC,-0.054621849,2000,2,1,134.4476875,7.4375,3923
BAMM,BOOKS-A-MILLION INC,-0.146666667,2000,3,1,127.10390625,7.03125,3923
BAMM,BOOKS-A-MILLION INC,-0.322916667,2000,4,1,108.462,6,3923
BAMM,BOOKS-A-MILLION INC,-0.184615385,2000,5,1,73.4378125,4.0625,3923
BAMM,BOOKS-A-MILLION INC,0.3962264151,2000,6,1,59.92975,3.3125,3923
BAMM,BOOKS-A-MILLION INC,-0.22972973,2000,7,1,83.6755,4.625,3923
BAMM,BOOKS-A-MILLION INC,-0.087719298,2000,8,1,64.45275,3.5625,3923
BAMM,BOOKS-A-MILLION INC,-0.192307692,2000,9,1,58.799,3.25,3923
BAMM,BOOKS-A-MILLION INC,-0.047619048,2000,10,1,47.4915,2.625,3923
BAMM,BOOKS-A-MILLION INC,0.1,2000,11,1,45.23,2.5,3923
BAMM,BOOKS-A-MILLION INC,-0.5,2000,12,1,49.753,2.75,3923
BAMM,BOOKS-A-MILLION INC,0.5909090909,2001,1,1,24.8765,1.375,3923
BAMM,BOOKS-A-MILLION INC,-0.142857143,2001,2,1,39.57625,2.1875,3923
BAMM,BOOKS-A-MILLION INC,0.1,2001,3,1,33.9225,1.875,3923
BAMM,BOOKS-A-MILLION INC,0.1103030303,2001,4,1,36.663,2.0625,3923
BAMM,BOOKS-A-MILLION INC,0.1004366812,2001,5,1,40.70704,2.29,3923
BAMM,BOOKS-A-MILLION INC,0.0912698413,2001,6,1,43.29108,2.52,3923
BAMM,BOOKS-A-MILLION INC,-0.090909091,2001,7,1,49.8795,2.75,3923
BAMM,BOOKS-A-MILLION INC,0.2,2001,8,1,45.345,2.5,3923
BAMM,BOOKS-A-MILLION INC,0.1,2001,9,1,54.414,3,3923
BAMM,BOOKS-A-MILLION INC,-0.121212121,2001,10,1,59.8554,3.3,3923
BAMM,BOOKS-A-MILLION INC,0.1620689655,2001,11,1,52.6002,2.9,3923
BAMM,BOOKS-A-MILLION INC,-0.100890208,2001,12,1,61.12506,3.37,3923
BAMM,BOOKS-A-MILLION INC,0.00330033,2002,1,1,54.95814,3.03,3923
BAMM,BOOKS-A-MILLION INC,0.0361842105,2002,2,1,55.13952,3.04,3923
BAMM,BOOKS-A-MILLION INC,0.2380952381,2002,3,1,57.1347,3.15,3923
BAMM,BOOKS-A-MILLION INC,0.1257435897,2002,4,1,70.7382,3.9,3923
BAMM,BOOKS-A-MILLION INC,-0.100309767,2002,5,1,79.6330752,4.3904,3923
BAMM,BOOKS-A-MILLION INC,-0.075949367,2002,6,1,63.9426,3.95,3923
BAMM,BOOKS-A-MILLION INC,-0.117808219,2002,7,1,66.4592,3.65,3923
BAMM,BOOKS-A-MILLION INC,0.05,2002,8,1,58.62976,3.22,3923
BAMM,BOOKS-A-MILLION INC,-0.009168885,2002,9,1,61.561248,3.381,3923
BAMM,BOOKS-A-MILLION INC,-0.194029851,2002,10,1,54.27,3.35,3923
BAMM,BOOKS-A-MILLION INC,-0.02962963,2002,11,1,43.74,2.7,3923
BAMM,BOOKS-A-MILLION INC,0.0458015267,2002,12,1,42.444,2.62,3923
BAMM,BOOKS-A-MILLION INC,-0.136131387,2003,1,1,44.388,2.74,3923
BAMM,BOOKS-A-MILLION INC,-0.087452471,2003,2,1,38.3454,2.367,3923
BAMM,BOOKS-A-MILLION INC,0.0324074074,2003,3,1,34.992,2.16,3923
BAMM,BOOKS-A-MILLION INC,-0.080717489,2003,4,1,36.126,2.23,3923
BAMM,BOOKS-A-MILLION INC,0.1512195122,2003,5,1,33.21,2.05,3923
BAMM,BOOKS-A-MILLION INC,0.1737288136,2003,6,1,38.33348,2.36,3923
BAMM,BOOKS-A-MILLION INC,0.10433213,2003,7,1,44.99311,2.77,3923
BAMM,BOOKS-A-MILLION INC,0.111474338,2003,8,1,49.687337,3.059,3923
BAMM,BOOKS-A-MILLION INC,0.2132352941,2003,9,1,55.2262,3.4,3923
BAMM,BOOKS-A-MILLION INC,0.1272727273,2003,10,1,67.159125,4.125,3923
BAMM,BOOKS-A-MILLION INC,-0.032258065,2003,11,1,75.70665,4.65,3923
BAMM,BOOKS-A-MILLION INC,0.4355555556,2003,12,1,73.2645,4.5,3923
BAMM,BOOKS-A-MILLION INC,0.0015479876,2004,1,1,105.96984,6.46,3923
BAMM,BOOKS-A-MILLION INC,-0.132921175,2004,2,1,106.13388,6.47,3923
BAMM,BOOKS-A-MILLION INC,0.1408199643,2004,3,1,92.02644,5.61,3923
BAMM,BOOKS-A-MILLION INC,-0.13125,2004,4,1,105.6,6.4,3923
BAMM,BOOKS-A-MILLION INC,0.0773381295,2004,5,1,91.81784,5.56,3923
BAMM,BOOKS-A-MILLION INC,-0.013355593,2004,6,1,98.91886,5.99,3923
BAMM,BOOKS-A-MILLION INC,0.2265651438,2004,7,1,97.69821,5.91,3923
BAMM,BOOKS-A-MILLION INC,-0.02331356,2004,8,1,119.833219,7.249,3923
BAMM,BOOKS-A-MILLION INC,0.1558441558,2004,9,1,114.55983,6.93,3923
BAMM,BOOKS-A-MILLION INC,0.0124843945,2004,10,1,134.11143,8.01,3923
BAMM,BOOKS-A-MILLION INC,0.140567201,2004,11,1,135.78573,8.11,3923
BAMM,BOOKS-A-MILLION INC,0.0433839479,2004,12,1,154.37046,9.22,3923
BAMM,BOOKS-A-MILLION INC,-0.021829522,2005,1,1,157.36396,9.62,3923
BAMM,BOOKS-A-MILLION INC,-0.053134963,2005,2,1,153.92878,9.41,3923
BAMM,BOOKS-A-MILLION INC,0.0269360269,2005,3,1,145.74978,8.91,3923
BAMM,BOOKS-A-MILLION INC,-0.173626374,2005,4,1,148.8578,9.1,3923
BAMM,BOOKS-A-MILLION INC,0.1223404255,2005,5,1,121.75632,7.52,3923
BAMM,BOOKS-A-MILLION INC,0.1966824645,2005,6,1,136.65204,8.44,3923
BAMM,BOOKS-A-MILLION INC,0.0199004975,2005,7,1,163.06125,10.05,3923
BAMM,BOOKS-A-MILLION INC,0.0087804878,2005,8,1,166.30625,10.25,3923
BAMM,BOOKS-A-MILLION INC,-0.125364431,2005,9,1,166.95525,10.29,3923
BAMM,BOOKS-A-MILLION INC,0.0166666667,2005,10,1,146.025,9,3923
BAMM,BOOKS-A-MILLION INC,0.0426229508,2005,11,1,151.13055,9.15,3923
BAMM,BOOKS-A-MILLION INC,0.0210748156,2005,12,1,156.74633,9.49,3923
BAMM,BOOKS-A-MILLION INC,0.181630547,2006,1,1,160.12725,9.69,3923
BAMM,BOOKS-A-MILLION INC,0.007860262,2006,2,1,189.21125,11.45,3923
BAMM,BOOKS-A-MILLION INC,0.0043327556,2006,3,1,190.6985,11.54,3923
BAMM,BOOKS-A-MILLION INC,0.1685490877,2006,4,1,190.20275,11.51,3923
BAMM,BOOKS-A-MILLION INC,0.1137546468,2006,5,1,222.8665,13.45,3923
BAMM,BOOKS-A-MILLION INC,0.1194630872,2006,6,1,246.893,14.9,3923
BAMM,BOOKS-A-MILLION INC,-0.086930456,2006,7,1,278.3058,16.68,3923
BAMM,BOOKS-A-MILLION INC,0.0538411031,2006,8,1,254.11255,15.23,3923
BAMM,BOOKS-A-MILLION INC,0.1177207264,2006,9,1,266.45945,15.97,3923
BAMM,BOOKS-A-MILLION INC,0.1198879552,2006,10,1,295.7745,17.85,3923
BAMM,BOOKS-A-MILLION INC,0.0535267634,2006,11,1,331.2343,19.99,3923
BAMM,BOOKS-A-MILLION INC,0.081029552,2006,12,1,347.6386,20.98,3923
BAMM,BOOKS-A-MILLION INC,-0.157848325,2007,1,1,377.44056,22.68,3923
BAMM,BOOKS-A-MILLION INC,-0.164397906,2007,2,1,317.8622,19.1,3923
BAMM,BOOKS-A-MILLION INC,-0.107769424,2007,3,1,265.60632,15.96,3923
BAMM,BOOKS-A-MILLION INC,0.1776685393,2007,4,1,236.98208,14.24,3923
BAMM,BOOKS-A-MILLION INC,-0.014388489,2007,5,1,277.87212,16.68,3923
BAMM,BOOKS-A-MILLION INC,0.2183698297,2007,6,1,273.87396,16.44,3923
BAMM,BOOKS-A-MILLION INC,-0.069067296,2007,7,1,284.89692,16.94,3923
BAMM,BOOKS-A-MILLION INC,-0.149651237,2007,8,1,265.21986,15.77,3923
BAMM,BOOKS-A-MILLION INC,-0.006756757,2007,9,1,224.01576,13.32,3923
BAMM,BOOKS-A-MILLION INC,0.0120937264,2007,10,1,216.76032,13.23,3923
BAMM,BOOKS-A-MILLION INC,-0.097087379,2007,11,1,219.38176,13.39,3923
BAMM,BOOKS-A-MILLION INC,-0.006617039,2007,12,1,198.08256,12.09,3923
BAMM,BOOKS-A-MILLION INC,-0.104865772,2008,1,1,189.71872,11.92,3923
BAMM,BOOKS-A-MILLION INC,-0.223055295,2008,2,1,169.82372,10.67,3923
BAMM,BOOKS-A-MILLION INC,0.0542822678,2008,3,1,129.60586,8.29,3923
BAMM,BOOKS-A-MILLION INC,-0.062929062,2008,4,1,136.64116,8.74,3923
BAMM,BOOKS-A-MILLION INC,-0.072839506,2008,5,1,128.061,8.1,3923
BAMM,BOOKS-A-MILLION INC,0.0319573901,2008,6,1,118.7331,7.51,3923
BAMM,BOOKS-A-MILLION INC,-0.203655352,2008,7,1,119.55728,7.66,3923
BAMM,BOOKS-A-MILLION INC,0.106557377,2008,8,1,95.2088,6.1,3923
BAMM,BOOKS-A-MILLION INC,-0.245925926,2008,9,1,105.354,6.75,3923
BAMM,BOOKS-A-MILLION INC,-0.37,2008,10,1,78.045,5,3923
BAMM,BOOKS-A-MILLION INC,-0.304761905,2008,11,1,49.16835,3.15,3923
BAMM,BOOKS-A-MILLION INC,0.1872146119,2008,12,1,34.18371,2.19,3923
BAMM,BOOKS-A-MILLION INC,-0.082352941,2009,1,1,40.31295,2.55,3923
BAMM,BOOKS-A-MILLION INC,0.0897435897,2009,2,1,36.99306,2.34,3923
BAMM,BOOKS-A-MILLION INC,0.8235294118,2009,3,1,40.31295,2.55,3923
BAMM,BOOKS-A-MILLION INC,0.247826087,2009,4,1,72.7214,4.6,3923
BAMM,BOOKS-A-MILLION INC,0.224738676,2009,5,1,90.7494,5.74,3923
BAMM,BOOKS-A-MILLION INC,0.0184921764,2009,6,1,111.1443,7.03,3923
BAMM,BOOKS-A-MILLION INC,0.3037974684,2009,7,1,112.28112,7.11,3923
BAMM,BOOKS-A-MILLION INC,0.4649406688,2009,8,1,146.39184,9.27,3923
BAMM,BOOKS-A-MILLION INC,-0.109720177,2009,9,1,214.45536,13.58,3923
BAMM,BOOKS-A-MILLION INC,-0.280730897,2009,10,1,189.329,12.04,3923
BAMM,BOOKS-A-MILLION INC,-0.183602771,2009,11,1,136.1785,8.66,3923
BAMM,BOOKS-A-MILLION INC,-0.042432815,2009,12,1,111.17575,7.07,3923
BAMM,BOOKS-A-MILLION INC,-0.052083333,2010,1,1,105.2016,6.72,3923
BAMM,BOOKS-A-MILLION INC,-0.01255887,2010,2,1,99.72235,6.37,3923
BAMM,BOOKS-A-MILLION INC,0.1748807631,2010,3,1,98.46995,6.29,3923
BAMM,BOOKS-A-MILLION INC,0.0220994475,2010,4,1,113.3422,7.24,3923
BAMM,BOOKS-A-MILLION INC,-0.047297297,2010,5,1,117.4084,7.4,3923
BAMM,BOOKS-A-MILLION INC,-0.139007092,2010,6,1,111.8553,7.05,3923
BAMM,BOOKS-A-MILLION INC,0.0764119601,2010,7,1,94.6645,6.02,3923
BAMM,BOOKS-A-MILLION INC,-0.157407407,2010,8,1,101.898,6.48,3923
BAMM,BOOKS-A-MILLION INC,0.1090573013,2010,9,1,85.07225,5.41,3923
BAMM,BOOKS-A-MILLION INC,0.0583333333,2010,10,1,93.24,6,3923
BAMM,BOOKS-A-MILLION INC,0.011023622,2010,11,1,98.679,6.35,3923
BAMM,BOOKS-A-MILLION INC,-0.089481947,2010,12,1,98.9898,6.37,3923
BAMM,BOOKS-A-MILLION INC,-0.018965517,2011,1,1,90.0972,5.8,3923
BAMM,BOOKS-A-MILLION INC,0.0404217926,2011,2,1,88.38846,5.69,3923
BAMM,BOOKS-A-MILLION INC,-0.302364865,2011,3,1,91.96128,5.92,3923
BAMM,BOOKS-A-MILLION INC,0.1307506053,2011,4,1,64.15542,4.13,3923
BAMM,BOOKS-A-MILLION INC,-0.183982684,2011,5,1,72.72342,4.62,3923
BAMM,BOOKS-A-MILLION INC,-0.079575597,2011,6,1,59.34357,3.77,3923
