ticker,conm,ret,year,month,EW,VW,PW,n
BGCP,BGC PARTNERS INC,0.9314586995,2000,1,1,320.0625,35.5625,8074
BGCP,BGC PARTNERS INC,-0.098271156,2000,2,1,618.1875,68.6875,8074
BGCP,BGC PARTNERS INC,-0.154389506,2000,3,1,557.4375,61.9375,8074
BGCP,BGC PARTNERS INC,-0.097852029,2000,4,1,471.375,52.375,8074
BGCP,BGC PARTNERS INC,-0.452380952,2000,5,1,489.0375,47.25,8074
BGCP,BGC PARTNERS INC,0.6787439614,2000,6,1,267.80625,25.875,8074
BGCP,BGC PARTNERS INC,-0.294964029,2000,7,1,449.578125,43.4375,8074
BGCP,BGC PARTNERS INC,0.0040816327,2000,8,1,316.96875,30.625,8074
BGCP,BGC PARTNERS INC,-0.075203252,2000,9,1,318.2625,30.75,8074
BGCP,BGC PARTNERS INC,-0.261538462,2000,10,1,459.55,28.4375,8074
BGCP,BGC PARTNERS INC,-0.339285714,2000,11,1,339.36,21,8074
BGCP,BGC PARTNERS INC,0.1306306306,2000,12,1,224.455875,13.875,8074
BGCP,BGC PARTNERS INC,0.8406374502,2001,1,1,253.7766875,15.6875,8074
BGCP,BGC PARTNERS INC,-0.127705628,2001,2,1,467.110875,28.875,8074
BGCP,BGC PARTNERS INC,-0.188585608,2001,3,1,482.5925,25.1875,8074
BGCP,BGC PARTNERS INC,0.3113149847,2001,4,1,488.78325,20.4375,8074
BGCP,BGC PARTNERS INC,-0.276119403,2001,5,1,640.9488,26.8,8074
BGCP,BGC PARTNERS INC,0.1340206186,2001,6,1,478.307,19.4,8074
BGCP,BGC PARTNERS INC,-0.356818182,2001,7,1,542.41,22,8074
BGCP,BGC PARTNERS INC,-0.361837456,2001,8,1,348.86825,14.15,8074
BGCP,BGC PARTNERS INC,-0.03765227,2001,9,1,226.00284,9.03,8074
BGCP,BGC PARTNERS INC,-0.384349827,2001,10,1,217.49332,8.69,8074
BGCP,BGC PARTNERS INC,0.5364485981,2001,11,1,133.8998,5.35,8074
BGCP,BGC PARTNERS INC,0.0072992701,2001,12,1,217.41078,8.22,8074
BGCP,BGC PARTNERS INC,0.0652173913,2002,1,1,218.99772,8.28,8074
BGCP,BGC PARTNERS INC,0.0181405896,2002,2,1,233.28018,8.82,8074
BGCP,BGC PARTNERS INC,0.1781737194,2002,3,1,237.51202,8.98,8074
BGCP,BGC PARTNERS INC,0.1663516068,2002,4,1,279.83042,10.58,8074
BGCP,BGC PARTNERS INC,-0.079416532,2002,5,1,349.11094,12.34,8074
BGCP,BGC PARTNERS INC,-0.039612676,2002,6,1,321.38576,11.36,8074
BGCP,BGC PARTNERS INC,-0.25756187,2002,7,1,308.65481,10.91,8074
BGCP,BGC PARTNERS INC,0.2308641975,2002,8,1,229.1571,8.1,8074
BGCP,BGC PARTNERS INC,0.0190571715,2002,9,1,282.06127,9.97,8074
BGCP,BGC PARTNERS INC,0.4330708661,2002,10,1,287.44672,10.16,8074
BGCP,BGC PARTNERS INC,0.0336538462,2002,11,1,411.93152,14.56,8074
BGCP,BGC PARTNERS INC,0.1256478405,2002,12,1,425.7946,15.05,8074
BGCP,BGC PARTNERS INC,-0.021899534,2003,1,1,479.294772,16.941,8074
BGCP,BGC PARTNERS INC,-0.377187689,2003,2,1,468.79844,16.57,8074
BGCP,BGC PARTNERS INC,0.1269379845,2003,3,1,305.10048,10.32,8074
BGCP,BGC PARTNERS INC,0.1220980224,2003,4,1,343.82932,11.63,8074
BGCP,BGC PARTNERS INC,0.1724137931,2003,5,1,385.8102,13.05,8074
BGCP,BGC PARTNERS INC,0.291503268,2003,6,1,452.3292,15.3,8074
BGCP,BGC PARTNERS INC,-0.056174089,2003,7,1,584.18464,19.76,8074
BGCP,BGC PARTNERS INC,0.2225201072,2003,8,1,551.3686,18.65,8074
BGCP,BGC PARTNERS INC,-0.008333333,2003,9,1,674.0592,22.8,8074
BGCP,BGC PARTNERS INC,0.2052189297,2003,10,1,668.44204,22.61,8074
BGCP,BGC PARTNERS INC,-0.134678899,2003,11,1,805.619,27.25,8074
BGCP,BGC PARTNERS INC,-0.004240882,2003,12,1,697.11912,23.58,8074
BGCP,BGC PARTNERS INC,-0.041737649,2004,1,1,694.16272,23.48,8074
BGCP,BGC PARTNERS INC,-0.102666667,2004,2,1,665.19,22.5,8074
BGCP,BGC PARTNERS INC,0.0381376919,2004,3,1,624.96126,20.19,8074
BGCP,BGC PARTNERS INC,-0.160305344,2004,4,1,673.15136,20.96,8074
BGCP,BGC PARTNERS INC,0.0778409091,2004,5,1,565.2416,17.6,8074
BGCP,BGC PARTNERS INC,-0.069583553,2004,6,1,611.83941,18.97,8074
BGCP,BGC PARTNERS INC,-0.3898017,2004,7,1,569.26545,17.65,8074
BGCP,BGC PARTNERS INC,-0.071494893,2004,8,1,347.36481,10.77,8074
BGCP,BGC PARTNERS INC,-0.017,2004,9,1,306.88,10,8074
BGCP,BGC PARTNERS INC,0.002034588,2004,10,1,295.80436,9.83,8074
BGCP,BGC PARTNERS INC,0.1360406091,2004,11,1,296.4062,9.85,8074
BGCP,BGC PARTNERS INC,0.1054512958,2004,12,1,363.51834,11.19,8074
BGCP,BGC PARTNERS INC,-0.12934519,2005,1,1,401.85182,12.37,8074
BGCP,BGC PARTNERS INC,-0.166202414,2005,2,1,349.87422,10.77,8074
BGCP,BGC PARTNERS INC,0.0244988864,2005,3,1,291.72428,8.98,8074
BGCP,BGC PARTNERS INC,-0.060869565,2005,4,1,283.7004,9.2,8074
BGCP,BGC PARTNERS INC,-0.008101852,2005,5,1,266.43168,8.64,8074
BGCP,BGC PARTNERS INC,0.0396732789,2005,6,1,294.05384,8.57,8074
BGCP,BGC PARTNERS INC,-0.046015713,2005,7,1,305.71992,8.91,8074
BGCP,BGC PARTNERS INC,-0.1,2005,8,1,291.652,8.5,8074
BGCP,BGC PARTNERS INC,-0.009150327,2005,9,1,221.9418,7.65,8074
BGCP,BGC PARTNERS INC,-0.002638522,2005,10,1,219.91096,7.58,8074
BGCP,BGC PARTNERS INC,0.1335978836,2005,11,1,219.33072,7.56,8074
BGCP,BGC PARTNERS INC,-0.100350058,2005,12,1,238.56309,8.57,8074
BGCP,BGC PARTNERS INC,0.1906614786,2006,1,1,214.62327,7.71,8074
BGCP,BGC PARTNERS INC,-0.094771242,2006,2,1,255.54366,9.18,8074
BGCP,BGC PARTNERS INC,-0.040914561,2006,3,1,231.32547,8.31,8074
BGCP,BGC PARTNERS INC,0.0125470514,2006,4,1,222.42676,7.97,8074
BGCP,BGC PARTNERS INC,-0.039653036,2006,5,1,225.21756,8.07,8074
BGCP,BGC PARTNERS INC,0.0748387097,2006,6,1,224.657,7.75,8074
BGCP,BGC PARTNERS INC,0.037214886,2006,7,1,241.47004,8.33,8074
BGCP,BGC PARTNERS INC,-0.02662037,2006,8,1,250.45632,8.64,8074
BGCP,BGC PARTNERS INC,0.0939357907,2006,9,1,244.69736,8.41,8074
BGCP,BGC PARTNERS INC,0.0717391304,2006,10,1,267.6832,9.2,8074
BGCP,BGC PARTNERS INC,-0.048681542,2006,11,1,286.88656,9.86,8074
BGCP,BGC PARTNERS INC,-0.069296375,2006,12,1,279.1488,9.38,8074
BGCP,BGC PARTNERS INC,-0.083619702,2007,1,1,259.8048,8.73,8074
BGCP,BGC PARTNERS INC,0.06375,2007,2,1,238.08,8,8074
BGCP,BGC PARTNERS INC,0.116333725,2007,3,1,253.2576,8.51,8074
BGCP,BGC PARTNERS INC,-0.025263158,2007,4,1,284.3445,9.5,8074
BGCP,BGC PARTNERS INC,-0.017278618,2007,5,1,277.16106,9.26,8074
BGCP,BGC PARTNERS INC,-0.050549451,2007,6,1,272.454,9.1,8074
BGCP,BGC PARTNERS INC,-0.0625,2007,7,1,258.6816,8.64,8074
BGCP,BGC PARTNERS INC,0.037037037,2007,8,1,242.514,8.1,8074
BGCP,BGC PARTNERS INC,0.0154761905,2007,9,1,306.222,8.4,8074
BGCP,BGC PARTNERS INC,0.1910902696,2007,10,1,310.96115,8.53,8074
BGCP,BGC PARTNERS INC,-0.005905512,2007,11,1,370.3828,10.16,8074
BGCP,BGC PARTNERS INC,0.1188118812,2007,12,1,303.3838,10.1,8074
BGCP,BGC PARTNERS INC,0.0353982301,2008,1,1,339.4294,11.3,8074
BGCP,BGC PARTNERS INC,-0.007692308,2008,2,1,351.4446,11.7,8074
BGCP,BGC PARTNERS INC,0.0043066322,2008,3,1,363.40461,11.61,8074
BGCP,BGC PARTNERS INC,-0.173241852,2008,4,1,365.08626,11.66,8074
BGCP,BGC PARTNERS INC,-0.074688797,2008,5,1,302.92736,9.64,8074
BGCP,BGC PARTNERS INC,-0.153587444,2008,6,1,366.42468,8.92,8074
BGCP,BGC PARTNERS INC,-0.059602649,2008,7,1,385.654,7.55,8074
BGCP,BGC PARTNERS INC,-0.071830986,2008,8,1,362.668,7.1,8074
BGCP,BGC PARTNERS INC,-0.329286798,2008,9,1,335.5628,6.59,8074
BGCP,BGC PARTNERS INC,-0.046620047,2008,10,1,218.4468,4.29,8074
BGCP,BGC PARTNERS INC,-0.046454768,2008,11,1,208.2628,4.09,8074
BGCP,BGC PARTNERS INC,-0.273684211,2008,12,1,185.858,3.8,8074
BGCP,BGC PARTNERS INC,-0.126811594,2009,1,1,134.9916,2.76,8074
BGCP,BGC PARTNERS INC,-0.290456432,2009,2,1,117.8731,2.41,8074
BGCP,BGC PARTNERS INC,0.3157894737,2009,3,1,83.6361,1.71,8074
BGCP,BGC PARTNERS INC,0.1719457014,2009,4,1,111.26466,2.21,8074
BGCP,BGC PARTNERS INC,0.3359073359,2009,5,1,130.39614,2.59,8074
BGCP,BGC PARTNERS INC,0.1246290801,2009,6,1,160.7153,3.37,8074
BGCP,BGC PARTNERS INC,0.2058047493,2009,7,1,180.7451,3.79,8074
BGCP,BGC PARTNERS INC,0.0087527352,2009,8,1,217.9433,4.57,8074
BGCP,BGC PARTNERS INC,-0.053097345,2009,9,1,228.52216,4.52,8074
BGCP,BGC PARTNERS INC,0.1285046729,2009,10,1,216.38824,4.28,8074
BGCP,BGC PARTNERS INC,-0.107660455,2009,11,1,265.87701,4.83,8074
BGCP,BGC PARTNERS INC,0.0921985816,2009,12,1,234.35469,4.23,8074
BGCP,BGC PARTNERS INC,-0.119047619,2010,1,1,255.96186,4.62,8074
BGCP,BGC PARTNERS INC,0.2186732187,2010,2,1,225.49021,4.07,8074
BGCP,BGC PARTNERS INC,0.2439516129,2010,3,1,274.79888,4.96,8074
BGCP,BGC PARTNERS INC,0.0654664484,2010,4,1,348.42275,6.11,8074
BGCP,BGC PARTNERS INC,-0.021505376,2010,5,1,371.23275,6.51,8074
BGCP,BGC PARTNERS INC,-0.179775281,2010,6,1,355.88875,6.23,8074
BGCP,BGC PARTNERS INC,0.060665362,2010,7,1,291.90875,5.11,8074
BGCP,BGC PARTNERS INC,-0.02398524,2010,8,1,309.6175,5.42,8074
BGCP,BGC PARTNERS INC,0.159223301,2010,9,1,334.7191,5.15,8074
BGCP,BGC PARTNERS INC,0.1658291457,2010,10,1,388.01418,5.97,8074
BGCP,BGC PARTNERS INC,0.1192528736,2010,11,1,472.57008,6.96,8074
BGCP,BGC PARTNERS INC,0.0862745098,2010,12,1,525.85335,7.65,8074
BGCP,BGC PARTNERS INC,-0.025270758,2011,1,1,571.22109,8.31,8074
BGCP,BGC PARTNERS INC,0.1975308642,2011,2,1,556.7859,8.1,8074
BGCP,BGC PARTNERS INC,-0.029288703,2011,3,1,671.64736,9.56,8074
BGCP,BGC PARTNERS INC,0.0409482759,2011,4,1,678.4608,9.28,8074
BGCP,BGC PARTNERS INC,-0.122153209,2011,5,1,706.2426,9.66,8074
BGCP,BGC PARTNERS INC,-0.069795427,2011,6,1,705.89295,8.31,8074
BGCP,BGC PARTNERS INC,0.0595084088,2011,7,1,656.62485,7.73,8074
BGCP,BGC PARTNERS INC,-0.177045177,2011,8,1,703.90593,8.19,8074
BGCP,BGC PARTNERS INC,-0.082191781,2011,9,1,590.47875,6.57,8074
BGCP,BGC PARTNERS INC,0.135986733,2011,10,1,549.77319,6.03,8074
BGCP,BGC PARTNERS INC,-0.052554745,2011,11,1,631.78235,6.85,8074
BGCP,BGC PARTNERS INC,-0.060126582,2011,12,1,596.61432,6.32,8074
BGCP,BGC PARTNERS INC,0.0538720539,2012,1,1,560.74194,5.94,8074
BGCP,BGC PARTNERS INC,0.1230031949,2012,2,1,590.95026,6.26,8074
BGCP,BGC PARTNERS INC,0.0775248933,2012,3,1,712.4905,7.03,8074
BGCP,BGC PARTNERS INC,-0.058744092,2012,4,1,768.80191,7.405,8074
BGCP,BGC PARTNERS INC,-0.120516499,2012,5,1,723.63934,6.97,8074
BGCP,BGC PARTNERS INC,-0.015100671,2012,6,1,625.47816,5.96,8074
BGCP,BGC PARTNERS INC,-0.153321976,2012,7,1,619.45523,5.87,8074
BGCP,BGC PARTNERS INC,-0.058350101,2012,8,1,538.65357,4.97,8074
BGCP,BGC PARTNERS INC,0.0864745011,2012,9,1,503.0454,4.51,8074
BGCP,BGC PARTNERS INC,-0.044897959,2012,10,1,546.546,4.9,8074
BGCP,BGC PARTNERS INC,-0.205128205,2012,11,1,522.0072,4.68,8074
BGCP,BGC PARTNERS INC,-0.038888889,2012,12,1,421.5456,3.6,8074
BGCP,BGC PARTNERS INC,0.1531791908,2013,1,1,410.48748,3.46,8074
BGCP,BGC PARTNERS INC,0.1002506266,2013,2,1,473.36562,3.99,8074
BGCP,BGC PARTNERS INC,-0.025761124,2013,3,1,529.11278,4.27,8074
BGCP,BGC PARTNERS INC,0.375,2013,4,1,537.59264,4.16,8074
BGCP,BGC PARTNERS INC,-0.01486014,2013,5,1,758.32328,5.72,8074
BGCP,BGC PARTNERS INC,0.0679963735,2013,6,1,734.504245,5.515,8074
BGCP,BGC PARTNERS INC,0.0662139219,2013,7,1,784.44787,5.89,8074
BGCP,BGC PARTNERS INC,-0.090764331,2013,8,1,836.38924,6.28,8074
BGCP,BGC PARTNERS INC,0.0091234347,2013,9,1,765.95857,5.59,8074
BGCP,BGC PARTNERS INC,-0.057791172,2013,10,1,772.946743,5.641,8074
BGCP,BGC PARTNERS INC,0.1326434619,2013,11,1,728.277245,5.315,8074
BGCP,BGC PARTNERS INC,0.0254237288,2013,12,1,1058.7668,5.9,8074
BGCP,BGC PARTNERS INC,0.0628099174,2014,1,1,1085.6846,6.05,8074
BGCP,BGC PARTNERS INC,0.0762052877,2014,2,1,1153.87636,6.43,8074
BGCP,BGC PARTNERS INC,-0.038235294,2014,3,1,1234.7644,6.8,8074
BGCP,BGC PARTNERS INC,0.0963302752,2014,4,1,1200.69822,6.54,8074
BGCP,BGC PARTNERS INC,-0.006973501,2014,5,1,1328.35722,7.17,8074
