ticker,conm,ret,year,month,EW,VW,PW,n
BGSC,BGS ACQUISITION CORP,,2012,5,1,,,9425
BGSC,BGS ACQUISITION CORP,0.4511428571,2012,6,1,35.46445,6.65,9425
BGSC,BGS ACQUISITION CORP,0.0010362587,2012,7,1,51.4639833,9.6501,9425
BGSC,BGS ACQUISITION CORP,0.0124118798,2012,8,1,51.5173133,9.6601,9425
BGSC,BGS ACQUISITION CORP,0.0020449898,2012,9,1,52.15674,9.78,9425
BGSC,BGS ACQUISITION CORP,0.0020408163,2012,10,1,52.2634,9.8,9425
BGSC,BGS ACQUISITION CORP,0.0081466395,2012,11,1,52.37006,9.82,9425
BGSC,BGS ACQUISITION CORP,0,2012,12,1,52.7967,9.9,9425
BGSC,BGS ACQUISITION CORP,0.003030303,2013,1,1,52.7967,9.9,9425
BGSC,BGS ACQUISITION CORP,0.0010070493,2013,2,1,52.95669,9.93,9425
BGSC,BGS ACQUISITION CORP,0.0060362173,2013,3,1,53.01002,9.94,9425
BGSC,BGS ACQUISITION CORP,0.001,2013,4,1,53.33,10,9425
BGSC,BGS ACQUISITION CORP,0,2013,5,1,53.38333,10.01,9425
BGSC,BGS ACQUISITION CORP,0.010989011,2013,6,1,53.38333,10.01,9425
BGSC,BGS ACQUISITION CORP,-0.004940711,2013,7,1,53.96996,10.12,9425
BGSC,BGS ACQUISITION CORP,0.0069513406,2013,8,1,53.70331,10.07,9425
BGSC,BGS ACQUISITION CORP,-0.015779093,2013,9,1,54.07662,10.14,9425
BGSC,BGS ACQUISITION CORP,0.0170340681,2013,10,1,53.22334,9.98,9425
BGSC,BGS ACQUISITION CORP,-0.004926108,2013,11,1,54.12995,10.15,9425
