ticker,conm,ret,year,month,EW,VW,PW,n
BNFT,BENEFITFOCUS INC,,2013,9,1,,,2725
BNFT,BENEFITFOCUS INC,0.0191212368,2013,10,1,1195.17792,49.16,2725
BNFT,BENEFITFOCUS INC,-0.035728543,2013,11,1,1218.0312,50.1,2725
BNFT,BENEFITFOCUS INC,0.1951976816,2013,12,1,1181.85584,48.31,2725
BNFT,BENEFITFOCUS INC,0.1283339106,2014,1,1,1412.55136,57.74,2725
BNFT,BENEFITFOCUS INC,-0.005679202,2014,2,1,1593.8296,65.15,2725
BNFT,BENEFITFOCUS INC,-0.274930534,2014,3,1,1584.77792,64.78,2725
BNFT,BENEFITFOCUS INC,-0.310197999,2014,4,1,1152.22107,46.97,2725
BNFT,BENEFITFOCUS INC,0.1432098765,2014,5,1,812.6892,32.4,2725
BNFT,BENEFITFOCUS INC,0.2478401728,2014,6,1,929.85216,37.04,2725
BNFT,BENEFITFOCUS INC,-0.166161835,2014,7,1,1160.30688,46.22,2725
BNFT,BENEFITFOCUS INC,-0.143227815,2014,8,1,965.92802,38.54,2725
BNFT,BENEFITFOCUS INC,-0.18413083,2014,9,1,841.31658,33.02,2725
BNFT,BENEFITFOCUS INC,0.0285820341,2014,10,1,686.40426,26.94,2725
BNFT,BENEFITFOCUS INC,-0.022374594,2014,11,1,706.02309,27.71,2725
BNFT,BENEFITFOCUS INC,0.2122554448,2014,12,1,692.31204,27.09,2725
BNFT,BENEFITFOCUS INC,-0.263398295,2015,1,1,839.25904,32.84,2725
BNFT,BENEFITFOCUS INC,0.3460107482,2015,2,1,618.19964,24.19,2725
BNFT,BENEFITFOCUS INC,0.1299140049,2015,3,1,833.82904,32.56,2725
BNFT,BENEFITFOCUS INC,-0.06088611,2015,4,1,1047.0434,36.79,2725
BNFT,BENEFITFOCUS INC,0.0384949349,2015,5,1,983.293,34.55,2725
BNFT,BENEFITFOCUS INC,0.22212932,2015,6,1,1025.70156,35.88,2725
BNFT,BENEFITFOCUS INC,-0.150741163,2015,7,1,1253.53995,43.85,2725
BNFT,BENEFITFOCUS INC,-0.015037594,2015,8,1,1069.64452,37.24,2725
BNFT,BENEFITFOCUS INC,-0.148037077,2015,9,1,1053.55964,36.68,2725
