ticker,conm,ret,year,month,EW,VW,PW,n
BREL,BIORELIANCE CORP,0.0491803279,2000,1,1,45.34396875,5.71875,7003
BREL,BIORELIANCE CORP,0.4583333333,2000,2,1,47.574,6,7003
BREL,BIORELIANCE CORP,-0.385714286,2000,3,1,69.37875,8.75,7003
BREL,BIORELIANCE CORP,-0.11627907,2000,4,1,42.618375,5.375,7003
BREL,BIORELIANCE CORP,0.0526315789,2000,5,1,37.8195,4.75,7003
BREL,BIORELIANCE CORP,-0.025,2000,6,1,39.86,5,7003
BREL,BIORELIANCE CORP,0.2820512821,2000,7,1,38.8635,4.875,7003
BREL,BIORELIANCE CORP,0.64,2000,8,1,49.825,6.25,7003
BREL,BIORELIANCE CORP,0.4634146341,2000,9,1,81.713,10.25,7003
BREL,BIORELIANCE CORP,-0.2,2000,10,1,121.83,15,7003
BREL,BIORELIANCE CORP,0,2000,11,1,97.464,12,7003
BREL,BIORELIANCE CORP,0.1041666667,2000,12,1,97.464,12,7003
BREL,BIORELIANCE CORP,-0.004716981,2001,1,1,108.50425,13.25,7003
BREL,BIORELIANCE CORP,0.0805687204,2001,2,1,107.9924375,13.1875,7003
BREL,BIORELIANCE CORP,-0.245614035,2001,3,1,116.69325,14.25,7003
BREL,BIORELIANCE CORP,0.2381395349,2001,4,1,88.03175,10.75,7003
BREL,BIORELIANCE CORP,-0.023290759,2001,5,1,109.10207,13.31,7003
BREL,BIORELIANCE CORP,-0.046153846,2001,6,1,106.574,13,7003
BREL,BIORELIANCE CORP,0.0524193548,2001,7,1,101.6552,12.4,7003
BREL,BIORELIANCE CORP,-0.042145594,2001,8,1,106.9839,13.05,7003
BREL,BIORELIANCE CORP,-0.104,2001,9,1,102.85,12.5,7003
BREL,BIORELIANCE CORP,1.3794642857,2001,10,1,92.1536,11.2,7003
BREL,BIORELIANCE CORP,0.009380863,2001,11,1,219.2762,26.65,7003
BREL,BIORELIANCE CORP,0.0605947955,2001,12,1,222.6513,26.9,7003
BREL,BIORELIANCE CORP,-0.367683141,2002,1,1,236.14281,28.53,7003
BREL,BIORELIANCE CORP,0.1557649667,2002,2,1,149.31708,18.04,7003
BREL,BIORELIANCE CORP,0.1002398082,2002,3,1,172.5963,20.85,7003
BREL,BIORELIANCE CORP,0.1774193548,2002,4,1,189.89732,22.94,7003
BREL,BIORELIANCE CORP,0.025546094,2002,5,1,223.58878,27.01,7003
BREL,BIORELIANCE CORP,-0.104693141,2002,6,1,233.4002,27.7,7003
BREL,BIORELIANCE CORP,-0.064919355,2002,7,1,208.9648,24.8,7003
BREL,BIORELIANCE CORP,-0.004743424,2002,8,1,195.39894,23.19,7003
BREL,BIORELIANCE CORP,-0.097920277,2002,9,1,194.86444,23.08,7003
BREL,BIORELIANCE CORP,0.3088376561,2002,10,1,175.78326,20.82,7003
BREL,BIORELIANCE CORP,-0.064256881,2002,11,1,230.07175,27.25,7003
BREL,BIORELIANCE CORP,-0.091336915,2002,12,1,215.568546,25.499,7003
BREL,BIORELIANCE CORP,-0.032369443,2003,1,1,195.87918,23.17,7003
BREL,BIORELIANCE CORP,-0.241708296,2003,2,1,189.53868,22.42,7003
BREL,BIORELIANCE CORP,0.1364104253,2003,3,1,143.7256086,17.0009,7003
BREL,BIORELIANCE CORP,0.031573499,2003,4,1,163.33128,19.32,7003
BREL,BIORELIANCE CORP,0.0250878073,2003,5,1,168.48822,19.93,7003
BREL,BIORELIANCE CORP,0.0376896721,2003,6,1,173.92059,20.43,7003
BREL,BIORELIANCE CORP,0.0377358491,2003,7,1,180.4756,21.2,7003
BREL,BIORELIANCE CORP,0.195,2003,8,1,187.286,22,7003
BREL,BIORELIANCE CORP,-0.027006466,2003,9,1,219.23231,26.29,7003
BREL,BIORELIANCE CORP,0.3362001564,2003,10,1,213.31162,25.58,7003
BREL,BIORELIANCE CORP,0.3543007607,2003,11,1,285.02702,34.18,7003
BREL,BIORELIANCE CORP,0.0328364658,2003,12,1,387.81762,46.29,7003
BREL,BIORELIANCE CORP,0.0029282577,2004,1,1,400.55218,47.81,7003
BREL,BIORELIANCE CORP,0.0010427529,2004,2,1,404.3144,47.95,7003
BREL,BIORELIANCE CORP,0,2004,3,1,404.65168,47.99,7003
