ticker,conm,ret,year,month,EW,VW,PW,n
BUCY,BUCYRUS INTERNATIONAL INC,,2004,7,1,,,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.10125,2004,8,1,272.784,24,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2712826334,2004,9,1,343.03497,26.43,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.105431548,2004,10,1,436.0944,33.6,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.3166666667,2004,11,1,390.09,30,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0288607595,2004,12,1,790.948,39.5,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.096948819,2005,1,1,813.77536,40.64,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1849455041,2005,2,1,734.8808,36.7,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.10062169,2005,3,1,869.64232,43.43,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.001600102,2005,4,1,788.34798,39.06,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.083718541,2005,5,1,785.92602,38.94,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0644618834,2005,6,1,725.196,35.68,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1236835176,2005,7,1,771.9435,37.98,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0586579071,2005,8,1,866.2515,42.62,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0888741135,2005,9,1,922.4784,45.12,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.153114187,2005,10,1,1004.46285,49.13,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1287605295,2005,11,1,849.48975,41.55,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1236673774,2005,12,1,961.2624,46.9,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1611005693,2006,1,1,1080.1392,52.7,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.030192842,2006,2,1,1254.15024,61.19,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.147745316,2006,3,1,1290.83808,62.98,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0771944387,2006,4,1,1520.44269,48.19,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.015796571,2006,5,1,1637.81241,51.91,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.010579937,2006,6,1,1610.26096,51.04,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.035445545,2006,7,1,1593.2245,50.5,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0609731061,2006,8,1,1536.75179,48.71,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.17838466,2006,9,1,1627.22271,51.63,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.011079679,2006,10,1,1336.95114,42.42,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0190930788,2006,11,1,1320.5623,41.9,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2121779859,2006,12,1,1345.0073,42.7,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.10297527,2007,1,1,1630.38824,51.76,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0984277407,2007,2,1,1462.49857,46.43,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.010794897,2007,3,1,1604.87405,50.95,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2182524272,2007,4,1,1627.8635,51.5,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1316544469,2007,5,1,1983.14866,62.74,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.002396054,2007,6,1,2276.28885,70.95,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.102006216,2007,7,1,2270.83474,70.78,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.016047829,2007,8,1,2039.19548,63.56,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1670667307,2007,9,1,2336.75106,62.49,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1312217195,2007,10,1,2727.14442,72.93,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0637575758,2007,11,1,3085.005,82.5,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1331661156,2007,12,1,3281.58194,87.71,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.067209981,2008,1,1,3718.57746,99.39,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0778772516,2008,2,1,3468.65194,92.71,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0177212655,2008,3,1,3736.91032,99.88,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2388588293,2008,4,1,3805.06445,101.65,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1245136187,2008,5,1,4713.93769,125.93,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.031647358,2008,6,1,5299.58172,70.78,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.041221583,2008,7,1,5467.29948,73.02,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.001928296,2008,8,1,5241.92874,70.01,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.360343593,2008,9,1,5229.3901,69.85,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.459937332,2008,10,1,3345.01288,44.68,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.189598011,2008,11,1,1806.51658,24.13,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.05171531,2008,12,1,1461.99627,19.53,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.163066955,2009,1,1,1386.38868,18.52,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.198709677,2009,2,1,1160.3145,15.5,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2242351047,2009,3,1,929.74878,12.42,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.430171278,2009,4,1,1140.45822,15.18,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.3222017503,2009,5,1,1631.05059,21.71,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.0041841,2009,6,1,2154.95784,28.68,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0322128852,2009,7,1,2145.94128,28.56,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0133989145,2009,8,1,2215.06824,29.48,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1929648241,2009,9,1,2242.6902,29.85,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2474024151,2009,10,1,2675.45052,35.61,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1664790635,2009,11,1,3337.36344,44.42,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0884340606,2009,12,1,3891.18986,51.79,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.070782331,2010,1,1,4235.30358,56.37,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.1943489882,2010,2,1,3935.51892,52.38,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0552269821,2010,3,1,4698.06832,62.56,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.047279891,2010,4,1,5341.2306,65.99,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.147685701,2010,5,1,5088.6978,62.87,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.11407767,2010,6,1,4335.1464,53.56,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.3112750263,2010,7,1,3840.603,47.45,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.075618772,2010,8,1,5036.0868,62.22,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.2062967473,2010,9,1,4657.37988,57.49,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.017159337,2010,10,1,5618.1822,69.35,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.3084653756,2010,11,1,5521.77792,68.16,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.00269179,2010,12,1,7223.11908,89.16,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.015212528,2011,1,1,7243.0986,89.4,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0033054209,2011,2,1,7353.28444,90.76,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0045574347,2011,3,1,7377.59014,91.06,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0001093494,2011,4,1,7448.6025,91.45,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0045375027,2011,5,1,7449.417,91.46,3594
BUCY,BUCYRUS INTERNATIONAL INC,-0.00206859,2011,6,1,7481.64175,91.85,3594
BUCY,BUCYRUS INTERNATIONAL INC,0.0037093607,2011,7,1,7466.1653,91.66,3594
BUCY,BUCYRUS INTERNATIONAL INC,0,2011,8,1,,92,3594
