ticker,conm,ret,year,month,EW,VW,PW,n
BUF,MINRAD INTL INC,,2004,12,1,,,8755
BUF,MINRAD INTL INC,0.1506849315,2005,1,1,102.19635,3.65,8755
BUF,MINRAD INTL INC,0.130952381,2005,2,1,117.5958,4.2,8755
BUF,MINRAD INTL INC,-0.094736842,2005,3,1,132.99525,4.75,8755
BUF,MINRAD INTL INC,-0.069767442,2005,4,1,121.8663,4.3,8755
BUF,MINRAD INTL INC,-0.075,2005,5,1,113.364,4,8755
BUF,MINRAD INTL INC,-0.175675676,2005,6,1,104.8617,3.7,8755
BUF,MINRAD INTL INC,-0.180327869,2005,7,1,86.4187,3.05,8755
BUF,MINRAD INTL INC,-0.2,2005,8,1,70.835,2.5,8755
BUF,MINRAD INTL INC,0.075,2005,9,1,56.928,2,8755
BUF,MINRAD INTL INC,-0.127906977,2005,10,1,61.1976,2.15,8755
BUF,MINRAD INTL INC,0.024,2005,11,1,53.37,1.875,8755
BUF,MINRAD INTL INC,-0.208333333,2005,12,1,55.8048,1.92,8755
BUF,MINRAD INTL INC,0.3092105263,2006,1,1,44.1788,1.52,8755
BUF,MINRAD INTL INC,0.0050251256,2006,2,1,57.83935,1.99,8755
BUF,MINRAD INTL INC,0.18,2006,3,1,58.13,2,8755
BUF,MINRAD INTL INC,0.5762711864,2006,4,1,69.00168,2.36,8755
BUF,MINRAD INTL INC,-0.086021505,2006,5,1,108.76536,3.72,8755
BUF,MINRAD INTL INC,0.2176470588,2006,6,1,135.7076,3.4,8755
BUF,MINRAD INTL INC,-0.038647343,2006,7,1,165.24396,4.14,8755
BUF,MINRAD INTL INC,-0.077864322,2006,8,1,158.85772,3.98,8755
BUF,MINRAD INTL INC,0.0871638375,2006,9,1,152.529356,3.6701,8755
BUF,MINRAD INTL INC,-0.060150376,2006,10,1,165.8244,3.99,8755
BUF,MINRAD INTL INC,0.352,2006,11,1,155.85,3.75,8755
BUF,MINRAD INTL INC,0.0769230769,2006,12,1,211.27704,5.07,8755
BUF,MINRAD INTL INC,0.0384615385,2007,1,1,227.52912,5.46,8755
BUF,MINRAD INTL INC,-0.047619048,2007,2,1,236.28024,5.67,8755
BUF,MINRAD INTL INC,-0.040740741,2007,3,1,225.0288,5.4,8755
BUF,MINRAD INTL INC,0.0540540541,2007,4,1,243.8744,5.18,8755
BUF,MINRAD INTL INC,0.1080586081,2007,5,1,257.0568,5.46,8755
BUF,MINRAD INTL INC,-0.019834711,2007,6,1,284.9187,6.05,8755
BUF,MINRAD INTL INC,-0.198988196,2007,7,1,279.26742,5.93,8755
BUF,MINRAD INTL INC,-0.012631579,2007,8,1,223.6965,4.75,8755
BUF,MINRAD INTL INC,0.0213219616,2007,9,1,224.68383,4.69,8755
BUF,MINRAD INTL INC,-0.083507307,2007,10,1,229.47453,4.79,8755
BUF,MINRAD INTL INC,-0.382687927,2007,11,1,210.31173,4.39,8755
BUF,MINRAD INTL INC,0.1992619926,2007,12,1,131.66535,2.71,8755
BUF,MINRAD INTL INC,-0.178461538,2008,1,1,157.90125,3.25,8755
BUF,MINRAD INTL INC,-0.127340824,2008,2,1,129.72195,2.67,8755
BUF,MINRAD INTL INC,0.008583691,2008,3,1,113.20305,2.33,8755
BUF,MINRAD INTL INC,-0.012765957,2008,4,1,114.17475,2.35,8755
BUF,MINRAD INTL INC,-0.025862069,2008,5,1,113.14176,2.32,8755
BUF,MINRAD INTL INC,-0.101769912,2008,6,1,110.46202,2.26,8755
BUF,MINRAD INTL INC,-0.147783251,2008,7,1,99.22031,2.03,8755
BUF,MINRAD INTL INC,-0.028901734,2008,8,1,84.55721,1.73,8755
BUF,MINRAD INTL INC,-0.345238095,2008,9,1,82.82736,1.68,8755
BUF,MINRAD INTL INC,-0.345454545,2008,10,1,54.2322,1.1,8755
BUF,MINRAD INTL INC,-0.861111111,2008,11,1,35.49744,0.72,8755
BUF,MINRAD INTL INC,0.001,2008,12,1,4.9302,0.1,8755
BUF,MINRAD INTL INC,0.1988011988,2009,1,1,4.9351302,0.1001,8755
BUF,MINRAD INTL INC,0,2009,2,1,5.91624,0.12,8755
BUF,MINRAD INTL INC,0,2009,3,1,5.42322,0.11,8755
