ticker,conm,ret,year,month,EW,VW,PW,n
BXP,BOSTON PROPERTIES INC,-0.036144578,2000,1,1,2113.543125,31.125,6944
BXP,BOSTON PROPERTIES INC,0.0104166667,2000,2,1,2037.15,30,6944
BXP,BOSTON PROPERTIES INC,0.0643298969,2000,3,1,2058.3703125,30.3125,6944
BXP,BOSTON PROPERTIES INC,0.0962671906,2000,4,1,2161.786625,31.8125,6944
BXP,BOSTON PROPERTIES INC,0.0017921147,2000,5,1,2369.89575,34.875,6944
BXP,BOSTON PROPERTIES INC,0.1207155635,2000,6,1,2374.5970625,34.9375,6944
BXP,BOSTON PROPERTIES INC,0.074433657,2000,7,1,2625.225375,38.625,6944
BXP,BOSTON PROPERTIES INC,-0.02560241,2000,8,1,2820.6305,41.5,6944
BXP,BOSTON PROPERTIES INC,0.0749304482,2000,9,1,2783.0300625,40.4375,6944
BXP,BOSTON PROPERTIES INC,-0.056768559,2000,10,1,2955.0875625,42.9375,6944
BXP,BOSTON PROPERTIES INC,0.0478395062,2000,11,1,2787.3315,40.5,6944
BXP,BOSTON PROPERTIES INC,0.0375257732,2000,12,1,2920.6760625,42.4375,6944
BXP,BOSTON PROPERTIES INC,-0.066666667,2001,1,1,2993.8005,43.5,6944
BXP,BOSTON PROPERTIES INC,-0.006403941,2001,2,1,2794.2138,40.6,6944
BXP,BOSTON PROPERTIES INC,-0.033713436,2001,3,1,2776.31982,40.34,6944
BXP,BOSTON PROPERTIES INC,0.0275682705,2001,4,1,3448.196,38.45,6944
BXP,BOSTON PROPERTIES INC,0.0093647178,2001,5,1,3544.08651,39.51,6944
BXP,BOSTON PROPERTIES INC,0.0401203611,2001,6,1,3592.07136,39.88,6944
BXP,BOSTON PROPERTIES INC,-0.057457213,2001,7,1,3683.9448,40.9,6944
BXP,BOSTON PROPERTIES INC,0.0220492866,2001,8,1,3472.2756,38.55,6944
BXP,BOSTON PROPERTIES INC,-0.01751269,2001,9,1,3567.5912,39.4,6944
BXP,BOSTON PROPERTIES INC,-0.072908471,2001,10,1,3452.59524,38.13,6944
BXP,BOSTON PROPERTIES INC,0.0523338048,2001,11,1,3200.8718,35.35,6944
BXP,BOSTON PROPERTIES INC,0.0370967742,2001,12,1,3376.5324,37.2,6944
BXP,BOSTON PROPERTIES INC,-0.035789474,2002,1,1,3449.146,38,6944
BXP,BOSTON PROPERTIES INC,0.0281113537,2002,2,1,3325.70288,36.64,6944
BXP,BOSTON PROPERTIES INC,0.0626493231,2002,3,1,3419.72027,37.67,6944
BXP,BOSTON PROPERTIES INC,-0.011913815,2002,4,1,3583.2435,39.45,6944
BXP,BOSTON PROPERTIES INC,0.0518214469,2002,5,1,3551.77964,38.98,6944
BXP,BOSTON PROPERTIES INC,-0.010731707,2002,6,1,3743.095,41,6944
BXP,BOSTON PROPERTIES INC,-0.066332916,2002,7,1,3647.23525,39.95,6944
BXP,BOSTON PROPERTIES INC,0.0155495979,2002,8,1,3414.6285,37.3,6944
BXP,BOSTON PROPERTIES INC,-0.001847941,2002,9,1,3608.52456,37.88,6944
BXP,BOSTON PROPERTIES INC,-0.040322581,2002,10,1,3543.7464,37.2,6944
BXP,BOSTON PROPERTIES INC,0.0383753501,2002,11,1,3400.8534,35.7,6944
BXP,BOSTON PROPERTIES INC,0.0107903965,2002,12,1,3532.43737,37.07,6944
BXP,BOSTON PROPERTIES INC,-0.026044493,2003,1,1,3512.42626,36.86,6944
BXP,BOSTON PROPERTIES INC,0.0362116992,2003,2,1,3423.5317,35.9,6944
BXP,BOSTON PROPERTIES INC,0.0352150538,2003,3,1,3547.5036,37.2,6944
BXP,BOSTON PROPERTIES INC,0.0343007916,2003,4,1,3614.2577,37.9,6944
BXP,BOSTON PROPERTIES INC,0.0693877551,2003,5,1,3760.1424,39.2,6944
BXP,BOSTON PROPERTIES INC,0.0598759542,2003,6,1,4039.28544,41.92,6944
BXP,BOSTON PROPERTIES INC,-0.011643836,2003,7,1,4220.4366,43.8,6944
BXP,BOSTON PROPERTIES INC,-0.007854008,2003,8,1,4200.38541,43.29,6944
BXP,BOSTON PROPERTIES INC,0.0267753201,2003,9,1,4180.28055,42.95,6944
BXP,BOSTON PROPERTIES INC,0.0179434092,2003,10,1,4230.89163,43.47,6944
BXP,BOSTON PROPERTIES INC,0.0451977401,2003,11,1,4317.8265,44.25,6944
BXP,BOSTON PROPERTIES INC,0.0555675676,2003,12,1,4528.84625,46.25,6944
BXP,BOSTON PROPERTIES INC,0.0381821955,2004,1,1,4718.81299,48.19,6944
BXP,BOSTON PROPERTIES INC,0.0239856086,2004,2,1,4898.98763,50.03,6944
BXP,BOSTON PROPERTIES INC,0.0724185048,2004,3,1,5104.35228,51.23,6944
BXP,BOSTON PROPERTIES INC,-0.13459768,2004,4,1,5722.91625,54.31,6944
BXP,BOSTON PROPERTIES INC,0.050212766,2004,5,1,5002.821,47,6944
BXP,BOSTON PROPERTIES INC,0.0277552674,2004,6,1,5255.80344,49.36,6944
BXP,BOSTON PROPERTIES INC,0.0563099042,2004,7,1,5332.46832,50.08,6944
BXP,BOSTON PROPERTIES INC,0.0487712665,2004,8,1,5632.7391,52.9,6944
BXP,BOSTON PROPERTIES INC,0.0100937275,2004,9,1,6004.76684,55.48,6944
BXP,BOSTON PROPERTIES INC,0.0781729554,2004,10,1,5995.02587,55.39,6944
BXP,BOSTON PROPERTIES INC,0.0077026122,2004,11,1,6508.70364,59.72,6944
BXP,BOSTON PROPERTIES INC,0.0854104354,2004,12,1,6568.28592,60.18,6944
BXP,BOSTON PROPERTIES INC,-0.1065409,2005,1,1,7058.34248,64.67,6944
BXP,BOSTON PROPERTIES INC,0.0349601938,2005,2,1,6374.2896,57.78,6944
BXP,BOSTON PROPERTIES INC,0.0180602007,2005,3,1,6526.8112,59.8,6944
BXP,BOSTON PROPERTIES INC,0.1036028557,2005,4,1,6647.82602,60.23,6944
BXP,BOSTON PROPERTIES INC,0.0049646457,2005,5,1,7341.07974,66.47,6944
BXP,BOSTON PROPERTIES INC,0.0580838323,2005,6,1,7398.434,66.8,6944
BXP,BOSTON PROPERTIES INC,0.0878571429,2005,7,1,7896.98,70,6944
BXP,BOSTON PROPERTIES INC,-0.065659882,2005,8,1,8483.33845,76.15,6944
BXP,BOSTON PROPERTIES INC,0.0411806044,2005,9,1,7941.26495,71.15,6944
BXP,BOSTON PROPERTIES INC,-0.023695346,2005,10,1,7913.3617,70.9,6944
BXP,BOSTON PROPERTIES INC,0.0865356833,2005,11,1,7787.31922,69.22,6944
BXP,BOSTON PROPERTIES INC,-0.005318442,2005,12,1,8461.80189,75.21,6944
BXP,BOSTON PROPERTIES INC,0.0557129367,2006,1,1,8340.29217,74.13,6944
BXP,BOSTON PROPERTIES INC,0.0819064656,2006,2,1,8804.95434,78.26,6944
BXP,BOSTON PROPERTIES INC,0.109365773,2006,3,1,9528.93114,84.67,6944
BXP,BOSTON PROPERTIES INC,-0.053404826,2006,4,1,10502.65425,93.25,6944
BXP,BOSTON PROPERTIES INC,-0.041010536,2006,5,1,9958.09178,88.27,6944
BXP,BOSTON PROPERTIES INC,0.0759598346,2006,6,1,9663.05145,84.65,6944
BXP,BOSTON PROPERTIES INC,0.0862831858,2006,7,1,10323.5896,90.4,6944
BXP,BOSTON PROPERTIES INC,0.0349287169,2006,8,1,11214.3418,98.2,6944
BXP,BOSTON PROPERTIES INC,0.0235166781,2006,9,1,11616.00411,101.63,6944
BXP,BOSTON PROPERTIES INC,0.0337720147,2006,10,1,11811.45198,103.34,6944
BXP,BOSTON PROPERTIES INC,0.0956660114,2006,11,1,12210.34851,106.83,6944
BXP,BOSTON PROPERTIES INC,0.0077744554,2006,12,1,13674.2492,117.05,6944
BXP,BOSTON PROPERTIES INC,0.1270110833,2007,1,1,13070.26912,111.88,6944
BXP,BOSTON PROPERTIES INC,-0.048060909,2007,2,1,14816.07936,126.09,6944
BXP,BOSTON PROPERTIES INC,-0.016245939,2007,3,1,14104.00512,120.03,6944
BXP,BOSTON PROPERTIES INC,0.001362862,2007,4,1,13964.0256,117.4,6944
BXP,BOSTON PROPERTIES INC,-0.015991834,2007,5,1,13813.77024,117.56,6944
BXP,BOSTON PROPERTIES INC,-0.111255187,2007,6,1,13766.38272,115.68,6944
BXP,BOSTON PROPERTIES INC,-0.074806619,2007,7,1,12153.87852,102.13,6944
BXP,BOSTON PROPERTIES INC,0.0590538681,2007,8,1,11246.95572,94.49,6944
BXP,BOSTON PROPERTIES INC,0.0450684521,2007,9,1,11911.83245,100.07,6944
BXP,BOSTON PROPERTIES INC,0.0427333975,2007,10,1,12367.7365,103.9,6944
BXP,BOSTON PROPERTIES INC,-0.091563596,2007,11,1,12919.87002,108.34,6944
BXP,BOSTON PROPERTIES INC,0.0005080268,2007,12,1,11738.0613,98.42,6944
BXP,BOSTON PROPERTIES INC,-0.001089206,2008,1,1,10949.71965,91.81,6944
BXP,BOSTON PROPERTIES INC,-0.060407807,2008,2,1,10959.52842,91.71,6944
BXP,BOSTON PROPERTIES INC,0.0763606824,2008,3,1,10297.48734,86.17,6944
BXP,BOSTON PROPERTIES INC,0.091452156,2008,4,1,11001.35223,92.07,6944
BXP,BOSTON PROPERTIES INC,-0.027365907,2008,5,1,12025.33683,100.49,6944
