ticker,conm,ret,year,month,EW,VW,PW,n
BZ.2,BAIRNCO CORP,0.0833333333,2000,1,1,47.268,6,146
BZ.2,BAIRNCO CORP,0.0769230769,2000,2,1,51.207,6.5,146
BZ.2,BAIRNCO CORP,-0.001785714,2000,3,1,55.146,7,146
BZ.2,BAIRNCO CORP,0.0630630631,2000,4,1,54.653625,6.9375,146
BZ.2,BAIRNCO CORP,-0.025423729,2000,5,1,57.45125,7.375,146
BZ.2,BAIRNCO CORP,0.0330434783,2000,6,1,54.696875,7.1875,146
BZ.2,BAIRNCO CORP,-0.025423729,2000,7,1,56.12375,7.375,146
BZ.2,BAIRNCO CORP,0.1113043478,2000,8,1,54.696875,7.1875,146
BZ.2,BAIRNCO CORP,-0.062992126,2000,9,1,60.071,7.9375,146
BZ.2,BAIRNCO CORP,0,2000,10,1,56.287,7.4375,146
BZ.2,BAIRNCO CORP,0.0336134454,2000,11,1,56.287,7.4375,146
BZ.2,BAIRNCO CORP,-0.001626016,2000,12,1,57.7561875,7.6875,146
BZ.2,BAIRNCO CORP,-0.036065574,2001,1,1,57.286625,7.625,146
BZ.2,BAIRNCO CORP,0.0952380952,2001,2,1,55.22055,7.35,146
BZ.2,BAIRNCO CORP,-0.01242236,2001,3,1,60.47965,8.05,146
BZ.2,BAIRNCO CORP,-0.115189873,2001,4,1,57.7727,7.9,146
BZ.2,BAIRNCO CORP,-0.062947067,2001,5,1,51.11787,6.99,146
BZ.2,BAIRNCO CORP,-0.038461538,2001,6,1,47.541,6.5,146
BZ.2,BAIRNCO CORP,-0.0384,2001,7,1,45.7125,6.25,146
BZ.2,BAIRNCO CORP,0.0216306156,2001,8,1,43.95714,6.01,146
BZ.2,BAIRNCO CORP,-0.039408867,2001,9,1,44.61534,6.09,146
BZ.2,BAIRNCO CORP,0.0085470085,2001,10,1,42.8571,5.85,146
BZ.2,BAIRNCO CORP,0.013559322,2001,11,1,43.2234,5.9,146
BZ.2,BAIRNCO CORP,0.0134907251,2001,12,1,43.46097,5.93,146
BZ.2,BAIRNCO CORP,-0.159733777,2002,1,1,44.04729,6.01,146
BZ.2,BAIRNCO CORP,2.220446E-16,2002,2,1,37.01145,5.05,146
BZ.2,BAIRNCO CORP,0.126,2002,3,1,36.645,5,146
BZ.2,BAIRNCO CORP,0.0124333925,2002,4,1,41.2679,5.63,146
BZ.2,BAIRNCO CORP,-0.052631579,2002,5,1,41.7753,5.7,146
BZ.2,BAIRNCO CORP,0.0093457944,2002,6,1,39.21015,5.35,146
BZ.2,BAIRNCO CORP,0.0925925926,2002,7,1,39.5766,5.4,146
BZ.2,BAIRNCO CORP,-0.008474576,2002,8,1,43.2411,5.9,146
BZ.2,BAIRNCO CORP,-0.051724138,2002,9,1,42.5372,5.8,146
BZ.2,BAIRNCO CORP,-0.034545455,2002,10,1,40.337,5.5,146
BZ.2,BAIRNCO CORP,0.0169491525,2002,11,1,38.94354,5.31,146
BZ.2,BAIRNCO CORP,-0.029906542,2002,12,1,39.2369,5.35,146
BZ.2,BAIRNCO CORP,-0.026974952,2003,1,1,38.06346,5.19,146
BZ.2,BAIRNCO CORP,-0.013861386,2003,2,1,37.0367,5.05,146
BZ.2,BAIRNCO CORP,0.0341365462,2003,3,1,36.52332,4.98,146
BZ.2,BAIRNCO CORP,0.1,2003,4,1,37.4034,5.1,146
BZ.2,BAIRNCO CORP,-0.007130125,2003,5,1,41.14374,5.61,146
BZ.2,BAIRNCO CORP,0.0897666068,2003,6,1,40.85038,5.57,146
BZ.2,BAIRNCO CORP,-0.03986711,2003,7,1,44.15068,6.02,146
BZ.2,BAIRNCO CORP,0.0899653979,2003,8,1,42.39052,5.78,146
BZ.2,BAIRNCO CORP,0.1152,2003,9,1,46.70625,6.25,146
BZ.2,BAIRNCO CORP,0,2003,10,1,52.08681,6.97,146
BZ.2,BAIRNCO CORP,-0.028694405,2003,11,1,52.08681,6.97,146
BZ.2,BAIRNCO CORP,-0.09375,2003,12,1,50.232,6.72,146
BZ.2,BAIRNCO CORP,0.0229885057,2004,1,1,45.52275,6.09,146
BZ.2,BAIRNCO CORP,0.0208667737,2004,2,1,46.56925,6.23,146
BZ.2,BAIRNCO CORP,0.1204437401,2004,3,1,47.16725,6.31,146
BZ.2,BAIRNCO CORP,0.1937765205,2004,4,1,52.86239,7.07,146
BZ.2,BAIRNCO CORP,-0.03436019,2004,5,1,63.11432,8.44,146
BZ.2,BAIRNCO CORP,0.1111111111,2004,6,1,60.5718,8.1,146
BZ.2,BAIRNCO CORP,-0.11,2004,7,1,67.302,9,146
BZ.2,BAIRNCO CORP,0.0811485643,2004,8,1,59.89878,8.01,146
BZ.2,BAIRNCO CORP,0.2717770035,2004,9,1,64.54917,8.61,146
BZ.2,BAIRNCO CORP,0.0173515982,2004,10,1,82.09215,10.95,146
BZ.2,BAIRNCO CORP,0.0583482944,2004,11,1,83.51658,11.14,146
BZ.2,BAIRNCO CORP,-0.052586938,2004,12,1,88.61364,11.79,146
BZ.2,BAIRNCO CORP,0.0648064806,2005,1,1,83.50276,11.11,146
BZ.2,BAIRNCO CORP,0.0101437025,2005,2,1,88.91428,11.83,146
BZ.2,BAIRNCO CORP,-0.032635983,2005,3,1,89.8162,11.95,146
BZ.2,BAIRNCO CORP,-0.071304348,2005,4,1,86.6525,11.5,146
BZ.2,BAIRNCO CORP,0.0458801498,2005,5,1,80.4738,10.68,146
BZ.2,BAIRNCO CORP,-0.032229185,2005,6,1,84.18829,11.17,146
BZ.2,BAIRNCO CORP,0.023255814,2005,7,1,81.02275,10.75,146
BZ.2,BAIRNCO CORP,0.0672727273,2005,8,1,82.907,11,146
BZ.2,BAIRNCO CORP,-0.084327087,2005,9,1,88.17914,11.74,146
BZ.2,BAIRNCO CORP,-0.131057063,2005,10,1,80.29259,10.69,146
BZ.2,BAIRNCO CORP,0.0485520508,2005,11,1,69.769679,9.289,146
BZ.2,BAIRNCO CORP,-0.098562628,2005,12,1,72.62144,9.74,146
BZ.2,BAIRNCO CORP,0.0573394495,2006,1,1,65.01632,8.72,146
BZ.2,BAIRNCO CORP,0.046637744,2006,2,1,68.74432,9.22,146
BZ.2,BAIRNCO CORP,0.1139896373,2006,3,1,70.14585,9.65,146
BZ.2,BAIRNCO CORP,0.0261927035,2006,4,1,77.64147,10.69,146
BZ.2,BAIRNCO CORP,-0.059252507,2006,5,1,79.67511,10.97,146
BZ.2,BAIRNCO CORP,0.1424418605,2006,6,1,74.08728,10.32,146
BZ.2,BAIRNCO CORP,0.0366581415,2006,7,1,84.20967,11.73,146
BZ.2,BAIRNCO CORP,-0.006578947,2006,8,1,87.29664,12.16,146
BZ.2,BAIRNCO CORP,-0.000832639,2006,9,1,87.51687,12.01,146
BZ.2,BAIRNCO CORP,0.0816666667,2006,10,1,87.444,12,146
BZ.2,BAIRNCO CORP,-0.051617874,2006,11,1,94.58526,12.98,146
BZ.2,BAIRNCO CORP,0.0416666667,2006,12,1,89.25408,12.24,146
BZ.2,BAIRNCO CORP,0.0352941176,2007,1,1,92.973,12.75,146
BZ.2,BAIRNCO CORP,0.0257575758,2007,2,1,96.2544,13.2,146
BZ.2,BAIRNCO CORP,0.0007385524,2007,3,1,98.76076,13.54,146
BZ.2,BAIRNCO CORP,0.005204461,2007,4,1,98.1043,13.45,146
BZ.2,BAIRNCO CORP,0,2007,5,1,100.42656,13.52,146
