ticker,conm,ret,year,month,EW,VW,PW,n
CASB,CASCADE FINANCIAL CORP,-0.047337278,2000,1,1,57.776875,10.5625,3885
CASB,CASCADE FINANCIAL CORP,-0.055900621,2000,2,1,55.041875,10.0625,3885
CASB,CASCADE FINANCIAL CORP,-0.243421053,2000,3,1,52.155,9.5,3885
CASB,CASCADE FINANCIAL CORP,0.1130434783,2000,4,1,39.459375,7.1875,3885
CASB,CASCADE FINANCIAL CORP,-0.0625,2000,5,1,43.92,8,3885
CASB,CASCADE FINANCIAL CORP,0.0166666667,2000,6,1,41.175,7.5,3885
CASB,CASCADE FINANCIAL CORP,-0.114754098,2000,7,1,42.143375,7.625,3885
CASB,CASCADE FINANCIAL CORP,0.0185185185,2000,8,1,37.30725,6.75,3885
CASB,CASCADE FINANCIAL CORP,0,2000,9,1,37.998125,6.875,3885
CASB,CASCADE FINANCIAL CORP,0.1090909091,2000,10,1,37.998125,6.875,3885
CASB,CASCADE FINANCIAL CORP,-0.016393443,2000,11,1,42.143375,7.625,3885
CASB,CASCADE FINANCIAL CORP,0.1166666667,2000,12,1,41.4525,7.5,3885
CASB,CASCADE FINANCIAL CORP,-0.074626866,2001,1,1,46.288625,8.375,3885
CASB,CASCADE FINANCIAL CORP,0.0241935484,2001,2,1,42.83425,7.75,3885
CASB,CASCADE FINANCIAL CORP,-0.023622047,2001,3,1,43.8705625,7.9375,3885
CASB,CASCADE FINANCIAL CORP,-0.038709677,2001,4,1,42.83425,7.75,3885
CASB,CASCADE FINANCIAL CORP,0.0402684564,2001,5,1,41.65295,7.45,3885
CASB,CASCADE FINANCIAL CORP,0.0322580645,2001,6,1,43.5085,7.75,3885
CASB,CASCADE FINANCIAL CORP,0.09375,2001,7,1,44.912,8,3885
CASB,CASCADE FINANCIAL CORP,-0.041142857,2001,8,1,49.1225,8.75,3885
CASB,CASCADE FINANCIAL CORP,0.0131108462,2001,9,1,47.10146,8.39,3885
CASB,CASCADE FINANCIAL CORP,0.1841176471,2001,10,1,47.719,8.5,3885
CASB,CASCADE FINANCIAL CORP,-0.101433297,2001,11,1,56.00725,9.07,3885
CASB,CASCADE FINANCIAL CORP,-0.049079755,2001,12,1,50.32625,8.15,3885
CASB,CASCADE FINANCIAL CORP,0.1225806452,2002,1,1,47.85625,7.75,3885
CASB,CASCADE FINANCIAL CORP,0.0287356322,2002,2,1,53.7225,8.7,3885
CASB,CASCADE FINANCIAL CORP,0.0882681564,2002,3,1,55.26625,8.95,3885
CASB,CASCADE FINANCIAL CORP,0.0215605749,2002,4,1,60.1445,9.74,3885
CASB,CASCADE FINANCIAL CORP,0.1909547739,2002,5,1,62.5855,9.95,3885
CASB,CASCADE FINANCIAL CORP,-0.102953586,2002,6,1,75.366,11.85,3885
CASB,CASCADE FINANCIAL CORP,-0.026340546,2002,7,1,67.6068,10.63,3885
CASB,CASCADE FINANCIAL CORP,0.0628019324,2002,8,1,65.826,10.35,3885
CASB,CASCADE FINANCIAL CORP,-0.018181818,2002,9,1,70.488,11,3885
CASB,CASCADE FINANCIAL CORP,-0.000925926,2002,10,1,69.2064,10.8,3885
CASB,CASCADE FINANCIAL CORP,-0.003724395,2002,11,1,68.82192,10.74,3885
CASB,CASCADE FINANCIAL CORP,0.1158878505,2002,12,1,69.2183,10.7,3885
CASB,CASCADE FINANCIAL CORP,0.0636515913,2003,1,1,77.23986,11.94,3885
CASB,CASCADE FINANCIAL CORP,-0.015019763,2003,2,1,81.83285,12.65,3885
CASB,CASCADE FINANCIAL CORP,-0.083467095,2003,3,1,80.60374,12.46,3885
CASB,CASCADE FINANCIAL CORP,0.0989492119,2003,4,1,74.33278,11.42,3885
CASB,CASCADE FINANCIAL CORP,0.152,2003,5,1,81.3625,12.5,3885
CASB,CASCADE FINANCIAL CORP,0.0520833333,2003,6,1,93.96,14.4,3885
CASB,CASCADE FINANCIAL CORP,0.0726072607,2003,7,1,98.85375,15.15,3885
CASB,CASCADE FINANCIAL CORP,0.0432098765,2003,8,1,105.705,16.2,3885
CASB,CASCADE FINANCIAL CORP,0.1053254438,2003,9,1,110.9654,16.9,3885
CASB,CASCADE FINANCIAL CORP,0.0433618844,2003,10,1,122.65288,18.68,3885
CASB,CASCADE FINANCIAL CORP,0.1220391349,2003,11,1,127.51172,19.42,3885
CASB,CASCADE FINANCIAL CORP,0.1116911427,2003,12,1,143.55252,21.79,3885
CASB,CASCADE FINANCIAL CORP,0.0093400072,2004,1,1,159.87675,19.379,3885
CASB,CASCADE FINANCIAL CORP,0.0082093381,2004,2,1,160.61709,19.49,3885
CASB,CASCADE FINANCIAL CORP,0.0264631043,2004,3,1,161.93565,19.65,3885
CASB,CASCADE FINANCIAL CORP,-0.113534953,2004,4,1,166.62437,20.17,3885
CASB,CASCADE FINANCIAL CORP,-0.079730488,2004,5,1,147.12841,17.81,3885
CASB,CASCADE FINANCIAL CORP,0.0683343502,2004,6,1,135.47974,16.39,3885
CASB,CASCADE FINANCIAL CORP,-0.039977156,2004,7,1,144.73766,17.51,3885
CASB,CASCADE FINANCIAL CORP,-0.040023895,2004,8,1,159.56568,16.74,3885
CASB,CASCADE FINANCIAL CORP,0.0392034848,2004,9,1,153.19531,16.07,3885
CASB,CASCADE FINANCIAL CORP,0.1083832335,2004,10,1,159.2011,16.7,3885
CASB,CASCADE FINANCIAL CORP,0.0320130222,2004,11,1,176.20923,18.43,3885
CASB,CASCADE FINANCIAL CORP,-0.011566772,2004,12,1,181.85022,19.02,3885
CASB,CASCADE FINANCIAL CORP,0.0505319149,2005,1,1,179.7468,18.8,3885
CASB,CASCADE FINANCIAL CORP,-0.008642603,2005,2,1,188.06487,19.67,3885
CASB,CASCADE FINANCIAL CORP,-0.051282051,2005,3,1,186.4395,19.5,3885
CASB,CASCADE FINANCIAL CORP,-0.106486486,2005,4,1,177.082,18.5,3885
CASB,CASCADE FINANCIAL CORP,-0.009118541,2005,5,1,157.4594,16.45,3885
CASB,CASCADE FINANCIAL CORP,0.0429386503,2005,6,1,155.9747,16.3,3885
