ticker,conm,ret,year,month,EW,VW,PW,n
CASC,CASCADIAN THERAPEUTICS INC,1.2063492063,2000,1,1,175.0573125,3.9375,3012
CASC,CASCADIAN THERAPEUTICS INC,0.5611510791,2000,2,1,386.3244375,8.6875,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.248847926,2000,3,1,603.1108125,13.5625,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.251533742,2000,4,1,453.0279375,10.1875,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0491803279,2000,5,1,339.076125,7.625,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1484375,2000,6,1,355.752,8,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.265306122,2000,7,1,408.5589375,9.1875,3012
CASC,CASCADIAN THERAPEUTICS INC,0.5185185185,2000,8,1,300.16575,6.75,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0243902439,2000,9,1,499.339,10.25,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.142857143,2000,10,1,511.518,10.5,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.194444444,2000,11,1,438.444,9,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.25862069,2000,12,1,353.191,7.25,3012
CASC,CASCADIAN THERAPEUTICS INC,0.5465116279,2001,1,1,261.8485,5.375,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.218045113,2001,2,1,404.95175,8.3125,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.048076923,2001,3,1,316.654,6.5,3012
CASC,CASCADIAN THERAPEUTICS INC,0.2525252525,2001,4,1,306.565875,6.1875,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.025806452,2001,5,1,383.9815,7.75,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.047682119,2001,6,1,374.0723,7.55,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.09596662,2001,7,1,356.23574,7.19,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.112307692,2001,8,1,322.049,6.5,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.201039861,2001,9,1,285.88042,5.77,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.175704989,2001,10,1,228.40706,4.61,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0763157895,2001,11,1,188.9968,3.8,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0268948655,2001,12,1,203.42024,4.09,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.073571429,2002,1,1,219.8322,4.2,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.038807504,2002,2,1,203.658831,3.891,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.072727273,2002,3,1,195.88998,3.74,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.261822376,2002,4,1,181.643436,3.468,3012
CASC,CASCADIAN THERAPEUTICS INC,0.03125,2002,5,1,134.08512,2.56,3012
CASC,CASCADIAN THERAPEUTICS INC,0.053030303,2002,6,1,138.27528,2.64,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.179856115,2002,7,1,145.60806,2.78,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1447368421,2002,8,1,120.3498,2.28,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.704980843,2002,9,1,137.76885,2.61,3012
CASC,CASCADIAN THERAPEUTICS INC,0.5584415584,2002,10,1,40.64445,0.77,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.041666667,2002,11,1,63.342,1.2,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.191304348,2002,12,1,61.3847,1.15,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1935483871,2003,1,1,49.64154,0.93,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.018018018,2003,2,1,59.24958,1.11,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0642201835,2003,3,1,58.18202,1.09,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0603448276,2003,4,1,62.40336,1.16,3012
CASC,CASCADIAN THERAPEUTICS INC,0.9756097561,2003,5,1,66.16908,1.23,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.436213992,2003,6,1,150.33681,2.43,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.04379562,2003,7,1,75.34178,1.37,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.007633588,2003,8,1,72.04214,1.31,3012
CASC,CASCADIAN THERAPEUTICS INC,0.3692307692,2003,9,1,71.4922,1.3,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.039325843,2003,10,1,113.10298,1.78,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.064327485,2003,11,1,108.65511,1.71,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.075,2003,12,1,116.072,1.6,3012
CASC,CASCADIAN THERAPEUTICS INC,0.277027027,2004,1,1,107.3666,1.48,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.058201058,2004,2,1,137.11005,1.89,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0505617978,2004,3,1,129.1301,1.78,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.155080214,2004,4,1,135.65915,1.87,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.018987342,2004,5,1,114.64322,1.58,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.167741935,2004,6,1,112.4711,1.55,3012
CASC,CASCADIAN THERAPEUTICS INC,0,2004,7,1,93.60498,1.29,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.248062016,2004,8,1,93.60498,1.29,3012
CASC,CASCADIAN THERAPEUTICS INC,0.4845360825,2004,9,1,70.38514,0.97,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.027777778,2004,10,1,104.48928,1.44,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1857142857,2004,11,1,101.5868,1.4,3012
CASC,CASCADIAN THERAPEUTICS INC,0.4518072289,2004,12,1,120.45292,1.66,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.153526971,2005,1,1,174.87442,2.41,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0147058824,2005,2,1,148.02648,2.04,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.101449275,2005,3,1,162.1638,2.07,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0215053763,2005,4,1,145.7124,1.86,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.057894737,2005,5,1,148.884,1.9,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.039106145,2005,6,1,140.42729,1.79,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.058139535,2005,7,1,135.56524,1.72,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.074074074,2005,8,1,127.68354,1.62,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.08,2005,9,1,118.2255,1.5,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.072463768,2005,10,1,108.76746,1.38,3012
CASC,CASCADIAN THERAPEUTICS INC,0.171875,2005,11,1,100.88576,1.28,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.066666667,2005,12,1,118.2255,1.5,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0714285714,2006,1,1,110.3438,1.4,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.033333333,2006,2,1,118.2255,1.5,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.062068966,2006,3,1,129.61405,1.45,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0294852941,2006,4,1,121.56904,1.36,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.157203057,2006,5,1,125.1535389,1.4001,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.093220339,2006,6,1,105.47902,1.18,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.093457944,2006,7,1,95.64623,1.07,3012
CASC,CASCADIAN THERAPEUTICS INC,0.206185567,2006,8,1,86.70733,0.97,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.094017094,2006,9,1,104.58513,1.17,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1886792453,2006,10,1,94.75234,1.06,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0793650794,2006,11,1,112.63014,1.26,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.161764706,2006,12,1,145.88312,1.36,3012
CASC,CASCADIAN THERAPEUTICS INC,0,2007,1,1,122.28438,1.14,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0087719298,2007,2,1,133.2831,1.14,3012
CASC,CASCADIAN THERAPEUTICS INC,0,2007,3,1,134.45225,1.15,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0043478261,2007,4,1,134.45225,1.15,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.012987013,2007,5,1,135.036825,1.155,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.096491228,2007,6,1,133.2831,1.14,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.097087379,2007,7,1,120.42245,1.03,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1290322581,2007,8,1,108.73095,0.93,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.114285714,2007,9,1,122.76075,1.05,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.225806452,2007,10,1,108.73095,0.93,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.49875,2007,11,1,84.1788,0.72,3012
CASC,CASCADIAN THERAPEUTICS INC,0.0298328871,2007,12,1,42.1946235,0.3609,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.062780269,2008,1,1,43.45378,2.23,3012
CASC,CASCADIAN THERAPEUTICS INC,0.8229665072,2008,2,1,40.72574,2.09,3012
CASC,CASCADIAN THERAPEUTICS INC,0.1181102362,2008,3,1,74.24166,3.81,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.17370892,2008,4,1,83.01036,4.26,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.011363636,2008,5,1,68.59072,3.52,3012
CASC,CASCADIAN THERAPEUTICS INC,-0.301724138,2008,6,1,67.83216,3.48,3012
