ticker,conm,ret,year,month,EW,VW,PW,n
CCLP,CSI COMPRESSCO LP,,2011,6,1,,,10019
CCLP,CSI COMPRESSCO LP,0.0148286938,2011,7,1,169.93196,18.68,10019
CCLP,CSI COMPRESSCO LP,-0.179799048,2011,8,1,172.02427,18.91,10019
CCLP,CSI COMPRESSCO LP,-0.006447453,2011,9,1,143.59158,15.51,10019
CCLP,CSI COMPRESSCO LP,0.0790071382,2011,10,1,142.66578,15.41,10019
CCLP,CSI COMPRESSCO LP,-0.108990148,2011,11,1,150.34992,16.24,10019
CCLP,CSI COMPRESSCO LP,0.0366275052,2011,12,1,134.00667,14.47,10019
CCLP,CSI COMPRESSCO LP,0.0691666667,2012,1,1,138.915,15,10019
CCLP,CSI COMPRESSCO LP,0.0408945687,2012,2,1,144.93465,15.65,10019
CCLP,CSI COMPRESSCO LP,0.0668508287,2012,3,1,150.86169,16.29,10019
CCLP,CSI COMPRESSCO LP,-0.153432303,2012,4,1,160.651476,17.379,10019
CCLP,CSI COMPRESSCO LP,-0.093193717,2012,5,1,132.4203,14.325,10019
CCLP,CSI COMPRESSCO LP,-0.045419554,2012,6,1,120.06657,12.99,10019
CCLP,CSI COMPRESSCO LP,0.166733871,2012,7,1,114.6132,12.4,10019
CCLP,CSI COMPRESSCO LP,0.1363636364,2012,8,1,130.14144,14.08,10019
CCLP,CSI COMPRESSCO LP,0.051875,2012,9,1,148.256,16,10019
CCLP,CSI COMPRESSCO LP,0.0212418301,2012,10,1,155.94678,16.83,10019
CCLP,CSI COMPRESSCO LP,0.0320547945,2012,11,1,155.57614,16.79,10019
CCLP,CSI COMPRESSCO LP,-0.03567595,2012,12,1,160.5631012,17.3282,10019
CCLP,CSI COMPRESSCO LP,0.1903052065,2013,1,1,154.83486,16.71,10019
CCLP,CSI COMPRESSCO LP,-0.02978942,2013,2,1,180.40902,19.47,10019
CCLP,CSI COMPRESSCO LP,0.0534674431,2013,3,1,175.03474,18.89,10019
CCLP,CSI COMPRESSCO LP,0.2263819095,2013,4,1,183.4382,19.9,10019
CCLP,CSI COMPRESSCO LP,-0.185988324,2013,5,1,221.04764,23.98,10019
CCLP,CSI COMPRESSCO LP,-0.024590164,2013,6,1,180.01344,19.52,10019
CCLP,CSI COMPRESSCO LP,0.1226365546,2013,7,1,175.58688,19.04,10019
CCLP,CSI COMPRESSCO LP,-0.096420048,2013,8,1,193.2009,20.95,10019
CCLP,CSI COMPRESSCO LP,0.1056524036,2013,9,1,175.65147,18.93,10019
CCLP,CSI COMPRESSCO LP,0.0587673196,2013,10,1,194.20947,20.93,10019
CCLP,CSI COMPRESSCO LP,-0.08421537,2013,11,1,201.63267,21.73,10019
CCLP,CSI COMPRESSCO LP,0.0120603015,2013,12,1,184.6521,19.9,10019
CCLP,CSI COMPRESSCO LP,0.1503227408,2014,1,1,186.87906,20.14,10019
CCLP,CSI COMPRESSCO LP,0.0246370436,2014,2,1,210.91167,22.73,10019
CCLP,CSI COMPRESSCO LP,0.0820094461,2014,3,1,216.10791,23.29,10019
CCLP,CSI COMPRESSCO LP,0.1144801587,2014,4,1,233.8308,25.2,10019
CCLP,CSI COMPRESSCO LP,-0.117941816,2014,5,1,256.4706321,27.6399,10019
CCLP,CSI COMPRESSCO LP,0.127973749,2014,6,1,226.22202,24.38,10019
CCLP,CSI COMPRESSCO LP,-0.180636364,2014,7,1,255.1725,27.5,10019
CCLP,CSI COMPRESSCO LP,0.2223731884,2014,8,1,542.63808,22.08,10019
CCLP,CSI COMPRESSCO LP,-0.104853649,2014,9,1,725.16732,26.99,10019
CCLP,CSI COMPRESSCO LP,-0.093129139,2014,10,1,649.13088,24.16,10019
CCLP,CSI COMPRESSCO LP,-0.047552448,2014,11,1,576.3186,21.45,10019
CCLP,CSI COMPRESSCO LP,-0.357307881,2014,12,1,677.09106,20.43,10019
CCLP,CSI COMPRESSCO LP,0.122222053,2015,1,1,435.1610884,13.1302,10019
CCLP,CSI COMPRESSCO LP,0.2049122807,2015,2,1,472.2735,14.25,10019
CCLP,CSI COMPRESSCO LP,0.1205591147,2015,3,1,569.04814,17.17,10019
CCLP,CSI COMPRESSCO LP,0.1275987526,2015,4,1,637.72904,19.24,10019
CCLP,CSI COMPRESSCO LP,-0.061320755,2015,5,1,702.6952,21.2,10019
CCLP,CSI COMPRESSCO LP,-0.10201005,2015,6,1,659.7248,19.9,10019
CCLP,CSI COMPRESSCO LP,-0.119753777,2015,7,1,592.42624,17.87,10019
CCLP,CSI COMPRESSCO LP,0.0065659882,2015,8,1,504.90496,15.23,10019
CCLP,CSI COMPRESSCO LP,-0.183953033,2015,9,1,508.69539,15.33,10019
CCLP,CSI COMPRESSCO LP,0.1760591527,2015,10,1,415.11933,12.51,10019
CCLP,CSI COMPRESSCO LP,-0.014778325,2015,11,1,471.53043,14.21,10019
CCLP,CSI COMPRESSCO LP,-0.185714286,2015,12,1,464.562,14,10019
CCLP,CSI COMPRESSCO LP,-0.427412281,2016,1,1,378.2862,11.4,10019
CCLP,CSI COMPRESSCO LP,-0.151219512,2016,2,1,204.07545,6.15,10019
CCLP,CSI COMPRESSCO LP,0.1034482759,2016,3,1,173.21526,5.22,10019
CCLP,CSI COMPRESSCO LP,0.5933159722,2016,4,1,191.1744,5.76,10019
CCLP,CSI COMPRESSCO LP,0.0443181818,2016,5,1,292.072,8.8,10019
CCLP,CSI COMPRESSCO LP,-0.112078346,2016,6,1,305.28261,9.19,10019
CCLP,CSI COMPRESSCO LP,0.1246936275,2016,7,1,271.06704,8.16,10019
CCLP,CSI COMPRESSCO LP,0.0840909091,2016,8,1,292.3272,8.8,10019
CCLP,CSI COMPRESSCO LP,0.1100628931,2016,9,1,316.98558,9.54,10019
