ticker,conm,ret,year,month,EW,VW,PW,n
CCOI,COGENT COMMUNICATIONS HLDGS,,2002,2,1,,,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.0830449827,2002,3,1,4.0749,2.89,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.041533546,2002,4,1,4.4133,3.13,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.133333333,2002,5,1,10.257,3,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.496153846,2002,6,1,8.892,2.6,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.122137405,2002,7,1,4.4802,1.31,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.0869565217,2002,8,1,3.93185,1.15,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.24,2002,9,1,4.34625,1.25,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.6,2002,10,1,3.30315,0.95,8593
CCOI,COGENT COMMUNICATIONS HLDGS,2.6578947368,2002,11,1,1.32126,0.38,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.726618705,2002,12,1,4.84276,1.39,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.3684210526,2003,1,1,1.32392,0.38,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.134615385,2003,2,1,1.81168,0.52,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.1111111111,2003,3,1,1.57005,0.45,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.06,2003,4,1,1.7445,0.5,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.320754717,2003,5,1,1.86613,0.53,8593
CCOI,COGENT COMMUNICATIONS HLDGS,2.1428571429,2003,6,1,2.4675,0.7,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.25,2003,7,1,7.755,2.2,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.303030303,2003,8,1,5.81625,1.65,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0,2003,9,1,4.05375,1.15,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.043478261,2003,10,1,4.05375,1.15,8593
CCOI,COGENT COMMUNICATIONS HLDGS,0.1090909091,2003,11,1,3.8775,1.1,8593
CCOI,COGENT COMMUNICATIONS HLDGS,-0.040983607,2003,12,1,15.94662,1.22,8593
