ticker,conm,ret,year,month,EW,VW,PW,n
CDS.3,COLD SPRING CAPITAL INC,,2005,11,1,,,9245
CDS.3,COLD SPRING CAPITAL INC,-0.095580205,2005,12,1,,5.86,9245
CDS.3,COLD SPRING CAPITAL INC,-0.003754788,2006,1,1,132.4975,5.2999,9245
CDS.3,COLD SPRING CAPITAL INC,0.0056818182,2006,2,1,132,5.28,9245
CDS.3,COLD SPRING CAPITAL INC,0.0169491525,2006,3,1,132.75,5.31,9245
CDS.3,COLD SPRING CAPITAL INC,-0.011111111,2006,4,1,135,5.4,9245
CDS.3,COLD SPRING CAPITAL INC,0.0074906367,2006,5,1,133.5,5.34,9245
CDS.3,COLD SPRING CAPITAL INC,0.0037174721,2006,6,1,134.5,5.38,9245
CDS.3,COLD SPRING CAPITAL INC,-0.014814815,2006,7,1,135,5.4,9245
CDS.3,COLD SPRING CAPITAL INC,-0.007518797,2006,8,1,133,5.32,9245
CDS.3,COLD SPRING CAPITAL INC,0.0170454545,2006,9,1,132,5.28,9245
CDS.3,COLD SPRING CAPITAL INC,0.0148975791,2006,10,1,134.25,5.37,9245
CDS.3,COLD SPRING CAPITAL INC,-0.009174312,2006,11,1,136.25,5.45,9245
CDS.3,COLD SPRING CAPITAL INC,0.0076111111,2006,12,1,135,5.4,9245
CDS.3,COLD SPRING CAPITAL INC,0.0071492897,2007,1,1,136.0275,5.4411,9245
CDS.3,COLD SPRING CAPITAL INC,0.0273722628,2007,2,1,137,5.48,9245
CDS.3,COLD SPRING CAPITAL INC,0.0017761989,2007,3,1,140.75,5.63,9245
CDS.3,COLD SPRING CAPITAL INC,0.0124113475,2007,4,1,141,5.64,9245
CDS.3,COLD SPRING CAPITAL INC,0,2007,5,1,142.75,5.71,9245
CDS.3,COLD SPRING CAPITAL INC,0,2007,6,1,142.75,5.71,9245
